Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Association of Chief Police Officers,[No author id available],Good Practice Guide for Computer Based Electronic Evidence,2003,Good Practice Guide for Computer Based Electronic Evidence,NA,,NA,NA,NA,NA,105,,http://www.acpo.police.uk/asp/policies/Data/gpg_computer_based_evidence_v3.pdf,,,,,,Guide,Final,,Scopus,2-s2.0-33745186968,,IFSMS 2007,Digital Evidence,Digital Evidence
SWGDE,[No author id available],SWGDE and SWGIT Digital & Multimedia Evidence Glossary,2006,SWGDE and SWGIT Digital & Multimedia Evidence Glossary,NA,,NA,NA,NA,NA,4,,http://68.156.151.124/documents/swgde2006/SWGDE_SWGIT%20Glossary%20V 2.0.pdf,,,,,,Website,Final,,Scopus,2-s2.0-65949113282,Not accessed,IFSMS 2007,Digital Evidence,Digital Evidence
Ghosh A.,,Guidelines for the management of IT evidence,2004,Incident Response and Forensics Workshop,NA,,NA,NA,NA,NA,1,,http://68.156.151.124/documents/swgde2006/SWGDE_SWGIT%20Glossary%20V2.0.pdf,,"Ghosh, A.",,,,Guide,Final,,Scopus,2-s2.0-84908590101,,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],,Hitachi Celebrates Availability of the Industryís First 1TB HDD in Korea,2007,,NA,,NA,NA,NA,NA,NA,,http://www.hitachigst.com/portal/site/en/menuitem.368c8bfe833dee8056fb11f0aac4f0a0/,,,,,,Website,,,,,Not accessed,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],[No author id available],The Data Deluge: Preparing for the explosion in data,2004,The Joint Information Systems Committee The Data Deluge: Preparing for the explosion in data,NA,,NA,NA,NA,NA,1,,http://unpan1.un.org/intradoc/groups/public/documents/APCITY/UNPAN016411.pdf,,,,,,Briefing Paper,Final,,Scopus,2-s2.0-84872769988,,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],,Internet Virtual Storage,2007,,NA,,NA,NA,NA,NA,NA,,http://www.cryer.co.uk/resources/virtualstorage.htm,,,,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],[No author id available],Information Security and Forensics Society,2004,"Draft Computer Forensics, Part 1: An Introduction to Computer Forensics",NA,,NA,NA,NA,NA,1,,http://www.isfs.org.hk,,,,,,Website,Final,,Scopus,2-s2.0-84882137811,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
"Siegfried J., Siedsma C., Countryman B.-J., Hosmer C.D.",,Examining the encryption threat,2004,International Journal of Digital Evidence,2,3,NA,NA,NA,NA,9,,http://www.utica.edu/academic/institutes/ecii/publications/articles/A0B0C4A4-9660-B26E-12521C098684EF12.pdf,,"Siegfried, J.; Siedsma, C.; Countryman, B.-J.; Hosmer, C.D.",,,,Article,Final,,Scopus,2-s2.0-14544270143,,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],,Vista Forensics Training Manual,2007,AccessData,NA,,NA,NA,NA,NA,NA,,,,,,,,Manual,,,,,,IFSMS 2007,Digital Evidence,Digital Evidence
"Hui L., Chow K., Yia S.",,Tools and Technology for Computer Forensics: Research and Development in Hong Kong,2007,,NA,,NA,NA,NA,NA,NA,http://i.cs.hku.hk/~cisc/forensics/papers/ComputerForensicsInHK.pdf.,,University of Hong Kong,"Hui L., Chow K., Yia S.",,,,Article,,,,,,IFSMS 2007,Digital Evidence,Digital Evidence
Moore T.,,The Economics of Digital Forensics,2006,Fifth Annual Workshop on the Economics of Information,NA,,NA,NA,NA,NA,12,,,University of Cambridge,"Moore, T.",,,"Tyler Moore, Computer Laboratory, University of Cambridge, 15 Thomson Avenue, Cambridge CB3 0FD, United Kingdom. Email: Tyler.Moore@c1.cam.ac.uk",Article,Final,,Scopus,2-s2.0-51549112279,,IFSMS 2007,Digital Evidence,Digital Evidence
Grugq T.,,The art of defiling: Defeating forensic analysis,2005,Blackhat Briefings 2005,NA,,NA,NA,NA,NA,7,,http://www.blackhat.com/presentations/bhusa-05/bh-us-05-grugq.pdf,,"Grugq, T.",,,,Presentation,Final,,Scopus,2-s2.0-33746016968,,IFSMS 2007,Digital Evidence,Digital Evidence
"Christian S.J.P., Michael Legary",,Digital Anti-Forensics: Emerging trends in data transformation techniques,2006,Seccuris Labs,NA,,NA,NA,NA,NA,1,,http://www.seccuris.com/documents/papers/Seccuris-Antiforensics.pdf,,"Christian, S.J.P.; Michael; Legary",,,,Article,Final,,Scopus,2-s2.0-84898357640,,IFSMS 2007,Digital Evidence,Digital Evidence
Sherman S.,,A digital forensic practitionerís guide to giving evidence in a court of law,2006,,NA,,NA,NA,NA,NA,NA,,http://scissec.scis.ecu.edu.au/wordpress/conference_proceedings/2006/forensics/Sherman%20-%20A%20digital%20forensic%20practitioners%20guide%20to%20giving%20evidence%20in%20a%20court%20of%20law.pdf.,,"Sherman, S.  Edith Cowan University",,,"Sherman, S.  Edith Cowan University",Conference Proceedings,,,,,,IFSMS 2007,Digital Evidence,Digital Evidence
Hendron D.,,The Continuing Evolution of Computer Forensics,2005,Law Enforcement Quarterly,34,1,NA,NA,NA,NA,NA,,www.sdcda.org/office/leq_05_winter.pdf,,"Hendron, D.",,,,Article,,,,,,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],,Lawful Interception,2007," Wikipedia, the free encyclopedia",NA,,NA,NA,NA,NA,NA,,http://en.wikipedia.org/wiki/Lawful_interception,,,,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
"Collett D., Cohen M.",,PyFlag: Forensic and Log Analysis GUI,2008,,NA,,NA,NA,NA,NA,1,,http://pyflag.sourceforge.net/Presentations/pyflag_linuxconf_2006.pdf,,"Collett, D.; Cohen, M.",,,,Website,Final,,Scopus,2-s2.0-85062566034,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
Ghosh A.,,Guidelines for the Management of IT Evidence,2004,Guidelines for the Management of IT Evidence,NA,,NA,NA,NA,NA,3,,http://unpan1.un.org/intradoc/groups/public/documents/APCITY/UNPAN016411.pdf,,"Ghosh, A.",,,,Website,Final,,Scopus,2-s2.0-65949112825,Not accessed,IFSMS 2007,Digital Evidence,Digital Evidence
Al-Zarouni M.,56134320400;,Mobile handset forensic evidence: A challenge for law enforcement,2006,Proceedings of 4th Australian Digital Forensics Conference,NA,,NA,NA,NA,NA,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867717519&partnerID=40&md5=24bbe852f7b5166c229057350a8c3acb,"School of Computer and Information Science, Edith Cowan University, Australia","Al-Zarouni, M., School of Computer and Information Science, Edith Cowan University, Australia",Cell phone evidence; Digital device forensics; Mobile phone forensic toolkits; Mobile phone forensics,Cell phone; Computing power; Criminal case; Data carriers; Emerging technologies; Forensic evidence; Mobile handsets; Mobile phone handsets; Potential impacts; Semiconductor technology; Cellular telephones; Computer forensics; Digital devices; Electronic crime countermeasures; Mobile devices; Semiconductor device manufacture; Mobile phones,"Al-Zarouni, M.; School of Computer and Information Science, Edith Cowan UniversityAustralia; email: forensics@marwan.com",Conference Paper,Final,,Scopus,2-s2.0-84867717519,,IFSMS 2007,Digital Evidence,Digital Evidence
"Ayers R., Jansen W., Cilleros N., Daniellou R.",,Cell phone forensic tools: An overview and analysis update,2005,Cell Phone Forensic Tools: An Overview and Analysis,NA,,NA,NA,NA,NA,26,,http://csrc.nist.gov/publications/nistir/nistir-7250.pdf,,"Ayers, R.; Jansen, W.; Cilleros, N.; Daniellou, R.",,,,Website,Final,,Scopus,2-s2.0-51149116943,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
"Jansen W., Ayers R.",,Guidelines on cell phone forensics,2007,NIST Special Publication,NA,1,NA,NA,NA,NA,22,,http://csrc.nist.gov/publications/nistpubs/800-101/SP800-101.pdf,,"Jansen, W.; Ayers, R.",computer forensics; cell phones; digital evidence,,,Article,Final,,Scopus,2-s2.0-77952591413,,IFSMS 2007,Digital Evidence,Digital Evidence
"Jansen W., Ayers R.",,Guidelines on cell phone forensics,2007,NIST Special Publication,NA,1,NA,NA,NA,NA,22,,http://csrc.nist.gov/publications/nistpubs/800-101/SP800-101.pdf,,"Jansen, W.; Ayers, R.",computer forensics; cell phones; digital evidence,,,Article,Final,,Scopus,2-s2.0-77952591413,,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],,Symbian,2006,,NA,,NA,NA,NA,NA,NA,,http://www.symbian.com/about/overview/history/history.html,,,,,,Website,,,,,Not accessed,IFSMS 2007,Digital Evidence,Digital Evidence
"Jansen W., Ayers R.",,Guidelines on cell phone forensics,2007,NIST Special Publication,NA,1,NA,NA,NA,NA,22,,http://csrc.nist.gov/publications/nistpubs/800-101/SP800-101.pdf,,"Jansen, W.; Ayers, R.",computer forensics; cell phones; digital evidence,,,Article,Final,,Scopus,2-s2.0-77952591413,,IFSMS 2007,Digital Evidence,Digital Evidence
"Zheng P., Ni L.M.",,The Rise of the Smart Phone,2006,IEEE Distributed Systems Online,7,3,NA,NA,NA,NA,1,,http://csdl2.computer.org/comp/mags/ds/2006/03/o3003.pdf,,"Zheng, P.; Ni, L.M.",,,,Article,Final,,Scopus,2-s2.0-79958814613,,IFSMS 2007,Digital Evidence,Digital Evidence
Espiner T.,,Mobile Phone Forensics 'Hole' Reported,2006,Mobile Phone Forensics 'Hole' Reported,NA,,NA,NA,NA,NA,2,,"http://news.zdnet.co.uk/hardware/0,1000000091,39277347,00.htm",,"Espiner, T.",,,,Website,Final,,Scopus,2-s2.0-84867706957,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
McCarthy P.,,"Forensic analysis of mobile phones, University of South Australia, Australia",2005,NIST Publication 800-101: Recommendations of the National Institute of Standards and Technology,NA,,NA,NA,NA,NA,1,,http://scissec.scis.ecu.edu.au/wordpress/conference_proceedings/2006/forensics/Al-Zarouni%20-%20Mobile%20Handset%20Forensic%20Evidence%20-%20a%20challenge%20for%20Law%20Enforcement.pdf,"University of South Australia, Australia","McCarthy, P.",,,,Dissertation,Final,,Scopus,2-s2.0-82455191218,,IFSMS 2007,Digital Evidence,Digital Evidence
Jansen W.,,Mobile Device Forensic Software Tools,2005,Techno Forensics 2005,NA,,NA,NA,NA,NA,2,,http://www.techsec.com/TF-2005-PDF/WayneJansen_MobileForensics.pdf,"Gaithersburg, MD, USA","Jansen, W.",,,,Article,Final,,Scopus,2-s2.0-65949089745,,IFSMS 2007,Digital Evidence,Digital Evidence
"Ayers R., Jansen W., Cilleros N., Daniellou R.",,Cell phone forensic tools: An overview and analysis update,2005,Cell Phone Forensic Tools: An Overview and Analysis,NA,,NA,NA,NA,NA,26,,http://csrc.nist.gov/publications/nistir/nistir-7250.pdf,,"Ayers, R.; Jansen, W.; Cilleros, N.; Daniellou, R.",,,,Article,Final,,Scopus,2-s2.0-51149116943,,IFSMS 2007,Digital Evidence,Digital Evidence
ACPO,[No author id available],Good Practice Guide for Computer Based Electronic Evidence,2003,Good Practice Guide for Computer Based Electronic Evidence,NA,,NA,NA,NA,NA,105,,"http://www.acpo.police.uk/asp/policies/Data/gpg_computer_based_evidence_v3.pd f,",,ACPO,,,,Guide,Final,,Scopus,2-s2.0-33745186968,,IFSMS 2007,Digital Evidence,Digital Evidence
ACPO,[No author id available],Good Practice Guide for Computer Based Electronic Evidence,2003,Good Practice Guide for Computer Based Electronic Evidence,NA,,NA,NA,NA,NA,105,,"http://www.acpo.police.uk/asp/policies/Data/gpg_computer_based_evidence_v3.pd f,",,ACPO,,,,Guide,Final,,Scopus,2-s2.0-33745186968,,IFSMS 2007,Digital Evidence,Digital Evidence
"Jansen W., Ayers R.",,Guidelines on PDA Forensics,2004,Guidelines on PDA Forensics,NA,,NA,NA,NA,NA,14,,http://csrc.nist.gov/publications/nistpubs/800-72/sp800-72.pdf,,"Jansen, W.; Ayers, R.",Computer forensics; digital evidence; mobile device security,,,Article,Final,,Scopus,2-s2.0-33746011579,,IFSMS 2007,Digital Evidence,Digital Evidence
"Jansen W., Ayers R.",,Guidelines on PDA Forensics,2004,Guidelines on PDA Forensics,NA,,NA,NA,NA,NA,14,,http://csrc.nist.gov/publications/nistpubs/800-72/sp800-72.pdf,,"Jansen, W.; Ayers, R.",Computer forensics; digital evidence; mobile device security,,,Article,Final,,Scopus,2-s2.0-33746011579,,IFSMS 2007,Digital Evidence,Digital Evidence
McCarthy P.,,"Forensic analysis of mobile phones, University of South Australia, Australia",2005,NIST Publication 800-101: Recommendations of the National Institute of Standards and Technology,NA,,NA,NA,NA,NA,1,,,"University of South Australia, Adelaide","McCarthy, P.",,,,Dissertation,Final,,Scopus,2-s2.0-82455191218,,IFSMS 2007,Digital Evidence,Digital Evidence
Al-Zarouni M.,56134320400;,Mobile handset forensic evidence: A challenge for law enforcement,2006,Proceedings of 4th Australian Digital Forensics Conference,NA,,NA,NA,NA,NA,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867717519&partnerID=40&md5=24bbe852f7b5166c229057350a8c3acb,"School of Computer and Information Science, Edith Cowan University, Australia","Al-Zarouni, M., School of Computer and Information Science, Edith Cowan University, Australia",Cell phone evidence; Digital device forensics; Mobile phone forensic toolkits; Mobile phone forensics,Cell phone; Computing power; Criminal case; Data carriers; Emerging technologies; Forensic evidence; Mobile handsets; Mobile phone handsets; Potential impacts; Semiconductor technology; Cellular telephones; Computer forensics; Digital devices; Electronic crime countermeasures; Mobile devices; Semiconductor device manufacture; Mobile phones,"Al-Zarouni, M.; School of Computer and Information Science, Edith Cowan UniversityAustralia; email: forensics@marwan.com",Conference Paper,Final,,Scopus,2-s2.0-84867717519,,IFSMS 2007,Digital Evidence,Digital Evidence
"DiClemente A., Horvath M., Pollitt M.",,Digital Evidence: A Review: 2001 to 2004,2004,the proceedings of the 14th International Forensic Science Symposium,NA,,NA,NA,NA,NA,1,,http://www.interpol.int/Public/Forensic/IFSS/meeting14/ReviewPapers.pdf,"Interpol, Lyon","DiClemente, A.; Horvath, M.; Pollitt, M.",,,,Review,Final,,Scopus,2-s2.0-70349705139,,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],,,2007,National Association of Testing Authorities,NA,,NA,NA,NA,NA,NA,,www.nata.asn.au,,,,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
Association of Chief Police Officers,[No author id available],Good Practice Guide for Computer Based Electronic Evidence,2003,Good Practice Guide for Computer Based Electronic Evidence,NA,,NA,NA,NA,NA,105,,http://www.acpo.police.uk/asp/policies/Data/gpg_computer_based_evidence_v3.pdf,,Association of Chief Police Officers,,,,Guide,Final,,Scopus,2-s2.0-33745186968,,IFSMS 2007,Digital Evidence,Digital Evidence
"Leigland R., Krings A.W.",,A formalization of digital forensics,2004,International Journal of Digital Evidence,3,2,NA,1,32,NA,47,,http://www.utica.edu/academic/institutes/ecii/publications/articles/A0B8472C-D1D2-8F98-8F7597844CF74DF8.pdf,,"Leigland, R.; Krings, A.W.",,,,Article,Final,,Scopus,2-s2.0-34447521035,,IFSMS 2007,Digital Evidence,Digital Evidence
Reyes  A.,,"Cyber Crime Investigations: Bridging the Gaps Between Security Professionals, Law Enforcement, and Prosecutors",2007,Syngress Publishing Ltd,NA,,NA,NA,NA,NA,NA,,,,"Reyes, A.",,,,Book,,,,,,IFSMS 2007,Digital Evidence,Digital Evidence
Malinowski C.,,"The Digital Investigative Unit: Staffing, Training and Issues",2006,"Forensic Computer Crime Investigation, Ed by Johnson, T. A.",NA,,NA,NA,NA,NA,NA,,,,"Malinowski, C",,,,Book Chapter,,,,,,IFSMS 2007,Digital Evidence,Digital Evidence
Reyes A.,,"Cyber Crime Investigations: Bridging the Gaps Between Security Professionals, Law Enforcement, and Prosecutors",2007,Syngress Publishing Ltd,NA,,NA,NA,NA,NA,NA,,,,"Reyes, A.",,,,Book,,,,,,IFSMS 2007,Digital Evidence,Digital Evidence
"Brinson A., Robinson A., Rogers M.",14040084100;14040466800;7402696818;,A cyber forensics ontology: Creating a new approach to studying cyber forensics,2006,Digital Investigation,3,SUPPL.,NA,37,43,NA,26,10.1016/j.diin.2006.06.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745981764&doi=10.1016%2fj.diin.2006.06.008&partnerID=40&md5=b1ea7a7725baaa8536f37fc16963fe3c,"Department of Computer and Information Technology, Purdue University, 401 North Grant Street, Room 255, West Lafayette, IN 47907, United States","Brinson, A., Department of Computer and Information Technology, Purdue University, 401 North Grant Street, Room 255, West Lafayette, IN 47907, United States; Robinson, A., Department of Computer and Information Technology, Purdue University, 401 North Grant Street, Room 255, West Lafayette, IN 47907, United States; Rogers, M., Department of Computer and Information Technology, Purdue University, 401 North Grant Street, Room 255, West Lafayette, IN 47907, United States",Certification; Curriculum; Cyber forensics; Model; Ontology; Specialization,Computer crime; Computer science; Curricula; Education; Information retrieval; Professional aspects; Technical presentations; Certification; Cyber forensics; Ontology; Specialization; Cybernetics,"Brinson, A.; Department of Computer and Information Technology, Purdue University, 401 North Grant Street, Room 255, West Lafayette, IN 47907, United States; email: abrinson@purdue.edu",Article,Final,Open Access,Scopus,2-s2.0-33745981764,,IFSMS 2007,Digital Evidence,Digital Evidence
"Meyers M., Rogers M.",,Computer forensics: The need for standardization and certification,2004,International Journal of Digital Evidence,3,2,NA,1,11,NA,59,,http://www.utica.edu/academic/institutes/ecii/publications/articles/A0B7F51C-D8F9-A0D0-7F387126198F12F6.pdf,,"Meyers, M.; Rogers, M.",,,,Article,Final,,Scopus,2-s2.0-33847204918,,IFSMS 2007,Digital Evidence,Digital Evidence
"Kent K., Chevalier S., Grance T., Dang H.",,Guide to integrating forensic techniques into incident response,2006,NIST Special Publication,NA,,NA,800,886,NA,55,,http://csrc.nist.gov/publications/nistpubs/800-86/SP800-86.pdf,,"Kent, K.; Chevalier, S.; Grance, T.; Dang, H.",FISMA; Forensics; Incident Response,,,Article,Final,,Scopus,2-s2.0-79851504208,,IFSMS 2007,Digital Evidence,Digital Evidence
Lyle J.,,Computer Forensics Tool Testing,2007,National Institute of Standards and Technology,NA,,NA,NA,NA,NA,NA,,http://www.cftt.nist.gov/documents/Amalfi-04.ppt,,"Lyle, J.",,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
NIST,,NIST computer forensics tool testing project,2007,NIST computer forensics tool testing project,NA,,NA,NA,NA,NA,1,,http://www.cftt.nist.gov/project_overview.htm,,NIST,,,,Website,Final,,Scopus,2-s2.0-53149094051,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
Lyle J.R.,7005221825;,A strategy for testing hardware write block devices,2006,Digital Investigation,3,SUPPL.,NA,3,9,NA,7,10.1016/j.diin.2006.06.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745999080&doi=10.1016%2fj.diin.2006.06.001&partnerID=40&md5=311d93e3f53fe324ecc4b00bc2b34591,"National Institute of Standards and Technology (NIST), 100 Bureau Drive, Stop 8970, Gaithersburg, MD 20899-8970, United States","Lyle, J.R., National Institute of Standards and Technology (NIST), 100 Bureau Drive, Stop 8970, Gaithersburg, MD 20899-8970, United States",Computer forensics; Digital evidence; Software testing; Tool testing; Write blocking,Computer aided software engineering; Computer crime; Law enforcement; Reliability theory; Standards; User interfaces; Computer Forensic Tool Testing (CFTT); Computer forensics; Digital evidence; Software testing; Tool testing; Write blocking; Computer hardware,"Lyle, J.R.; National Institute of Standards and Technology (NIST), 100 Bureau Drive, Stop 8970, Gaithersburg, MD 20899-8970, United States; email: jlyle@nist.gov",Article,Final,Open Access,Scopus,2-s2.0-33745999080,,IFSMS 2007,Digital Evidence,Digital Evidence
"Beckett J., Slay J.",47861765800;15756115700;,Digital forensics: Validation and verification in a dynamic work environment,2007,Proceedings of the Annual Hawaii International Conference on System Sciences,NA,,4076921,NA,NA,NA,27,10.1109/HICSS.2007.175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39749167304&doi=10.1109%2fHICSS.2007.175&partnerID=40&md5=e5b33fe9ec62c4912b20d5472ed02c1b,University of South Australia,"Beckett, J., University of South Australia; Slay, J., University of South Australia",,Digital forensics; Dynamic work environment; Practitioners; Accreditation; Computer aided software engineering; Verification; Security of data,"Beckett, J.; University of South AustraliaAustralia; email: jason.beckett@postgrads.unisa.edu.au",Conference Paper,Final,,Scopus,2-s2.0-39749167304,,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],,ISO 17025 General Requirements for the Competence of Testing and Calibration Laboratories,2007,,NA,,NA,NA,NA,NA,NA,,http://www.iso.ch/iso/en/CatalogueDetailPage.CatalogueDetail?CSNUMBER=39883,,,,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
"DiClemente A., Horvath M., Pollitt M.",,Digital Evidence: A Review: 2001 to 2004,2004,the proceedings of the 14th International Forensic Science Symposium,NA,,NA,NA,NA,NA,1,,,"Interpol, Lyon","DiClemente, A.; Horvath, M.; Pollitt, M.",,,,Review,Final,,Scopus,2-s2.0-70349705139,,IFSMS 2007,Digital Evidence,Digital Evidence
" Bousquet R,",,"Computer Forensic Backlog, Triage: a solution to the problem",2007,ADF Solutions,NA,,NA,NA,NA,NA,NA,www.adfsolutions.com,,," Bousquet, R",,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
" Bousquet R,",,"Computer Forensic Backlog, Triage: a solution to the problem",2007,ADF Solutions,NA,,NA,NA,NA,NA,NA,www.adfsolutions.com,,," Bousquet, R",,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
Waalia J.J.,,ADF Solutions,2007,Presentation to 2007 China International Digital Forensics Forum,NA,,NA,NA,NA,NA,NA,,,"Bejing, China","Waalia, J.J.",,,,Presentation,,,,,,IFSMS 2007,Digital Evidence,Digital Evidence
Ball C.,,Dodging the Bullet: Cross-Examination Tips for Computer Forensic Examiners,2007,,NA,,NA,NA,NA,NA,NA,,http://www.craigball.com/expertcross.pdf,," Ball, C. ",,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
"Carney M., Rogers M.",,The Trojan made me do it: A first step in statistical based computer forensics event reconstruction,2004,International Journal of Digital Evidence,2,4,NA,1,11,NA,14,,http://www.utica.edu/academic/institutes/ecii/publications/articles/A0B2CCCB-E6FC-6840-AF4A01356B9B687A.pdf,,"Carney, M.; Rogers, M.",,,,Article,Final,,Scopus,2-s2.0-33751333555,,IFSMS 2007,Digital Evidence,Digital Evidence
"Brenner S., Carrier B., Henninger J.",,The trojan horse defense in cybercrime cases,2005,CERIAS Tech Report 2005-15,NA,,NA,NA,NA,NA,1,,http://www.accessmylibrary.com/comsite5/bin/comsite5.pl?page=library&item_id=0286-8464692,Purdue University,"Brenner, S.; Carrier, B.; Henninger, J.",,,,Report,Final,,Scopus,2-s2.0-78651085454,,IFSMS 2007,Digital Evidence,Digital Evidence
[No author name available],,Computer Forensics,2005,US-CERT,NA,,NA,NA,NA,NA,NA,,www.us-cert.gov/reading_room/forensics.pdf,,,,,,Website,,,,,"June, 2020",IFSMS 2007,Digital Evidence,Digital Evidence
