Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
[No author name available],,United States v Starzecpyzel,1995,US District Court for the Southern District of New York,,,880 F. Supp 1027 SDNY,,,,,,https://law.justia.com/cases/federal/district-courts/FSupp/880/1027/1408539/,,,,,,Court Document,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
[No author name available],,"R v Doheny, R v Adams",1997,,,,1 Cr App Rep 369,,,,,,,,,,,,Court Document,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
[No author name available],,United States v Byron Mitchell,1999,US District Court for the Eastern District of Pennsylvania,,,96-00407,,,,,,http://onin.com/fp/bmitch2.pdf,,,,,,Court Document,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
Bird S.J.,7201459553;,Scientific certainty: Research versus forensic perspectives,2001,Journal of Forensic Sciences,46,4,,978,981,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034950945&partnerID=40&md5=a6403ded86edd849994508e85302c767,"Massachusetts Inst. of Technology, Cambridge, MA 02139, United States","Bird, S.J., Massachusetts Inst. of Technology, Cambridge, MA 02139, United States",Conflict of interest; Deception; Ethics; Expert witness; Forensic science; Research; Scientific certainty,community; conference paper; court; ethics; expert witness; forensic science; information processing; information system; interpersonal communication; medical research; priority journal; recumbency; Conflict of Interest; Expert Testimony; Forensic Medicine; Humans; Information Services; Jurisprudence; Public Opinion; Research; Truth Disclosure,"Bird, S.J.; Massachusetts Inst. of Technology, Cambridge, MA 02139, United States",Conference Paper,Final,,Scopus,2-s2.0-0034950945,,IFSMS 2004,Fingermark Composition,Fingermarks
"Champod C., Evett I.W.",6603229803;35575837900;,A probabilistic approach to fingerprint evidence,2001,Journal of Forensic Identification,51,2,,101,122,,77,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035080017&partnerID=40&md5=d7f49c75b9dfd2728c8b46ff7eb28436,"Forensic Science Service, 109, Lambeth Road, London, SE1 7LP, United Kingdom","Champod, C., Forensic Science Service, 109, Lambeth Road, London, SE1 7LP, United Kingdom; Evett, I.W., Forensic Science Service, 109, Lambeth Road, London, SE1 7LP, United Kingdom",,clinical practice; crime; finger dermatoglyphics; forensic medicine; human; laboratory test; note; probability,"Champod, C.; Forensic Science Service, 109, Lambeth Road, London, SE1 7LP, United Kingdom",Note,Final,,Scopus,2-s2.0-0035080017,,IFSMS 2004,Fingermark Composition,Fingermarks
Crispino F.,,Comments on JFI 51 (3),2001,Journal of Forensic Identification,51,5,,449,456,,,,,,"Crispino, F.",,,,Review,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
"Frégeau C.J., Germain O., Miller K.J., Fourney R.M.",,The Effects of Blood Enhancement Chemicals on Subsequent DNA Analysis,2001,Ident. Canada,24,3,,4,13,,1,,,,"FrÈgeau, C.J.; Germain, O.; Miller, K.J.; Fourney, R.M.",,,,Article,,,Scopus,2-s2.0-4243245727,,IFSMS 2004,Fingermark Composition,Fingermarks
"Freinkel R.K., Woodley D.T.",,The biology of the skin,2001,The Biology of the Skin,,,,,,,69,,,,"Freinkel, R.K.; Woodley, D.T.",,,,Book,Final,,Scopus,2-s2.0-12344284160,,IFSMS 2004,Fingermark Composition,Fingermarks
Gutowski S.J.,,Statistics and evidence in field and identification sciences,2001,The Forensic Bulletin,,November,,16,18,,,,,,"Gaudes, C.",,,,Article,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
Hankin G.,,Essential knowledge for fingerprint analysis and comparison,2001,Identification Canada,24,2,,4,11,,,,,,"Hankin, G.",,,,Article,,,,,,IFSMS 2004,Fingermark Composition,Fingermarks
"Kahn H.S., Ravindranath R., Valdez R., Narayan K.M.V.",7101721907;56037912100;7103412257;56726795700;,Fingerprint ridge-count difference between adjacent fingertips (dR45) predicts upper-body tissue distribution: Evidence for early gestational programming,2001,American Journal of Epidemiology,153,4,,338,344,,24,10.1093/aje/153.4.338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035865553&doi=10.1093%2faje%2f153.4.338&partnerID=40&md5=079d988e21796a047635fa8e427142f5,"Division of Diabetes Translation, National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, Atlanta, GA, United States; Department of Anatomy, St. John's Medical College, Bangalore, India; Division of Diabetes Translation, National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, 4770 Buford Highway, Atlanta, GA 30341, United States","Kahn, H.S., Division of Diabetes Translation, National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, Atlanta, GA, United States, Division of Diabetes Translation, National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, 4770 Buford Highway, Atlanta, GA 30341, United States; Ravindranath, R., Department of Anatomy, St. John's Medical College, Bangalore, India; Valdez, R., Division of Diabetes Translation, National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, Atlanta, GA, United States; Narayan, K.M.V., Division of Diabetes Translation, National Center for Chronic Disease Prevention and Health Promotion, Centers for Disease Control and Prevention, Atlanta, GA, United States",Age factors; Anthropometry; Body constitution; Dermatoglyphics; Diabetes mellitus; Risk factors; Survival rate,adolescent; adult; age; aged; anthropometry; article; body constitution; controlled study; diabetes mellitus; finger dermatoglyphics; human; major clinical study; male; prediction; prenatal development; risk factor; survival; trunk; Adolescent; Adult; Age Distribution; Body Constitution; Cross-Sectional Studies; Dermatoglyphics; Diabetes Mellitus; Embryonic and Fetal Development; Female; Fingers; Gestational Age; Humans; Male; Pregnancy; Reference Values; Regression Analysis; Spinal Nerves; Survival Analysis,"Kahn, H.S.; Division of Diabetes Translation, Natl. Ctr. for Chron. Disease Prev., Centers for Dis. Ctrl. and Prev., 4770 Buford Highway, MS K-68, Atlanta, GA 30341, United States; email: hsk1@cdc.gov",Article,Final,,Scopus,2-s2.0-0035865553,,IFSMS 2004,Fingermark Composition,Fingermarks
Kaufman H.H.,55217265400;,The expert witness. Neither Frye nor Daubert solved the problem: What can be done?,2001,Science and Justice - Journal of the Forensic Science Society,41,1,,7,20,,23,10.1016/S1355-0306(01)71844-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035145387&doi=10.1016%2fS1355-0306%2801%2971844-8&partnerID=40&md5=e3a35256ca7902acf97d943df0f8850f,"Department of Neurosurgery, West Virginia University School of Medicine, Morgantown, WV 26506, United States; Georgetown University Law Center, Washinton DC, United States","Kaufman, H.H., Department of Neurosurgery, West Virginia University School of Medicine, Morgantown, WV 26506, United States, Georgetown University Law Center, Washinton DC, United States",Bendectin; Daubert; Expert testimony; Expert witness; Federal Rules of Evidence; Forensic science; Frye; Silicone breast implants,antihistaminic agent; bendectin; debendox; silicone; spasmolytic agent; article; birth defect; breast endoprosthesis; expert witness; food and drug administration; forensic science; law suit; legal liability; malpractice; silicone prosthesis; teratogenesis,"Kaufman, H.H.; Department of Neurosurgery, West Virginia University School of Medicine, Morgantown, WV 26506, United States",Article,Final,,Scopus,2-s2.0-0035145387,,IFSMS 2004,Fingermark Composition,Fingermarks
