Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Bradley P.L., Baxter A.",7201850202;7103395104;,"Fires, explosions and related incidents at work in Great Britain in 1998/1999 and 1999/2000",2002,Journal of Loss Prevention in the Process Industries,15,5,,365,372,,9,10.1016/S0950-4230(02)00022-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036708733&doi=10.1016%2fS0950-4230%2802%2900022-0&partnerID=40&md5=83d9d462194519c0a4ce7414e6a21fce,"Technology Division, Health and Safety Executive, Magdalen House, Bootle, Merseyside L20 3QZ, United Kingdom","Bradley, P.L., Technology Division, Health and Safety Executive, Magdalen House, Bootle, Merseyside L20 3QZ, United Kingdom; Baxter, A., Technology Division, Health and Safety Executive, Magdalen House, Bootle, Merseyside L20 3QZ, United Kingdom",Carriage; Exothermic reactions; Explosions; Fires; HSE; Incidents at work; Unignited releases,Chemical reactions; Explosions; Flammable materials; Statistical methods; Runway explosion reactions; Fires; health and safety,"Bradley, P.L.; Technology Division, Health and Safety Executive, Bootle, Merseyside L20 3QZ, United Kingdom; email: penny.bradley@hse.gsi.gov.uk",Short Survey,Final,,Scopus,2-s2.0-0036708733,,IFSMS 2004,Fire Investigation,Fire Investigation
"Holborn P.G., Nolan P.F., Golt J., Townsend N.",6603650242;7202342436;6507175592;36762469500;,Fires in workplace premises: Risk data,2002,Fire Safety Journal,37,3,,303,327,,22,10.1016/S0379-7112(01)00055-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036532947&doi=10.1016%2fS0379-7112%2801%2900055-8&partnerID=40&md5=2ad41ed17d0adc1bf5cefcfe893e6951,"Explosions and Fire Research Unit, Chemical Engineering Research Centre, South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom; Fire Safety Department, London Fire Brigade, Room 804 Hampton House, 20 Albert Embankment, London SE1 7SD, United Kingdom","Holborn, P.G., Explosions and Fire Research Unit, Chemical Engineering Research Centre, South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom; Nolan, P.F., Explosions and Fire Research Unit, Chemical Engineering Research Centre, South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom; Golt, J., Fire Safety Department, London Fire Brigade, Room 804 Hampton House, 20 Albert Embankment, London SE1 7SD, United Kingdom; Townsend, N., Fire Safety Department, London Fire Brigade, Room 804 Hampton House, 20 Albert Embankment, London SE1 7SD, United Kingdom",,Fire protection; Probability; Risk assessment; Uncontrolled fires; Fire hazards,"Holborn, P.G.; Explosions and Fire Research Unit, Chemical Engineering Research Centre, South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom; email: holborpg@sbu.ac.uk",Article,Final,,Scopus,2-s2.0-0036532947,,IFSMS 2004,Fire Investigation,Fire Investigation
"Holborn P.G., Nolan P.F., Golt J.",6603650242;7202342436;6507175592;,An analysis of fatal unintentional dwelling fires investigated by London Fire Brigade between 1996 and 2000,2003,Fire Safety Journal,38,1,,1,42,,81,10.1016/S0379-7112(02)00049-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037258006&doi=10.1016%2fS0379-7112%2802%2900049-8&partnerID=40&md5=6ee376e1c6a694f5725617d05d564afd,"Explosions and Fire Research Unit, Chemical Engineering Research Centre, South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom; Fire Safety Department, London Fire Brigade, Hampton House, 20 Albert Embankment, London SE1 7SD, United Kingdom","Holborn, P.G., Explosions and Fire Research Unit, Chemical Engineering Research Centre, South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom; Nolan, P.F., Explosions and Fire Research Unit, Chemical Engineering Research Centre, South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom; Golt, J., Fire Safety Department, London Fire Brigade, Hampton House, 20 Albert Embankment, London SE1 7SD, United Kingdom",Accidental ignition; Fatal fires; Fire investigation; London; Risk factors,Accident prevention; Alcohols; Fire alarm systems; Fire extinguishers; Risk assessment; Smoke; Statistical methods; Fatal fires; Fire hazards,"Holborn, P.G.; Explosions and Fire Research Unit, Chemical Engineering Research Centre, South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom; email: holborpg@sbu.ac.uk",Short Survey,Final,,Scopus,2-s2.0-0037258006,,IFSMS 2004,Fire Investigation,Fire Investigation
"Kremers F., Becker A., Detering B., Rauch G., Wolf J.",56630316500;57199934026;6603190696;7005084319;7403565461;,Survey of the causes of fires and explosions in member companies of the German Holz-Berufsgenossenschaft [Ermittlung der ursachen von bränden und explosionen in mitgliedsbetrieben der Holz-Berufsgenossenschaft],2001,Gefahrstoffe Reinhaltung der Luft,61,9,,395,400,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034838261&partnerID=40&md5=c223952c776a42ebc2379366f27cc6aa,"Holz-Berufsgenossenschaft, München, Germany","Kremers, F., Holz-Berufsgenossenschaft, München, Germany; Becker, A., Holz-Berufsgenossenschaft, München, Germany; Detering, B., Holz-Berufsgenossenschaft, München, Germany; Rauch, G., Holz-Berufsgenossenschaft, München, Germany; Wolf, J., Holz-Berufsgenossenschaft, München, Germany",,paint; article; building industry; explosion; fatality; fire; Germany; lung burn; occupational safety,"Kremers, F.; Holz-Berufsgenossenschaft, München, Germany",Article,Final,,Scopus,2-s2.0-0034838261,,IFSMS 2004,Fire Investigation,Fire Investigation
"Wibbenmeyer L.A., Amelon M.A., Loret de Mola R.M., Lewis R., Kealey G.P.",6603350890;6507447718;6504350515;7404846697;7004138317;,Trash and brush burning: An underappreciated mechanism of thermal injury in a rural community,2003,Journal of Burn Care and Rehabilitation,24,2,,85,89,,14,10.1097/01.BCR.0000054174.74803.7F,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037334229&doi=10.1097%2f01.BCR.0000054174.74803.7F&partnerID=40&md5=13ab06e7752fe479e9d8e8caa5dae0e7,"Department of Surgery, Univ. of Iowa College of Medicine, Iowa City, IA, United States; Chicago Coll. of Osteopathic Med., Midwestern University, Downers Grove, IL, United States; Univ. of Iowa Hospitals and Clinics, Department of Surgery, 1504 JCP, 200 Hawkins Drive, Iowa City, IA 52242, United States","Wibbenmeyer, L.A., Department of Surgery, Univ. of Iowa College of Medicine, Iowa City, IA, United States, Univ. of Iowa Hospitals and Clinics, Department of Surgery, 1504 JCP, 200 Hawkins Drive, Iowa City, IA 52242, United States; Amelon, M.A., Department of Surgery, Univ. of Iowa College of Medicine, Iowa City, IA, United States; Loret de Mola, R.M., Chicago Coll. of Osteopathic Med., Midwestern University, Downers Grove, IL, United States; Lewis, R., Department of Surgery, Univ. of Iowa College of Medicine, Iowa City, IA, United States; Kealey, G.P., Department of Surgery, Univ. of Iowa College of Medicine, Iowa City, IA, United States",,"accident prevention; adolescent; adult; aged; body surface; burn; child; female; fire; groups by age; health care cost; hospital admission; human; major clinical study; male; review; risk factor; rural population; sex ratio; surgical technique; thermal injury; waste disposal; Adolescent; Adult; Age Distribution; Aged; Aged, 80 and over; Burns; Child; Child, Preschool; Female; Humans; Incineration; Infant; Male; Middle Aged; Retrospective Studies; Risk Factors; Rural Population; Sex Distribution; United States","Wibbenmeyer, L.A.; Univ. of Iowa Hospitals and Clinics, Department of Surgery, 1504 JCP, 200 Hawkins Drive, Iowa City, IA 52242, United States",Review,Final,,Scopus,2-s2.0-0037334229,,IFSMS 2004,Fire Investigation,Fire Investigation
"Sukhai A., Harris C., Moorad R.G.R., Dada M.A.",8629945400;18934822400;12765052000;7005090699;,"Suicide by self-immolation in Durban, South Africa: A five-year retrospective review",2002,American Journal of Forensic Medicine and Pathology,23,3,,295,298,,35,10.1097/00000433-200209000-00020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036731878&doi=10.1097%2f00000433-200209000-00020&partnerID=40&md5=2c64565cc9c43823d7bf3605d887dc62,"Crime, Violence, and Injury Lead Programme, Medical Research Council, Durban, South Africa; Department of Forensic Medicine, University of Natal, Durban, South Africa; Crime, Violence, and Injury Lead Programme, Medical Research Council, 491 Ridge Road, Durban, 4001, South Africa","Sukhai, A., Crime, Violence, and Injury Lead Programme, Medical Research Council, Durban, South Africa, Crime, Violence, and Injury Lead Programme, Medical Research Council, 491 Ridge Road, Durban, 4001, South Africa; Harris, C., Crime, Violence, and Injury Lead Programme, Medical Research Council, Durban, South Africa; Moorad, R.G.R., Department of Forensic Medicine, University of Natal, Durban, South Africa; Dada, M.A., Department of Forensic Medicine, University of Natal, Durban, South Africa",Burns; Self-immolation; Self-incineration; South Africa; Suicide,adolescent; adult; aged; article; burn; cause of death; female; forensic medicine; health survey; human; injury scale; international cooperation; major clinical study; male; medical record; medical research; mortality; prevalence; skin surface; South Africa; suicide; Adolescent; Adult; Aged; Burns; Female; Humans; Male; Mental Disorders; Middle Aged; Retrospective Studies; Sex Distribution; South Africa; Suicide,"Sukhai, A.; Crime Violence/Injury Lead Programme, Medical Research Council, 491 Ridge Road, Durban 4001, South Africa; email: anesh.sukhai@mrc.ac.za",Article,Final,,Scopus,2-s2.0-0036731878,,IFSMS 2004,Fire Investigation,Fire Investigation
Karter M.J.,,Fire Loss in the United States During 2001,2002,National Fire Protection Association,,,,,,,,,http://www.nfpa.org/PDF/2001FireLoss.PDF?src=nfpa,,,,,,Article,,,,,,IFSMS 2004,Fire Investigation,Fire Investigation
DeHaan J.D.,,Our changing world. Part 1: furnishings,2002,Fire and Arson Investigator,52,2,,44,45,,,,,,,,,,Article,,,,,,IFSMS 2004,Fire Investigation,Fire Investigation
DeHaan J.D.,,"Our changing world. Part 2: ignitable liquids: petroleum distillates, petroleum products and other stuff",2002,Fire and Arson Investigator,52,3,,46,47,,,,,,,,,,Article,,,,,,IFSMS 2004,Fire Investigation,Fire Investigation
DeHaan J.D.,,Our changing world. Part 3: detection limits - is more sensitive necessarily more better?,2002,Fire and Arson Investigator,,,,20,23,,,,,,,,,,Article,,,,,,IFSMS 2004,Fire Investigation,Fire Investigation
