Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Wright D.C.,,Individuality and Reproducibility of Striae on Plastic Wad Components Fired from a Sawed-Off Shotgun,2003,AFTE Journal,35,2,,161,166,,,,,"Kansas Bureau of Investigation, Firearm & Toolmark Section, Kansas City, Kansas","Kansas Bureau of Investigation, Firearm & Toolmark Section, Kansas City, Kansas","Published case reports document the identifications of fired plastic wad components to the barrels of sawed-off shotguns. These identifications are based on striae located on the bearing surface of the wads as a result of burrs left behind by the tool used to cut the barrel. This study evaluates the reproducibility and individuality of these striations through the microscopic examination of plastic wads fired from a shotgun after a hacksaw has been used to cut off portions of the barrel. Methods for testing, microscopic examination, and documentation were developed that may aid examiners when faced with such evidence in future casework.","Examination of Plastic Wads, Hacksaw Blades, Lighting Methods, Sawed-off Shotgun, Winchester Drylok Super Steel Ammunition",,Article,,,,,,IFSMS 2004,Firearms,Firearms
Dutton G.,,Firearms Identification - Sometimes All Is Not As It Seems,2003,AFTE Journal,35,2,,245,249,,,,,,"A Technical Report By Sergeant Gerard Dutton, Tasmania Police, Hobart, Tasmania, AUSTRALIA.","There are many different ways to report our findings after carrying out various field and laboratory examinations. AFTE members from laboratories who participate in the Collaborative Testing Services (Virginia USA) Proficiency Tests will be aware from the Final Reports, just how many different ways hundreds of individuals can report exactly the same conclusion. A shooting murder investigated recently by the author highlighted some issues in regards to the technically correct way to report upon comparative examination results. The circumstances of the case and the evidence recovered dictated what was required in the report and this is discussed for the benefit and consideration of AFTE members if a similar situation is encountered in their casework.","Breech bolt, Firearms identification, Firing pin, Reporting, Stirling model 14 rifle, Terminology.",,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Jueckstock G.E., Moline K.W. ",,Accidental/Unusual Discharge of a Jennings J-22,2002,AFTE Journal,34,3,,306,,,,,,,"Gary E. Jueckstock, Hennepin County Sheriff's Crime Laboratory, Minneapolis, MN and Kurt W. Moline, Minnesota Bureau of Criminal Apprehension, St. Paul, MN","A Jennings, Model J-22 was found to discharge with a blow to the slide.","accidental discharge, unusual discharge, Jennings",,Article,,,,,,IFSMS 2004,Firearms,Firearms
Drotz L.C.,,Fibres on Bullets After Firing Through Textiles,2002,PROC EUROPEAN FIBRES GROUP,10,,,110,112,,,,,,,,,,Conference material,,,,,,IFSMS 2004,Firearms,Firearms
Haag L.C.,,"Once Fired, Twice Fired, More? A Novel Method for Assessing the Number of Firings of Shotshells with Plastic Bodies",2002,AFTE Journal,34,1,,11,15,,,,,,"Lucien C. Haag, Forensic Science Services, Inc., Carefree, AZ","A pattern is produced on the interior surface of the plastic tube in modern shotshells during the discharge process that directly relates to the number of times the shell has been fired. This ""alligator"" pattern has unique characteristics and is generated by the erosive effects of the hot powder gases rushing out the shell during discharge. The pattern can be quantified and associated with the number of times the shell has been fired.","shotguns, shotshells, reloads, gun bursts, alligator pattern",,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Argaman U., Shoshani E., Klein A.",,A Suicide Bomber's Weapon,2001,AFTE Journal,33,4,,335,336,,,,,,"Uri Argaman, B.Sc., Ezra Shoshani, B. Sc. and Asne Klein, M.Sc., Division of Identification & Forensic Science (D.I.F.S.), Israel Police National Headquarters, Jerusalem, Israel","In 1997 a suicide bomber carrying a bomb and a pistol, denoted his explosives and exploded himself in the heart of Downtown Jerusalem. From the pistol parts that were recovered, it was found that the pistol was an FN Hi -Power semi -automatic, 9 mm Luger caliber. This report shows the identification of the exploded pistol parts and ammunition.","FN, suicide bomber, explosion, ammunition explosion",,Article,,,,,,IFSMS 2004,Firearms,Firearms
Spinder T.,,Suppressed Ruger 10/22,2001,AFTE Journal,33,4,,332,,,,,,,"Travis Spinder, Southwestern Institute of Forensic Sciences, Dallas, TX",This is a case review of a suppressed Ruger 10/22 that was submitted to the Laboratory for testing.,"Silencer, Sound Suppressor",,Article,,,,,,IFSMS 2004,Firearms,Firearms
Monturo C. ,,Information on Hi-Point Manufacturing,2003,AFTE Journal,35,2,,243,244,,,,,,"A Technical Report By Chris Monturo, Miami Valley Regional Crime Laboratory, Dayton, OH","Beemiller Manufacturing is the base for Hi -Point firearms. The owner, Tom Deeb, has recently modified certain aspects of production which is of importance to firearm examiners. The new additions of 40 and 45 caliber polymer framed pistols also have characteristics of interest to firearm examiners.","Hi -Point, rifling, hidden serial number",,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Shoshani E., Argaman U., Koffman A., Giverts P.",,A Shortened M-16 Rifle,2002,AFTE Journal,34,3,,307,309,,,,,,"Ezra Shoshani, Uri Argaman, Avi Koffman, Pavel Giverts, Firearms Identification Laboratory, Division of Identification and Forensic Science (DIFS), Israel Police National Headquarters, Jerusalem, Israel.","An unusual M-16 assault rifle, 5.56X45 mm (.223 REM) caliber, was seized from a suspect. The assault rifle was an M-16, model A1, which had been professionally shortened to an overall length of 57 cm by trimming some of its parts, especially the barrel and the butt-stock. This was done mainly to enable the concealment of this ""subcarbine"". This report shows the alterations to the rifle's parts and the resulting changes in its functionality.","M-16, .223 REM, 5.56X45 mm, shorted rifle",,Article,,,,,,IFSMS 2004,Firearms,Firearms
Anon,,The Smallest Guns in the World?,2002,Prohibited and Concealed Weapons Review,7,,,11,,,,,,,,,,,Review,,,,,,IFSMS 2004,Firearms,Firearms
