Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Saverio Romolo F., Margot P.",6508292376;7004580112;,Identification of gunshot residue: A critical review,2001,Forensic Science International,119,2,,195,211,,228,10.1016/S0379-0738(00)00428-X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035876938&doi=10.1016%2fS0379-0738%2800%2900428-X&partnerID=40&md5=e2f36a3e097a0be7c0c29e4addbcf379,"Head, Gunshot Residue Anal. Lab., Dir. C., Rome, Italy; Director, Inst. Police Sci. Criminologie, U., Lausanne-Dorigny, Switzerland","Saverio Romolo, F., Head, Gunshot Residue Anal. Lab., Dir. C., Rome, Italy; Margot, P., Director, Inst. Police Sci. Criminologie, U., Lausanne-Dorigny, Switzerland","A review of the scientific papers published on inorganic gunshot residue (GSR) analysis permits to study how the particle analysis has shown its capability in detection and identification of gunshot residue. The scanning electron microscope can be the most powerful tool for forensic scientists to determine the proximity to a discharging firearm and/or the contact with a surface exposed to GSR. Particle analysis can identify individual gunshot residue particles through both morphological and elemental characteristics. When particles are detected on the collected sample, the analytical results can be interpreted following rules of a formal general interpretative system, to determine whether they come from the explosion of a primer or from other possible sources. The particles on the sample are compared with an abstract idea of ""unique"" GSR particle produced by the sole source of the explosion of a primer. ""Uniqueness"" is not the only problem related to GSR detection and identification for a forensic scientist. With ""not-unique"" particles interpretation of results is extremely important. The evidential strength of ""not-unique"" particles can increase with a more fruitful interpretative framework based on Bayes rule. For the assessment of the value of a GSR in linking a suspect and a crime, it is important to compare two hypothesis: the first can be that of the evidence if the suspect has been shooting in a specific situation, the second that of the evidence if the suspect was not involved in this shooting. This case specific or case-by-case approach is closer to what the court is interested in. The authors consider that a ""case-by-case"" approach should be followed whenever possible. Research of models and data such as those developed in other trace evidence material (fibres, glass, etc.) using a Bayesian approach is suggested in the interpretation of GSR. Â© 2001 Elsevier Science Ireland Ltd.",Bayes rule; Firearms chemistry; Gunshot residue; Interpretation,aluminum; antimony; barium; calcium; copper; gunpowder; iron; lead; magnesium; mercury; tin; zinc; analysis; bullet; firearm; melting point; priority journal; review; scanning electron microscopy,Article,Final,,Scopus,2-s2.0-0035876938,,IFSMS 2004,Gunshot Residue,Gunshot Residue
Zeichner A.,7005860122;,Recent developments in methods of chemical analysis in investigations of firearm-related events,2003,Analytical and Bioanalytical Chemistry,376,8,,1178,1191,,78,10.1007/s00216-003-1994-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141956029&doi=10.1007%2fs00216-003-1994-y&partnerID=40&md5=a6c7f79d64cba45b78e3c1d62f4352c5,"Division of Identification and Forensic Science (DIFS), Israel Police National Headquarters, 91906 Jerusalem, Israel","Zeichner, A., Division of Identification and Forensic Science (DIFS), Israel Police National Headquarters, 91906 Jerusalem, Israel","A review of recent (approximately the last ten years) developments in the methods used for chemical analysis in investigations of firearm-related events is provided. This review discusses: examination of gunshot (primer) residues (GSR) and gunpowder (propellant) residues on suspects and their clothing; detection of firearm imprints on the hands of suspects; identification of the bullet entry holes and estimation of shooting distance; linking weapons and/or fired ammunition to the gunshot entries, and estimation of the time since discharge. . Â© Springer-Verlag 2003.",Firearms; Forensic science; GSR; Gunpowder residue; Gunshot residue; Shooting distance; Time since discharge,"Chemical analysis; Energy dispersive spectroscopy; Laboratories; Research and development management; Scanning electron microscopy; Skin; Volatile organic compounds; Firearms; Forensic science; GSR; Gunpowder residue; Gunshot residue; Shooting distance; Time since discharge; Guns (armament); article; cadaver; chemistry; clothing; criminology; firearm; forensic medicine; gunshot injury; hand; human; methodology; pathology; skin; Cadaver; Clothing; Criminology; Firearms; Forensic Medicine; Hand; Humans; Skin; Wounds, Gunshot",Review,Final,,Scopus,2-s2.0-0141956029,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Torre C., Mattutino G., Vasino V., Robino C.",7005464291;6506493063;6504256475;7003535231;,"Brake linings: A source of non-GSR particles containing lead, barium, and antimony",2002,Journal of Forensic Sciences,47,3,,494,504,,62,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036112885&partnerID=40&md5=fd432f5d8da70a9bbcaf3dfb4247ce14,"Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy","Torre, C., Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy; Mattutino, G., Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy; Vasino, V., Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy; Robino, C., Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy","The observation of environmental particles similar in composition to gunshot residue (GSR) are not new to forensic experts and have been described in the scientific literature. In order to better define the origin of these particles, brake linings and their wear products were examined by SEM-EDX. The results obtained demonstrate that some types of brake linings contain lead, barium, and antimony and that they can represent a source of particles showing GSR-like elemental profiles. Most of these particles can be easily discriminated from primer discharge residue because of the high levels of iron or the presence of ""prohibited"" elements in the spectrum. However, particles with iron at minor or trace levels and lacking ""prohibited"" elements were also found. It is thus advisable to use caution when describing the composition of similar particles as ""unique"" to primer discharge residue. The strict application of a rigorous morphological criterion is also recommended.",Criminalistics; Environmental particles; Forensic science; Gunshot residue; Scanning electron microscopy/energy-dispersive spectroscopy,antimony; barium; lead; article; dust; forensic science; gunshot injury; laboratory; motor vehicle; priority journal; sampling; scanning electron microscopy,Article,Final,,Scopus,2-s2.0-0036112885,,IFSMS 2004,Gunshot Residue,Gunshot Residue
ASTM Committee E-30 on Forensic Sciences ,,"ASTM E 1588-95, (Reapproved 2001) standard guide for gunshot residue analysis by scanning electron microscopy/energy- dispersive spectroscopy ",2002,Annual Book of ASTM Standards ,14.02,,,,,,,,,,,,,,Others,,,,,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Coumbaros J., Kirkbride K.P., Kobus H., Sarvas I.",7801471626;56337473100;7003432475;6504767021;,Distribution of lead and barium in gunshot residue particles derived from 0.22 Caliber rimfire ammunition,2001,Journal of Forensic Sciences,46,6,,1352,1357,,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034758670&partnerID=40&md5=2555f3b1d8c13ffdb5435a56e3d1efa2,"Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia","Coumbaros, J., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Kirkbride, K.P., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Kobus, H., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Sarvas, I., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia",0.22 caliber rimfire ammunition is commonly encountered in firearms incidents in Australia. This paper reports on work which has confirmed the nonhomogeneous nature of gunshot residue (GSR) particles and that the lead and barium distribution within panicles varies significantly with the particle size and structure. The outcome has been an improved understanding of how the particle formation influences the ability to determine the origin of GSR derived specifically from 0.22 caliber rim fire ammunition.,0.22 caliber ammunition; Forensic science; Gunshot residue; Scanning electron microscopy,barium; gunpowder; lead; article; Australia; ballistics; forensic science; gunshot injury; particle size; priority journal; scanning electron microscopy,Article,Final,,Scopus,2-s2.0-0034758670,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Collins P., Coumbaros J., Horsley G., Lynch B., Kirkbride K.P., Skinner W., Klass G.",26032053700;7801471626;6602217649;7006183615;56337473100;57201542468;6602385262;,Glass-containing gunshot residue particles: A new type of highly characteristic particle?,2003,Journal of Forensic Sciences,48,3,,538,553,,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037696646&partnerID=40&md5=220403802a7525ac1b41d9ff13a018cc,"Forensic Science Laboratory, Chemistry Centre (WA), 125 Hay Street, East Perth, WA 6004, Australia; Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Ian Wark Research Institute, University of South Australia, Mawson Lakes, SA, Australia; Sch. Pharmaceut./Molec./Biomed. Sci., University of South Australia, Mawson Lakes, SA, Australia","Collins, P., Forensic Science Laboratory, Chemistry Centre (WA), 125 Hay Street, East Perth, WA 6004, Australia; Coumbaros, J., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Horsley, G., Forensic Science Laboratory, Chemistry Centre (WA), 125 Hay Street, East Perth, WA 6004, Australia; Lynch, B., Forensic Science Laboratory, Chemistry Centre (WA), 125 Hay Street, East Perth, WA 6004, Australia; Kirkbride, K.P., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Skinner, W., Ian Wark Research Institute, University of South Australia, Mawson Lakes, SA, Australia; Klass, G., Sch. Pharmaceut./Molec./Biomed. Sci., University of South Australia, Mawson Lakes, SA, Australia","In 0.22 caliber rimfire ammunition, the primer often contains lead or lead and barium compounds. As residues from these primers do not contain lead, barium, and antimony, they cannot be uniquely classified as gunshot residue (GSR) under ASTM designation E 1588-95. In many types of 0.22 caliber rimfire ammunition, the cartridge contains a primer sensitized with glass. In this paper we describe a previously unreported type of GSR particle consisting of glass fused with other primer components. As there appear to be few potential environmental or occupational sources of particles composed of lead and barium compounds fused to glass, particularly borosilicate glass, these particles may have high evidential value. Scanning electron microscopy with energy dispersive X-ray detection (SEM-EDX) and time-of-flight secondary ion mass spectrometry (TOF-SIMS) were evaluated for the characterization of glass-containing GSR particles. The occurrence of glass-containing GSR particles was established in the residue from various brands of 0.22 caliber ammunition, and several sub-types were identified.",0.22 caliber ammunition; Borosilicate glass; Forensic science; Frictionator; Glass; Gunshot residue; Scanning electron microscopy; Time-of-flight secondary ion mass spectrometry,barium derivative; glass; gunpowder; lead; article; chemical composition; evaluation; firearm; gunshot injury; mass spectrometry; particle size; priority journal; refraction index; scanning electron microscopy; signal noise ratio; X ray analysis,Article,Final,,Scopus,2-s2.0-0037696646,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Lebiedzik J., Johnson D.L.",6603130185;57197154064;,Handguns and ammunitions indicators extracted from the GSR analysis,2002,Journal of Forensic Sciences,47,3,,483,493,,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036105251&partnerID=40&md5=9383407f1e24674d2620e5a8b89d6bd9,"Advanced Research Instruments Corp., 5151 Ward Road, Wheat Ridge, CO 80033, United States","Lebiedzik, J., Advanced Research Instruments Corp., 5151 Ward Road, Wheat Ridge, CO 80033, United States; Johnson, D.L., Advanced Research Instruments Corp., 5151 Ward Road, Wheat Ridge, CO 80033, United States","The computer automated scanning electron microscope, X-ray microanalysis of Firearms Discharge Residue (FDR) can reveal substantial information about the circumstances of their generation beyond the presence of characteristic gunshot residue (GSR). Indicators of the type of weapon and ammunition used can be obtained from the distribution of GSR particle shapes and from the multi-element analysis of the FDR sample. This is demonstrated for a large database of GSR samples from nine different handguns and over 60 different ammunitions. An example classification scheme is presented for the supporting particles generally found present in FDR. When particle type area concentration ratios are normalized to the iron (Fe) particle type, results show it is possible to distinguish much about the metal used in the weapon manufacture, whether it was of large or small caliber, whether the bullets were jacketed or plated, and whether the cartridge cases were of aluminum, brass, or nickel-plated brass. Standardization of such analytical schemes would be advantageous.",Automatic analyses; Back scattered electron (BSE) signal; Energy dispersive X-ray analysis; Firearms discharge residue (FDR); Forensic science; Gunshot residue (GSR); Gunshot residue composition; Quantitative microscopy; Scanning electron microscopy,article; ballistics; bullet; forensic science; gunshot injury; image analysis; priority journal; scanning electron microscopy; X ray analysis,Article,Final,,Scopus,2-s2.0-0036105251,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Brozek-Mucha Z., Jankowicz A.",6602161516;15737086500;,Evaluation of the possibility of differentiation between various types of ammunition by means of GSR examination with SEM-EDX method,2001,Forensic Science International,123,1,,39,47,,49,10.1016/S0379-0738(01)00518-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035891493&doi=10.1016%2fS0379-0738%2801%2900518-7&partnerID=40&md5=7a30b1cebd2b6ae79fa112bb6cb349cc,"Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Faculty of Chemistry, Jagiellonian University, Ingardena 3, 30-060 Cracow, Poland","Brozek-Mucha, Z., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Jankowicz, A., Faculty of Chemistry, Jagiellonian University, Ingardena 3, 30-060 Cracow, Poland","Gunshot residues originating from six types of pistol ammunition were studied. Six persons who normally have no contact with weapons fired three times, each person from a different pistol. Samples of gunshot residues were collected from the shooters' hands using aluminium stubs with black carbon adhesive tabs and subjected to examinations of their morphology and elemental content by means of a scanning electron microscope with an energy dispersive X-ray spectrometer in an automatic manner. In a comparative study of the samples, only primer residues were taken into account. The frequency of occurrence of particles representing a certain chemical class against the total number of detected particles was expressed as a percentage. Mutual relations between the frequencies of occurrence of the residues of particular chemical content were found to be different for most of the studied ammunition types using a non-statistical approach - and by means of non-parametric statistical methods (R-Spearman and Ï„-Kendall correlation coefficients), it was possible to differentiate one ammunition type from each of the other ammunition types examined. The performed examinations have revealed some differences in the frequencies of occurrence of certain chemical classes of primer residues, observed for various types of ammunition. These differences could constitute a valuable contribution to group identifications of ammunition made on the basis of physical and chemical examinations of gunshot residues. Â© 2001 Elsevier Science Ireland Ltd. All rights reserved.",Cartridge discharge residues (CDR); Gunshot residues (GSR); Non-parametric statistical methods; Rank correlation coefficients: R-Spearman and Ï„-Kendall; SEM-EDX; Wilcoxon sum rank test,"aluminum; carbon; gunpowder; accuracy; article; controlled study; correlation function; energy; firearm; hand; human; morphology; priority journal; scanning electron microscopy; X ray spectrometry; Forensic Medicine; Humans; Metals; Statistics, Nonparametric; Wounds, Gunshot",Article,Final,,Scopus,2-s2.0-0035891493,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Brozek-Mucha Z., Zadora G.",6602161516;6603075450;,Grouping of ammunition types by means of frequencies of occurrence of GSR,2003,Forensic Science International,135,2,,97,104,,24,10.1016/S0379-0738(03)00177-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042031252&doi=10.1016%2fS0379-0738%2803%2900177-4&partnerID=40&md5=e0f3bc64ed527a3ffbcc150d50a0027a,"Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland","Brozek-Mucha, Z., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Zadora, G., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland","An attempt was made to build a classification scheme for gunshot residues (GSR) samples originating from four types of ammunition, collected from shooters' hands immediately after shooting. The secured material was examined with the use of SEM-EDX method in the automatic manner. The obtained results were expressed as frequencies of occurrence of particles assigned to various chemical classes. In order to establish the most discriminative of these features the Mann-Whitney test was performed. Cluster analysis was performed for grouping the analysed samples according to their origin, i.e. the type of ammunition. It has been found that samples of GSR originating from Browning 7.65mm and Luger 9mm ammunition can be fairly easy differentiated from the remaining samples, whereas samples of GSR originating from of Makarov 9mm and these of Tokarev 7.62mm could not be differentiated using frequencies of occurrence of particles in the selected chemical classes. Â© 2003 Elsevier Science Ireland Ltd. All rights reserved.",Chemometry; Cluster analysis; Frequency of occurrence of primer residues; Gunshot residues (GSR); Mann-Whitney test; SEM-EDX automatic search,gunpowder; article; autoanalysis; classification; cluster analysis; firearm; hand; priority journal; rank sum test; scanning electron microscopy; spectrometry,Article,Final,,Scopus,2-s2.0-0042031252,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Brozek-Mucha Z., Zadora G., Dane F.",6602161516;6603075450;35833642600;,A comparative study of gunshot residue originating from 9 mm Luger ammunition from various producers,2003,Science and Justice - Journal of the Forensic Science Society,43,4,,229,235,,13,10.1016/S1355-0306(03)71782-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242679591&doi=10.1016%2fS1355-0306%2803%2971782-1&partnerID=40&md5=d7fd35bc6ed130fb39a88849ee0fe6e2,"Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Forensic Science Unit, University of Strathclyde, Royal College, George St, Glasgow G1 1XL, United Kingdom","Brozek-Mucha, Z., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Zadora, G., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Dane, F., Forensic Science Unit, University of Strathclyde, Royal College, George St, Glasgow G1 1XL, United Kingdom",[No abstract available],Forensic science; Gunshot residues (GSR)/cartridge discharge residues (CDR); Non-parametric statistical methods; SEM-EDX,antimony; barium; gunpowder; lead; article; bullet; correlation coefficient; diagnostic value; forensic identification; gunshot injury; human; incidence,Article,Final,,Scopus,2-s2.0-0242679591,,IFSMS 2004,Gunshot Residue,Gunshot Residue
