Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Goullé J.P.,7005426457;,Blood ethanol: Analytical and forensic aspects [Mise au point alcoolémie: Aspects analytiques et médico-légaux],2001,Annales Pharmaceutiques Francaises,59,4,NA,278,283,NA,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035408967&partnerID=40&md5=3f20b26d6224aca43b66e31bf7ba4393,"Laboratoire de Pharmacocinetique, Toxicologie Cliniques, Groupe Hospitalier, B.P. 24 F76083, Le Havre Cedex, France","Goullé, J.-P., Laboratoire de Pharmacocinetique, Toxicologie Cliniques, Groupe Hospitalier, B.P. 24 F76083, Le Havre Cedex, France",Blood alcohol levels; Forensic,"alcohol; central depressant agent; alcohol blood level; alcohol metabolism; drunken driving; forensic medicine; France; gas exchange; law; review; blood; forensic medicine; human; medicolegal aspect; Central Nervous System Depressants; Ethanol; Forensic Medicine; France; Humans; Legislation, Medical","Goullé, J.-P.; Laboratoire de Pharmacocinetique, Toxicologie Cliniques, Groupe Hospitalier, B.P. 24 F76083, Le Havre Cedex, France",Review,Final,,Scopus,2-s2.0-0035408967,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
Maatz K.R.,6506579095;,Breath alcohol measuring - Forensic usability and consequences from breath alcohol concentration decision made by the BGH- [Atemalkoholmessung - Forensische verwertbarkeit und konsequenzen aus der AAK-entscheidung des BGH-],2002,Blutalkohol,39,1,NA,21,35,NA,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036163088&partnerID=40&md5=4fac92afe7d875546c6bf4467aff8356,"Richter am Bundesgerichtshof, Herrenstraße 45a, 76133 Karlsruhe, Germany","Maatz, K.R., Richter am Bundesgerichtshof, Herrenstraße 45a, 76133 Karlsruhe, Germany",BrAC/BAC quotient; Breath alcohol measuring; Criminal proceedings; Driving inability; Law infringement; Safety margins; Standardised procedure,alcohol; breath analysis; calibration; court; device; driving ability; human; law; legal aspect; measurement; review; safety; standardization; traffic,"Maatz, K.R.; Richter am Bundesgerichtshof, Herrenstraße 45a, 76133 Karlsruhe, Germany",Review,Final,,Scopus,2-s2.0-0036163088,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
Schoknecht G.,7005203929;,Comparison of quality of both breath and blood alcohol analysis with of the law infringement and criminal offence legislation [Qualitätsvergleich von atem- und blutalkoholbestimmungen im ordnungswidrigkeiten- und strafrechtsbereich],2002,Blutalkohol,39,1,NA,8,20,NA,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036165563&partnerID=40&md5=f8a462646cbceb69eeae2ba19a563455,"Mühlenstr. 5, 14167 Berlin, Germany","Schoknecht, G., Mühlenstr. 5, 14167 Berlin, Germany",Accuracy; Blood alcohol analysis; Breath alcohol analysis; Criminal offences; Law infringements; Precision,alcohol; accuracy; alcohol blood level; blood analysis; breath analysis; criminal law; human; intermethod comparison; measurement; normal value; police; review,"Schoknecht, G.Mühlenstr. 5, 14167 Berlin, Germany",Review,Final,,Scopus,2-s2.0-0036165563,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
"Krause D., Wittig H., Römhild W., Jachau K.",7202948971;7005827693;6603275236;6602709105;,Scientific bases of a breath alcohol threshold for criminal law [Thesen zu den naturwissenschaftlichen grundlagen eines strafrechtsrelevanten atemalkoholgrenzwertes],2002,Blutalkohol,39,1,NA,2,7,NA,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036165699&partnerID=40&md5=c89e2228f14e5838be4215cb07725f76,"Instituts für Rechtsmedizin, Otto-von-Guericke-Universität, Leipziger Straße 44, 39120 Magdeburg, Germany","Krause, D., Instituts für Rechtsmedizin, Otto-von-Guericke-Universität, Leipziger Straße 44, 39120 Magdeburg, Germany; Wittig, H., Instituts für Rechtsmedizin, Otto-von-Guericke-Universität, Leipziger Straße 44, 39120 Magdeburg, Germany; Römhild, W., Instituts für Rechtsmedizin, Otto-von-Guericke-Universität, Leipziger Straße 44, 39120 Magdeburg, Germany; Jachau, K., Instituts für Rechtsmedizin, Otto-von-Guericke-Universität, Leipziger Straße 44, 39120 Magdeburg, Germany",Blood alcohol concentration; Breath alcohol concentration; Criminal law; Threshold,alcohol; accuracy; alcohol blood level; asthma; breath analysis; breathing; calibration; criminal law; human; legal aspect; lung disease; reproducibility; review; stomach,"Krause, D.; Instituts für Rechtsmedizin, Otto-von-Guericke-Universität, Leipziger Straße 44, 39120 Magdeburg, Germany",Review,Final,,Scopus,2-s2.0-0036165699,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
Rockerbie R.A.,,Alcohol and drug intoxication,2001,,2,,NA,106,155,NA,NA,,,,,,,,Book,,,,,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
"Matsunaga H., Toda S., Mitsubayashi K.",,A stick-type enzyme electrode for a breath alcohol analysis,2002,J. Adv. Sci.,14,12,NA,19,20,NA,5,,,,"Matsunaga, H.; Toda, S.; Mitsubayashi, K.",,,,,,,Scopus,2-s2.0-11144241512,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
Franke M.,,Portable device for determining alcohol in respiratory air.,2002,,NA,,NA,,,NA,NA,,https://patents.google.com/patent/DE20109866U1/en?oq=DE20%2c109%2c866+,,,,,,Patent,,,patents.google.com,,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
Tadeka N.,,Portable telephone for breath analysis,2002,,NA,,NA,,,NA,NA,,,,,,,,Patent,,,,,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
"Galatsis K, Li YX, Wlodarski W, Kalantar-Zadeh K, Comini E, Sberveglieri G. ",,"Sol- gel MoO3-WO3 thin films for ethanol vapor sensing. In: Di Natale, Sensors and Microsystems ",2002,"Proceedings of the Italian Conference, 7th, Bologna, Italy",NA,,NA,,,NA,NA,,,,,,,,Proceedings,,,,,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
"Fikus A., Lindner B.",,Device and method for measuring alcohol vapor concentration.,2003,,NA,,NA,,,NA,NA,,https://patents.google.com/patent/US20030121309A1/en?q=Device+method+measuring+alcohol+vapor+concentration&inventor=Axel+Fikus&country=US&type=PATENT,,,,,,Patent,,,patents.google.com,,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
"Hodgson B.T., Taylor M.D.",7006925164;24428563200;,Evaluation of the dräger alcotest 7110 MKIII dual C evidential breath alcohol analyzer,2001,Journal of the Canadian Society of Forensic Science,34,3,NA,95,101,NA,4,10.1080/00085030.2001.10757520,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035662331&doi=10.1080%2f00085030.2001.10757520&partnerID=40&md5=48871d0f8fc98ff7b43244e95b8667c4,"Toxicology Services, RCMP Forensic Laboratory - Ottawa, 1200 Vanier Parkway, Ottawa, ON KIA OR2, Canada","Hodgson, B.T., Toxicology Services, RCMP Forensic Laboratory - Ottawa, 1200 Vanier Parkway, Ottawa, ON KIA OR2, Canada; Taylor, M.D., Toxicology Services, RCMP Forensic Laboratory - Ottawa, 1200 Vanier Parkway, Ottawa, ON KIA OR2, Canada",,acetaldehyde; acetone; methanol; toluene; accuracy; alcohol blood level; aqueous solution; article; breath analysis; clinical article; device; electrochemistry; human; instrument; interferometry,,Article,Final,,Scopus,2-s2.0-0035662331,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
Gullberg R.G.,7004581641;,Breath alcohol measurement variability associated with different instrumentation and protocols,2003,Forensic Science International,131,1,NA,30,35,NA,24,10.1016/S0379-0738(02)00375-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037426765&doi=10.1016%2fS0379-0738%2802%2900375-4&partnerID=40&md5=cf9399cceb49fca7c6b95a80cda598fb,"Breath Alcohol Test Section, Washington State Patrol, 811 East Roanoke, Seattle, WA 98102, United States","Gullberg, R.G., Breath Alcohol Test Section, Washington State Patrol, 811 East Roanoke, Seattle, WA 98102, United States",Breath alcohol; Confidence intervals; Fit-for-purpose; Limit-of-detection; Limit-of-quantitation; Variability,"alcohol; analytic method; analytical parameters; article; breath analysis; concentration (parameters); data analysis; error; instrumentation; prediction; priority journal; United States; Alabama; Breath Tests; Data Interpretation, Statistical; Ethanol; Humans; Linear Models; Minnesota; Reproducibility of Results; Substance Abuse Detection; Washington; Wisconsin","Gullberg, R.G.; Breath Alcohol Test Section, Washington State Patrol, 811 East Roanoke, Seattle, WA 98102, United States",Article,Final,,Scopus,2-s2.0-0037426765,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
Evers C.,16549879300;,Feasibility of an introduction of breath alcohol sensitive ignition interlock devices for dui offenders in Europe - Results of the EU project ALCOLOCKS [Zur realisierbarkeit einer einführung atemalkoholsensitiver zündsperren für alkoholauffällige fahrer in Europa - Ergebnisse des EU-projekts ALCOLOCKS],2003,Blutalkohol,40,1,NA,20,36,NA,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037262194&partnerID=40&md5=f4cfe7d73f100defdf852077cfc2b61a,,"Evers, C.",Breath alcohol sensitive ignition interlock devices; DUI offenders; Interlock programmes; Rehabilitation; Road traffic safety,alcohol; alcohol blood level; drunken driving; Europe; health program; human; review; traffic accident; traffic safety,,Review,Final,,Scopus,2-s2.0-0037262194,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
"Lord H., Yu Y., Segal A., Pawliszyn J.",7006371657;56143697800;7202309705;56981758200;,Breath analysis and monitoring by membrane extraction with sorbent interface,2002,Analytical Chemistry,74,21,NA,5650,5657,NA,110,10.1021/ac025863k,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036829707&doi=10.1021%2fac025863k&partnerID=40&md5=7852a3d41bd7a6e29db1ae95d3e2d787,"Department of Chemistry, University of Waterloo, Waterloo, ON N2L 3G1, Canada","Lord, H., Department of Chemistry, University of Waterloo, Waterloo, ON N2L 3G1, Canada; Yu, Y., Department of Chemistry, University of Waterloo, Waterloo, ON N2L 3G1, Canada; Segal, A., Department of Chemistry, University of Waterloo, Waterloo, ON N2L 3G1, Canada; Pawliszyn, J., Department of Chemistry, University of Waterloo, Waterloo, ON N2L 3G1, Canada",,Acetone; Gas chromatography; Health; Ionization; Monitoring; Volatile organic compounds; Expiration; Chemical analysis; acetone; alcohol; organic compound; sorbent; volatile agent; analytic method; article; breath analysis; expired air; extraction; gas chromatography; human; humidity; membrane transport; moisture,"Pawliszyn, J.; Department of Chemistry, University of Waterloo, Waterloo, Ont. N2L 3G1, Canada",Article,Final,,Scopus,2-s2.0-0036829707,NA,IFSMS 2004,Toxicology Surveillance,Toxicology
