"datasetEvidence_i","Biological Evidence-DNA","Digital Evidence","Drugs","Explosive Analysis","Explosive Scene","Fibre and Textiles","Fingermark Composition","Fingermark Detection","Fire Investigation","Firearms","Forensic Geoscience","Gunshot Residue","Paint-Glass","Questioned Document","Toolmarks","Toxicology Challenge-Advances","Toxicology Surveillance"
"Biological Evidence-DNA",1,0.000777604976671851,0.000123639960435213,0.000247831474597274,0.000313971742543171,0.000841750841750842,0.00346981263011797,0.00205690778196778,0,0.00121065375302663,0,0,0.00143609382479655,0,0.00221483942414175,0.00105448154657294,0
"Digital Evidence",0.000777604976671851,1,0.000130361100247686,0,0,0.0012970168612192,0.000972762645914397,0.000798722044728434,0,0.000809061488673139,0,0,0.000597371565113501,0,0.000718390804597701,0,0.000640614990390775
"Drugs",0.000123639960435213,0.000130361100247686,1,0.00375650163744943,0.0018842248508322,0.000528401585204756,0.00102262559120542,0.00215331610680448,0.000857422831945125,0.000497822028624767,0.00139540783965495,0.000132327643244674,0.0015359168241966,0.000827716684403453,0.000610500610500611,0.012279355333845,0.00868306801736614
"Explosive Analysis",0.000247831474597274,0,0.00375650163744943,1,0.49945652173913,0,0.00371944739638682,0.00343708229902616,0.000972289742343218,0,0.000781657113079729,0.00516203039862346,0.000678579506898892,0.00090764692534604,0,0,0.000232018561484919
"Explosive Scene",0.000313971742543171,0,0.0018842248508322,0.49945652173913,1,0,0.0017105713308245,0.00159163256025466,0.000612369871402327,0,0.000669120107059217,0.00188679245283019,0.000279876854184159,0.000843170320404722,0,0.000231000231000231,0.000289017341040462
"Fibre and Textiles",0.000841750841750842,0.0012970168612192,0.000528401585204756,0,0,1,0.0010752688172043,0.000415454923140839,0.00078740157480315,0.00264084507042254,0.00302724520686176,0.0015220700152207,0.00381922342457034,0.00128040973111396,0.00154679040989946,0,0
"Fingermark Composition",0.00346981263011797,0.000972762645914397,0.00102262559120542,0.00371944739638682,0.0017105713308245,0.0010752688172043,1,0.153180441367373,0,0.00215362526920316,8e-04,0,0.00109170305676856,0.00165016501650165,0.068870523415978,0,0
"Fingermark Detection",0.00205690778196778,0.000798722044728434,0.00215331610680448,0.00343708229902616,0.00159163256025466,0.000415454923140839,0.153180441367373,1,0.000999333777481679,0.00807017543859649,0.000366703337000367,0,0.00120955548835803,0.00273639404074187,0.0876122082585278,0,0.000312793243665937
"Fire Investigation",0,0,0.000857422831945125,0.000972289742343218,0.000612369871402327,0.00078740157480315,0,0.000999333777481679,1,0,0.00252047889098929,0,0.00184331797235023,0,0,0.00102494021182098,0.000485436893203883
"Firearms",0.00121065375302663,0.000809061488673139,0.000497822028624767,0,0,0.00264084507042254,0.00215362526920316,0.00807017543859649,0,1,0,0.0053715308863026,0.000980392156862745,0,0.0334703464474457,0,0
"Forensic Geoscience",0,0,0.00139540783965495,0.000781657113079729,0.000669120107059217,0.00302724520686176,8e-04,0.000366703337000367,0.00252047889098929,0,1,0,0.00105540897097625,0,0.00186104218362283,0,0
"Gunshot Residue",0,0,0.000132327643244674,0.00516203039862346,0.00188679245283019,0.0015220700152207,0,0,0,0.0053715308863026,0,1,0.000641025641025641,0,0.000782472613458529,0,0
"Paint-Glass",0.00143609382479655,0.000597371565113501,0.0015359168241966,0.000678579506898892,0.000279876854184159,0.00381922342457034,0.00109170305676856,0.00120955548835803,0.00184331797235023,0.000980392156862745,0.00105540897097625,0.000641025641025641,1,0.00162403572878603,0.00136674259681093,0,0.000422654268808115
"Questioned Document",0,0,0.000827716684403453,0.00090764692534604,0.000843170320404722,0.00128040973111396,0.00165016501650165,0.00273639404074187,0,0,0,0,0.00162403572878603,1,0.00229357798165138,0,0
"Toolmarks",0.00221483942414175,0.000718390804597701,0.000610500610500611,0,0,0.00154679040989946,0.068870523415978,0.0876122082585278,0,0.0334703464474457,0.00186104218362283,0.000782472613458529,0.00136674259681093,0.00229357798165138,1,0,0
"Toxicology Challenge-Advances",0.00105448154657294,0,0.012279355333845,0,0.000231000231000231,0,0,0,0.00102494021182098,0,0,0,0,0,0,1,0.0892919427973491
"Toxicology Surveillance",0,0.000640614990390775,0.00868306801736614,0.000232018561484919,0.000289017341040462,0,0,0.000312793243665937,0.000485436893203883,0,0,0,0.000422654268808115,0,0,0.0892919427973491,1
