"raw.x","raw.y","pass"
"2 PHENOXYETHANOL","2 PHENOXYETHANOL","Duplicate"
"2 PHENOXYETHANOL","2 PHENOXYETHANOL","Duplicate"
"ALKALOID","ALKALOID","Duplicate"
"ALKALOIDS","ALKALOIDS","Duplicate"
"ANTIMONY","ANTIMONY","Duplicate"
"ATMOSPHERIC PRESSURE CHEMICAL IONIZATION","ATMOSPHERIC PRESSURE CHEMICAL IONIZATION","Duplicate"
"BAYES THEOREM","BAYES THEOREM","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BLOOD ALCOHOL CONCENTRATION","BLOOD ALCOHOL CONCENTRATION","Duplicate"
"BODY FLUID IDENTIFICATION","BODY FLUID IDENTIFICATION","Duplicate"
"CAPILLARY ELECTROPHORESIS","CAPILLARY ELECTROPHORESIS","Duplicate"
"CAPILLARY ELECTROPHORESIS","CAPILLARY ELECTROPHORESIS","Duplicate"
"CAPILLARY ELECTROPHORESIS","CAPILLARY ELECTROPHORESIS","Duplicate"
