TitleAbrevated	Fulltitle
ABH. WESTFÄL. MUS. NAT.KD.	ABHANDLUNGEN AUS DEM WESTFÄLISCHEN MUSEUM FÜR NATURKUNDE
ABH. NAT.FORSCH. GES. ZÜR.	ABHANDLUNGEN DER NATURFORSCHENDEN GESELLSCHAFT IN ZÜRICH
ABH. NAT.WISS. VER. BREMEN	ABHANDLUNGEN DES NATURWISSENSCHAFTLICHEN VEREINS ZU BREMEN
ABSTR. BOT.	ABSTRACTA BOTANICA
ACADEMIA	ACADEMIA
ACS SYMP. SER.	ACS SYMPOSIUM SERIES
ACTA AGRAL. FENN.	ACTA AGRALIA FENNICA
ACTA AGRAR. SILV., SER. LESN. (KRAK.)	ACTA AGRARIA ET SILVESTRIA, SERIA LESNA, KRAKAU
ACTA ANAT.	ACTA ANATOMICA
ACTA ARCHAEOL.	ACTA ARCHAEOLOGICA
ACTA BERN.	ACTA BERNENSIA
ACTA BIOL. EXP.	ACTA BIOLOGIAE EXPERIMENTALIS
ACTA BIOL. CRACOVIENSIA SER. BOT.	ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA
ACTA BIOL. MONT.	ACTA BIOLOGICA MONTANA
ACTA BOT. ACAD. SCI. HUNG.	ACTA BOTANICA ACADEMIAE SCIENTIARUM HUNGARICAE
ACTA BOT. FENN.	ACTA BOTANICA FENNICA
ACTA BOT. HUNG.	ACTA BOTANICA HUNGARICA
ACTA BOT. NEERL.	ACTA BOTANICA NEERLANDICA
ACTA BOT. YUNNANICA	ACTA BOTANICA YUNNANICA
ACTA BOT. BOREAL- OCCIDENT SIN.	ACTA BOTANY BOREAL-OCCIDENT SINICA
ACTA CHIROPTEROLOGICA	ACTA CHIROPTEROLOGICA
ACTA ECOL. SIN.	ACTA ECOLOGICA SINICA
ACTA FAUN. ENTOMOL. MUS. NATL. PRAGAE	ACTA FAUNISTICA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE
ACTA FOR. FENN.	ACTA FORESTALIA FENNICA
ACTA GEOGR. SIN.	ACTA GEOGRAPHICA SINICA
ACTA GEOPHYS.	ACTA GEOPHYSICA
ACTA HORTIC.	ACTA HORTICULTURAE
ACTA HYDROBIOL. SIN.	ACTA HYDROBIOLOGICA SINICA
ACTA HYDROPHYS.	ACTA HYDROPHYSICA
ACTA INST. FOR. ZVOLEN.	ACTA INSTITUTI FORESTALIS ZVOLENENSIS
ACTA JUTL.	ACTA JUTLANDICA
ACTA MATER.	ACTA MATERIALIA
ACTA OECOL.	ACTA OECOLOGICA
ACTA ORNITHOL.	ACTA ORNITHOLIGICA
ACTA PALAEOBOT.	ACTA PALAEOBOTANICA
ACTA PALAEONTOL.	ACTA PALAEONTOLOGICA
ACTA PHYTOGEOGR. SUEC.	ACTA PHYTOGEOGRAPHICA SUECICA
ACTA PHYTOMED.	ACTA PHYTOMEDICA
ACTA PHYTOPATHOL. ENTOMOL. HUNG.	ACTA PHYTOPATHOLOGICA ET ENTOMOLOGICA HUNGARICA
ACTA PROTOZOOL.	ACTA PROTOZOOLOGICA
