JounalTitle	JounalAbbreviation
2D MATERIALS	2D MATER
3 BIOTECH	3 BIOTECH
3D PRINTING AND ADDITIVE MANUFACTURING	3D PRINT ADDIT MANUF
2007 3DTV CONFERENCE	3DTV CONF
"2008 3DTV-CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO"	3DTV CONF
"2009 3DTV-CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO"	3DTV CONF
"2011 3DTV CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO 3DTV-CON"	3DTV CONF
"2013 3DTV-CONFERENCE: THE TRUE VISION-CAPTURE, TRANSMISSION AND DISPALY OF 3D VIDEO 3DTV-CON"	3DTV CONF
"2014 3DTV-CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO 3DTV-CON"	3DTV CONF
3DTV Conference	3DTV CONF
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH	4OR-Q J OPER RES
2013 AASRI CONFERENCE ON INTELLIGENT SYSTEMS AND CONTROL	AASRI PROC
2013 AASRI CONFERENCE ON PARALLEL AND DISTRIBUTED COMPUTING AND SYSTEMS	AASRI PROC
2014 AASRI CONFERENCE ON CIRCUIT AND SIGNAL PROCESSING CSP 2014	AASRI PROC
2014 AASRI CONFERENCE ON SPORTS ENGINEERING AND COMPUTER SCIENCE SECS 2014	AASRI PROC
2ND AASRI CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND BIOINFORMATICS	AASRI PROC
2ND AASRI CONFERENCE ON POWER AND ENERGY SYSTEMS PES2013	AASRI PROC
18TH ANNUAL INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE	ACM COMP AR
19TH ANNUAL INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE : PROCEEDINGS	ACM COMP AR
"22ND ANNUAL INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE, PROCEEDINGS"	ACM COMP AR
"24TH ANNUAL INTERNATIONAL SYMPOSIUM ON COMPUTER ARCHITECTURE, CONFERENCE PROCEEDINGS"	ACM COMP AR
