Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
,,,2004,,,,,,,,,,http://www.interpol.int/Public/Forensic/IFSS/meeting13/Reviews/Soil.pdf,,,,,,Webpage,,,,,No,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Marumo Y.,,Forensic examination of soil evidence,2003,Japanese Journal of Science and Technology for Identification,7,2,,95,111,,7,https://doi.org/10.3408/jasti.7.95,https://www.jstage.jst.go.jp/article/jasti/7/2/7_2_95/_article,,"Marumo, Y."," Forensic science, Soil identification, Soil color, Particle size distribution, Mineral, Botanic material",,,Article,Final,,Scopus,2-s2.0-7044236442,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
,,,2003,"Forensic Geoscience: Principles, Techniques and Applications",,,,,,,,,,,,,,,Proceedings,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Murray R.C.,55893887200;,"Forensic geology: Yesterday, today and tomorrow",2004,Geological Society Special Publication,232,,,7,9,,6,10.1144/GSL.SP.2004.232.01.02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-7044253523&doi=10.1144%2fGSL.SP.2004.232.01.02&partnerID=40&md5=465a4cf3ddd57381de4395980ce108d6,"Department of Geology, University of Montana, Missoula, MT 59812, United States","Murray, R.C., Department of Geology, University of Montana, Missoula, MT 59812, United States",,crime; detection method; forensic science; geology; soil analysis,"Murray, R.C.; Department of Geology, University of Montana, Missoula, MT 59812, United States; email: rcm@selway.umt.edu",Article,Final,,Scopus,2-s2.0-7044253523,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Palenik S.,,A Technique for Microscopical Soil Examinations,2003,"Forensic Geoscience: Principles, Techniques and Applications",,,,,,,,,,,,,,,Article,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Sugita R.,,,2001,National Research Institute of Police Science,,,,,,,,,,,,,,,Private Information,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Chazottes V., Brocard C., Peyrot B.",6603049784;6602334267;6507144447;,Particle size analysis of soils under simulated scene of crime conditions: The interest of multivariate analyses,2004,Forensic Science International,140,,,159,166,,26,10.1016/j.forsciint.2003.11.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1242271279&doi=10.1016%2fj.forsciint.2003.11.032&partnerID=40&md5=489595cf6c1c72651dcc10df8484da14,"Ctr. de Sedimentologie et Paleontol., UMR CNRS 6019, Place Victor Hugo, 13331 Marseille Cedex 3, France; Lab. de Police Scientifique de Lyon, 31 Avenue Franklin Roosevelt, 69134 Ecully Cedex, France","Chazottes, V., Ctr. de Sedimentologie et Paleontol., UMR CNRS 6019, Place Victor Hugo, 13331 Marseille Cedex 3, France; Brocard, C., Lab. de Police Scientifique de Lyon, 31 Avenue Franklin Roosevelt, 69134 Ecully Cedex, France; Peyrot, B., Ctr. de Sedimentologie et Paleontol., UMR CNRS 6019, Place Victor Hugo, 13331 Marseille Cedex 3, France",Confidence intervals; Forensic science; Multivariate analyses; Particle size distribution; Sieving,article; crime; forensic medicine; multivariate analysis; particle size; priority journal; simulation; soil analysis,"Brocard, C.; Lab. de Police Scientifique de Lyon, 31 Avenue Franklin Roosevelt, 69134 Ecully Cedex, France; email: christian.brocard@interieur.gouv.fr",Article,Final,,Scopus,2-s2.0-1242271279,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"Croft D.J., Pye K.",7101684579;7005357074;,Multi-technique comparison of source and primary transfer soil samples: An experimental investigation,2004,Science and Justice - Journal of the Forensic Science Society,44,1,,21,28,,30,10.1016/S1355-0306(04)71681-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0842306976&doi=10.1016%2fS1355-0306%2804%2971681-0&partnerID=40&md5=f58068d6a88b598b1f031afb3b3476be,"Kenneth Pye Associates Ltd., Old Wokingham Road, Crowthorne, Berkshire RG45 6AW, United Kingdom","Croft, D.J., Kenneth Pye Associates Ltd., Old Wokingham Road, Crowthorne, Berkshire RG45 6AW, United Kingdom; Pye, K., Kenneth Pye Associates Ltd., Old Wokingham Road, Crowthorne, Berkshire RG45 6AW, United Kingdom",Criminalistics; Forensic science; Soil; Trace evidence; Transfer,carbon; nitrogen; stable isotope; accuracy; analytic method; article; chemical analysis; color; cost control; criminology; forensic science; laser diffraction; methodology; patient; sample size; shoe; soil analysis; soil quality; spectrophotometry; time,"Croft, D.J.; Kenneth Pye Associates Ltd., Old Wokingham Road, Crowthorne, Berkshire RG45 6AW, United Kingdom",Article,Final,,Scopus,2-s2.0-0842306976,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
Bebris G.,,Road dust mineral composition analysis with powder X-ray diffraction of unpaved roads,2003,Forensic Science International,136 SUPPLEMENT 1,,,106,107,,,,,,,Powder X-ray diffraction; Road dust analysis; Physical evidence,,"State Forens Sci Bur, LV-1013 Riga, Latvia",Meeting,,,,,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
"D'Angelo J., Perino E., Marchevsky E., Riveros J.A.",7006035718;6603148883;6602141067;7003534044;,Standardless analysis of small amounts of mineral samples by SR-XRF and conventional XRF analyses,2002,X-Ray Spectrometry,31,6,,419,423,,8,10.1002/xrs.597,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036434733&doi=10.1002%2fxrs.597&partnerID=40&md5=a37399314eb34b7c153da3d0e9c8d300,"Fac. de Quim., Bioquim. y Farmacia, Universidad Nacional de San Luis, Chacabuco y Pedernera, 5700 San Luis, Argentina; Fac. de Matemat., Astronomia y Fis., Univ. Nacional de Cordoba, Ciudad Universitaria, 5000 Cordoba, Argentina; Consejo Nac. Invest. C., Buenos Aires, Argentina","D'Angelo, J., Fac. de Quim., Bioquim. y Farmacia, Universidad Nacional de San Luis, Chacabuco y Pedernera, 5700 San Luis, Argentina, Consejo Nac. Invest. C., Buenos Aires, Argentina; Perino, E., Fac. de Quim., Bioquim. y Farmacia, Universidad Nacional de San Luis, Chacabuco y Pedernera, 5700 San Luis, Argentina; Marchevsky, E., Fac. de Quim., Bioquim. y Farmacia, Universidad Nacional de San Luis, Chacabuco y Pedernera, 5700 San Luis, Argentina, Consejo Nac. Invest. C., Buenos Aires, Argentina; Riveros, J.A., Fac. de Matemat., Astronomia y Fis., Univ. Nacional de Cordoba, Ciudad Universitaria, 5000 Cordoba, Argentina, Consejo Nac. Invest. C., Buenos Aires, Argentina",,,"D'Angelo, J.; Fac. de Quim., Bioquim. y Farmacia, Universidad Nacional de San Luis, Chacabuco y Pedernera, 5700 San Luis, Argentina",Article,Final,,Scopus,2-s2.0-0036434733,,IFSMS 2004,Forensic Geoscience,Forensic Geoscience
