Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Wright D.C.,,Individuality and Reproducibility of Striae on Plastic Wad Components Fired from a Sawed-Off Shotgun,2003,AFTE Journal,35,2,,161,166,,,,,"Kansas Bureau of Investigation, Firearm & Toolmark Section, Kansas City, Kansas","Kansas Bureau of Investigation, Firearm & Toolmark Section, Kansas City, Kansas",Examination of Plastic Wads; Hacksaw Blades; Lighting Methods; Sawed-off Shotgun; Winchester Drylok Super Steel Ammunition,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Dutton G.,,Firearms Identification - Sometimes All Is Not As It Seems,2003,AFTE Journal,35,2,,245,249,,,,,,"A Technical Report By Sergeant Gerard Dutton, Tasmania Police, Hobart, Tasmania, AUSTRALIA.",Breech bolt; Firearms identification; Firing pin; Reporting; Stirling model 14 rifle; Terminology.,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Jueckstock G.E., Moline K.W. ",,Accidental/Unusual Discharge of a Jennings J-22,2002,AFTE Journal,34,3,,306,,,,,,,"Gary E. Jueckstock, Hennepin County Sheriff's Crime Laboratory, Minneapolis, MN and Kurt W. Moline, Minnesota Bureau of Criminal Apprehension, St. Paul, MN",accidental discharge; unusual discharge; Jennings,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Drotz L.C.,,Fibres on Bullets After Firing Through Textiles,2002,PROC EUROPEAN FIBRES GROUP,10,,,110,112,,,,,,,,,,Conference material,,,,,,IFSMS 2004,Firearms,Firearms
Haag L.C.,,"Once Fired, Twice Fired, More? A Novel Method for Assessing the Number of Firings of Shotshells with Plastic Bodies",2002,AFTE Journal,34,1,,11,15,,,,,,"Lucien C. Haag, Forensic Science Services, Inc., Carefree, AZ",shotguns; shotshells; reloads; gun bursts; alligator pattern,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Argaman U., Shoshani E., Klein A.",,A Suicide Bomber's Weapon,2001,AFTE Journal,33,4,,335,336,,,,,,"Uri Argaman, B.Sc., Ezra Shoshani, B. Sc. and Asne Klein, M.Sc., Division of Identification & Forensic Science (D.I.F.S.), Israel Police National Headquarters, Jerusalem, Israel",FN; suicide bomber; explosion; ammunition explosion,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Spinder T.,,Suppressed Ruger 10/22,2001,AFTE Journal,33,4,,332,,,,,,,"Travis Spinder, Southwestern Institute of Forensic Sciences, Dallas, TX",Silencer; Sound Suppressor,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Monturo C. ,,Information on Hi-Point Manufacturing,2003,AFTE Journal,35,2,,243,244,,,,,,"A Technical Report By Chris Monturo, Miami Valley Regional Crime Laboratory, Dayton, OH",Hi -Point; rifling; hidden serial number,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
"Shoshani E., Argaman U., Koffman A., Giverts P.",,A Shortened M-16 Rifle,2002,AFTE Journal,34,3,,307,309,,,,,,"Ezra Shoshani, Uri Argaman, Avi Koffman, Pavel Giverts, Firearms Identification Laboratory, Division of Identification and Forensic Science (DIFS), Israel Police National Headquarters, Jerusalem, Israel.",M-16; .223 REM; 5.56X45 mm; shorted rifle,,,Article,,,,,,IFSMS 2004,Firearms,Firearms
Anon,,The Smallest Guns in the World?,2002,Prohibited and Concealed Weapons Review,7,,,11,,,,,,,,,,,Review,,,,,,IFSMS 2004,Firearms,Firearms
