Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"Saverio Romolo F., Margot P.",6508292376;7004580112;,Identification of gunshot residue: A critical review,2001,Forensic Science International,119,2,,195,211,,228,10.1016/S0379-0738(00)00428-X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035876938&doi=10.1016%2fS0379-0738%2800%2900428-X&partnerID=40&md5=e2f36a3e097a0be7c0c29e4addbcf379,"Head, Gunshot Residue Anal. Lab., Dir. C., Rome, Italy; Director, Inst. Police Sci. Criminologie, U., Lausanne-Dorigny, Switzerland","Saverio Romolo, F., Head, Gunshot Residue Anal. Lab., Dir. C., Rome, Italy; Margot, P., Director, Inst. Police Sci. Criminologie, U., Lausanne-Dorigny, Switzerland",Bayes rule; Firearms chemistry; Gunshot residue; Interpretation,aluminum; antimony; barium; calcium; copper; gunpowder; iron; lead; magnesium; mercury; tin; zinc; analysis; bullet; firearm; melting point; priority journal; review; scanning electron microscopy,,Article,Final,,Scopus,2-s2.0-0035876938,,IFSMS 2004,Gunshot Residue,Gunshot Residue
Zeichner A.,7005860122;,Recent developments in methods of chemical analysis in investigations of firearm-related events,2003,Analytical and Bioanalytical Chemistry,376,8,,1178,1191,,78,10.1007/s00216-003-1994-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141956029&doi=10.1007%2fs00216-003-1994-y&partnerID=40&md5=a6c7f79d64cba45b78e3c1d62f4352c5,"Division of Identification and Forensic Science (DIFS), Israel Police National Headquarters, 91906 Jerusalem, Israel","Zeichner, A., Division of Identification and Forensic Science (DIFS), Israel Police National Headquarters, 91906 Jerusalem, Israel",Firearms; Forensic science; GSR; Gunpowder residue; Gunshot residue; Shooting distance; Time since discharge,Chemical analysis; Energy dispersive spectroscopy; Laboratories; Research and development management; Scanning electron microscopy; Skin; Volatile organic compounds; Firearms; Forensic science; GSR; Gunpowder residue; Gunshot residue; Shooting distance; Time since discharge; Guns (armament); article; cadaver; chemistry; clothing; criminology; firearm; forensic medicine; gunshot injury; hand; human; methodology; pathology; skin; Cadaver; Clothing; Criminology; Firearms; Forensic Medicine; Hand; Humans; Skin; Wounds; Gunshot,,Review,Final,,Scopus,2-s2.0-0141956029,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Torre C., Mattutino G., Vasino V., Robino C.",7005464291;6506493063;6504256475;7003535231;,"Brake linings: A source of non-GSR particles containing lead, barium, and antimony",2002,Journal of Forensic Sciences,47,3,,494,504,,62,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036112885&partnerID=40&md5=fd432f5d8da70a9bbcaf3dfb4247ce14,"Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy","Torre, C., Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy; Mattutino, G., Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy; Vasino, V., Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy; Robino, C., Dipartimento di Anatomia, Lab. di Scienze Criminalistiche, Universita degli Studi di Torino, C.so M. D'Azeglio 52, 10126 Torino, Italy",Criminalistics; Environmental particles; Forensic science; Gunshot residue; Scanning electron microscopy/energy-dispersive spectroscopy,antimony; barium; lead; article; dust; forensic science; gunshot injury; laboratory; motor vehicle; priority journal; sampling; scanning electron microscopy,,Article,Final,,Scopus,2-s2.0-0036112885,,IFSMS 2004,Gunshot Residue,Gunshot Residue
ASTM Committee E-30 on Forensic Sciences ,,"ASTM E 1588-95, (Reapproved 2001) standard guide for gunshot residue analysis by scanning electron microscopy/energy- dispersive spectroscopy ",2002,Annual Book of ASTM Standards ,14.02,,,,,,,,,,,,,,Others,,,,,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Coumbaros J., Kirkbride K.P., Kobus H., Sarvas I.",7801471626;56337473100;7003432475;6504767021;,Distribution of lead and barium in gunshot residue particles derived from 0.22 Caliber rimfire ammunition,2001,Journal of Forensic Sciences,46,6,,1352,1357,,10,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034758670&partnerID=40&md5=2555f3b1d8c13ffdb5435a56e3d1efa2,"Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia","Coumbaros, J., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Kirkbride, K.P., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Kobus, H., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Sarvas, I., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia",0.22 caliber ammunition; Forensic science; Gunshot residue; Scanning electron microscopy,barium; gunpowder; lead; article; Australia; ballistics; forensic science; gunshot injury; particle size; priority journal; scanning electron microscopy,,Article,Final,,Scopus,2-s2.0-0034758670,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Collins P., Coumbaros J., Horsley G., Lynch B., Kirkbride K.P., Skinner W., Klass G.",26032053700;7801471626;6602217649;7006183615;56337473100;57201542468;6602385262;,Glass-containing gunshot residue particles: A new type of highly characteristic particle?,2003,Journal of Forensic Sciences,48,3,,538,553,,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037696646&partnerID=40&md5=220403802a7525ac1b41d9ff13a018cc,"Forensic Science Laboratory, Chemistry Centre (WA), 125 Hay Street, East Perth, WA 6004, Australia; Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Ian Wark Research Institute, University of South Australia, Mawson Lakes, SA, Australia; Sch. Pharmaceut./Molec./Biomed. Sci., University of South Australia, Mawson Lakes, SA, Australia","Collins, P., Forensic Science Laboratory, Chemistry Centre (WA), 125 Hay Street, East Perth, WA 6004, Australia; Coumbaros, J., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Horsley, G., Forensic Science Laboratory, Chemistry Centre (WA), 125 Hay Street, East Perth, WA 6004, Australia; Lynch, B., Forensic Science Laboratory, Chemistry Centre (WA), 125 Hay Street, East Perth, WA 6004, Australia; Kirkbride, K.P., Forensic Science, 21 Divett Place, Adelaide, SA 5000, Australia; Skinner, W., Ian Wark Research Institute, University of South Australia, Mawson Lakes, SA, Australia; Klass, G., Sch. Pharmaceut./Molec./Biomed. Sci., University of South Australia, Mawson Lakes, SA, Australia",0.22 caliber ammunition; Borosilicate glass; Forensic science; Frictionator; Glass; Gunshot residue; Scanning electron microscopy; Time-of-flight secondary ion mass spectrometry,barium derivative; glass; gunpowder; lead; article; chemical composition; evaluation; firearm; gunshot injury; mass spectrometry; particle size; priority journal; refraction index; scanning electron microscopy; signal noise ratio; X ray analysis,,Article,Final,,Scopus,2-s2.0-0037696646,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Lebiedzik J., Johnson D.L.",6603130185;57197154064;,Handguns and ammunitions indicators extracted from the GSR analysis,2002,Journal of Forensic Sciences,47,3,,483,493,,16,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036105251&partnerID=40&md5=9383407f1e24674d2620e5a8b89d6bd9,"Advanced Research Instruments Corp., 5151 Ward Road, Wheat Ridge, CO 80033, United States","Lebiedzik, J., Advanced Research Instruments Corp., 5151 Ward Road, Wheat Ridge, CO 80033, United States; Johnson, D.L., Advanced Research Instruments Corp., 5151 Ward Road, Wheat Ridge, CO 80033, United States",Automatic analyses; Back scattered electron (BSE) signal; Energy dispersive X-ray analysis; Firearms discharge residue (FDR); Forensic science; Gunshot residue (GSR); Gunshot residue composition; Quantitative microscopy; Scanning electron microscopy,article; ballistics; bullet; forensic science; gunshot injury; image analysis; priority journal; scanning electron microscopy; X ray analysis,,Article,Final,,Scopus,2-s2.0-0036105251,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Brozek-Mucha Z., Jankowicz A.",6602161516;15737086500;,Evaluation of the possibility of differentiation between various types of ammunition by means of GSR examination with SEM-EDX method,2001,Forensic Science International,123,1,,39,47,,49,10.1016/S0379-0738(01)00518-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035891493&doi=10.1016%2fS0379-0738%2801%2900518-7&partnerID=40&md5=7a30b1cebd2b6ae79fa112bb6cb349cc,"Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Faculty of Chemistry, Jagiellonian University, Ingardena 3, 30-060 Cracow, Poland","Brozek-Mucha, Z., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Jankowicz, A., Faculty of Chemistry, Jagiellonian University, Ingardena 3, 30-060 Cracow, Poland",Cartridge discharge residues (CDR); Gunshot residues (GSR); Non-parametric statistical methods; Rank correlation coefficients: R-Spearman and Ï„-Kendall; SEM-EDX; Wilcoxon sum rank test,aluminum; carbon; gunpowder; accuracy; article; controlled study; correlation function; energy; firearm; hand; human; morphology; priority journal; scanning electron microscopy; X ray spectrometry; Forensic Medicine; Humans; Metals; Statistics; Nonparametric; Wounds; Gunshot,,Article,Final,,Scopus,2-s2.0-0035891493,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Brozek-Mucha Z., Zadora G.",6602161516;6603075450;,Grouping of ammunition types by means of frequencies of occurrence of GSR,2003,Forensic Science International,135,2,,97,104,,24,10.1016/S0379-0738(03)00177-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042031252&doi=10.1016%2fS0379-0738%2803%2900177-4&partnerID=40&md5=e0f3bc64ed527a3ffbcc150d50a0027a,"Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland","Brozek-Mucha, Z., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Zadora, G., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland",Chemometry; Cluster analysis; Frequency of occurrence of primer residues; Gunshot residues (GSR); Mann-Whitney test; SEM-EDX automatic search,gunpowder; article; autoanalysis; classification; cluster analysis; firearm; hand; priority journal; rank sum test; scanning electron microscopy; spectrometry,,Article,Final,,Scopus,2-s2.0-0042031252,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Brozek-Mucha Z., Zadora G., Dane F.",6602161516;6603075450;35833642600;,A comparative study of gunshot residue originating from 9 mm Luger ammunition from various producers,2003,Science and Justice - Journal of the Forensic Science Society,43,4,,229,235,,13,10.1016/S1355-0306(03)71782-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242679591&doi=10.1016%2fS1355-0306%2803%2971782-1&partnerID=40&md5=d7fd35bc6ed130fb39a88849ee0fe6e2,"Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Forensic Science Unit, University of Strathclyde, Royal College, George St, Glasgow G1 1XL, United Kingdom","Brozek-Mucha, Z., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Zadora, G., Institute of Forensic Research, Westerplatte 9, 31-033 Cracow, Poland; Dane, F., Forensic Science Unit, University of Strathclyde, Royal College, George St, Glasgow G1 1XL, United Kingdom",Forensic science; Gunshot residues (GSR)/cartridge discharge residues (CDR); Non-parametric statistical methods; SEM-EDX,antimony; barium; gunpowder; lead; article; bullet; correlation coefficient; diagnostic value; forensic identification; gunshot injury; human; incidence,,Article,Final,,Scopus,2-s2.0-0242679591,,IFSMS 2004,Gunshot Residue,Gunshot Residue
Mastruko V.,,,2001,"8 th ENFSI-Firearms working group meeting, Brugge, Belgium ",,,,,,,,,,,,,,,Conference material,,,,,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Kage S., Kudo K., Kaizoji A., Ryumoto J., Ikeda H., Ikeda N.",6604090450;7402923276;6507785841;6505704929;57206588925;7202414758;,"A simple method for detection of gunshot residue particles from hands, hair, face,and clothing using scanning electron microscopy/wavelength dispersive X-ray (SEM/WDX)",2001,Journal of Forensic Sciences,46,4,,830,834,,17,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034961301&partnerID=40&md5=088fa9e920bdc32a2b2141aa5bf4795b,"Forensic Science Laboratory, Fukuoka Prefectural Police Headquarters, 7-7, Higashikoen, Hakata-ku, Fukuoka 812-8576, Japan; Department of Forensic Pathology and Sciences, Graduate School of Medical Sciences, Kyushu University, 3-1-1, Maidashi, Higashi-ku, Fukuoka 812-8582, Japan","Kage, S., Forensic Science Laboratory, Fukuoka Prefectural Police Headquarters, 7-7, Higashikoen, Hakata-ku, Fukuoka 812-8576, Japan; Kudo, K., Department of Forensic Pathology and Sciences, Graduate School of Medical Sciences, Kyushu University, 3-1-1, Maidashi, Higashi-ku, Fukuoka 812-8582, Japan; Kaizoji, A., Forensic Science Laboratory, Fukuoka Prefectural Police Headquarters, 7-7, Higashikoen, Hakata-ku, Fukuoka 812-8576, Japan; Ryumoto, J., Forensic Science Laboratory, Fukuoka Prefectural Police Headquarters, 7-7, Higashikoen, Hakata-ku, Fukuoka 812-8576, Japan; Ikeda, H., Forensic Science Laboratory, Fukuoka Prefectural Police Headquarters, 7-7, Higashikoen, Hakata-ku, Fukuoka 812-8576, Japan; Ikeda, N., Department of Forensic Pathology and Sciences, Graduate School of Medical Sciences, Kyushu University, 3-1-1, Maidashi, Higashi-ku, Fukuoka 812-8582, Japan",Forensic science; Gunshot residue; Scanning electron microscopy/wavelength dispersive X-ray analysis,aluminum; clothing; conference paper; face; forensic science; gunshot injury; hair; hand; magnification radiography; priority journal; scanning electron microscopy; spectral sensitivity; X ray analysis; Cause of Death; Clothing; Face; Forensic Medicine; Hair; Hand; Humans; Microscopy; Electron; Scanning; Wounds; Gunshot,,Conference Paper,Final,,Scopus,2-s2.0-0034961301,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Coumbaros J., Kirkbride K.P., Klass G., Skinner W.",7801471626;56337473100;6602385262;57201542468;,Characterisation of 0.22 caliber rimfire gunshot residues by time-of-flight secondary ion mass spectrometry (TOF-SIMS): A preliminary study,2001,Forensic Science International,119,1,,72,81,,32,10.1016/S0379-0738(00)00421-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035371595&doi=10.1016%2fS0379-0738%2800%2900421-7&partnerID=40&md5=1db75a3996fcfb889d4a28e54a6ea753,"Ian Work Research Institute, University of South Australia, Mawson Lakes 5095, Australia; Forensic Science, 21 Divett Place, Adelaide 5000, Australia; Department of Chemical Technology, University of South Australia, Mawson Lakes 5095, Australia","Coumbaros, J., Ian Work Research Institute, University of South Australia, Mawson Lakes 5095, Australia; Kirkbride, K.P., Forensic Science, 21 Divett Place, Adelaide 5000, Australia; Klass, G., Department of Chemical Technology, University of South Australia, Mawson Lakes 5095, Australia; Skinner, W., Ian Work Research Institute, University of South Australia, Mawson Lakes 5095, Australia",0.22 Caliber ammunition; Gunshot residue; Scanning electron microscopy; Time-of-flight secondary ion mass spectrometry (TOF-SIMS),gunpowder; analytic method; article; bullet; chemical analysis; energy; forensic science; gunshot injury; mass spectrometry; priority journal; scanning electron microscopy; Electron Probe Microanalysis; Forensic Medicine; Humans; Microscopy; Electron; Scanning; Sensitivity and Specificity; Spectrometry; Mass; Secondary Ion; Time Factors; Wounds; Gunshot,,Article,Final,,Scopus,2-s2.0-0035371595,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Trombka J.I., Schweitzer J., Selavka C., Dale M., Gahn N., Floyd S., Marie J., Hobson M., Zeosky J., Martin K., McClannahan T., Solomon P., Gottschang E.",35433247000;22977348900;6701456515;7102335866;6505958429;7005201425;7202381548;57197696866;56971448000;57199986258;6505679886;7201453121;6504785526;,"Crime scene investigations using portable, non-destructive space exploration technology",2002,Forensic Science International,129,1,,1,9,,37,10.1016/S0379-0738(02)00079-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037057158&doi=10.1016%2fS0379-0738%2802%2900079-8&partnerID=40&md5=235394340d66cfe1cedbe8fa0224db8e,"Laboratory for Extraterrestrial Physics, NASA Goddard Space Flight Center, Building 2, Greenbelt, MD 20771, United States; Department of Physics, University of Connecticut, Storrs, CT 06269-3046, United States; Massachusetts State Police Crime Laboratory, 59 Horse Pond Road, Sudbury, MA 01776, United States; New York State Police Forensic Investigation Center, State Campus, Albany, NY 12226, United States; Milwaukee County District Attorney's Office, 821 West State Street, Milwaukee, WI 53233, United States; Department of Physics, Wake Forest University, 100 Olin Reynolda Station, Winston Salem, NC 27109-7509, United States; Department of Forensic Sciences, George Washington University, Samson Hall, 2036 H Street, Washington, DC 20052, United States","Trombka, J.I., Laboratory for Extraterrestrial Physics, NASA Goddard Space Flight Center, Building 2, Greenbelt, MD 20771, United States; Schweitzer, J., Department of Physics, University of Connecticut, Storrs, CT 06269-3046, United States; Selavka, C., Massachusetts State Police Crime Laboratory, 59 Horse Pond Road, Sudbury, MA 01776, United States; Dale, M., New York State Police Forensic Investigation Center, State Campus, Albany, NY 12226, United States; Gahn, N., Milwaukee County District Attorney's Office, 821 West State Street, Milwaukee, WI 53233, United States; Floyd, S., Laboratory for Extraterrestrial Physics, NASA Goddard Space Flight Center, Building 2, Greenbelt, MD 20771, United States; Marie, J., Department of Physics, University of Connecticut, Storrs, CT 06269-3046, United States; Hobson, M., Department of Physics, University of Connecticut, Storrs, CT 06269-3046, United States, Department of Physics, Wake Forest University, 100 Olin Reynolda Station, Winston Salem, NC 27109-7509, United States; Zeosky, J., New York State Police Forensic Investigation Center, State Campus, Albany, NY 12226, United States; Martin, K., Massachusetts State Police Crime Laboratory, 59 Horse Pond Road, Sudbury, MA 01776, United States; McClannahan, T., Laboratory for Extraterrestrial Physics, NASA Goddard Space Flight Center, Building 2, Greenbelt, MD 20771, United States; Solomon, P., Laboratory for Extraterrestrial Physics, NASA Goddard Space Flight Center, Building 2, Greenbelt, MD 20771, United States; Gottschang, E., Department of Forensic Sciences, George Washington University, Samson Hall, 2036 H Street, Washington, DC 20052, United States",Antimony (Sb); Barium (Ba); Blood; Database; Gunshot residue (GSR); Lead (Pb); Portable instrument; Remote sensing; Semen; Teleforensics; X-ray fluorescence,antimony; barium; cadmium; element; gunpowder; silicone; tellurium; zinc; article; blood analysis; chemical composition; controlled study; crime; criminal justice; data base; device; environment; feasibility study; forensic science; human; law enforcement; model; normal human; organization; priority journal; room temperature; semen analysis; space; technology; X ray fluorescence; Antimony; Barium; Blood Stains; Computer Communication Networks; Equipment Design; Firearms; Forensic Medicine; Humans; Lead; Semen; Sensitivity and Specificity; Spectrometry; X-Ray Emission; United States; United States National Aeronautics and Space Administration,,Article,Final,,Scopus,2-s2.0-0037057158,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Martini L., DeMaria A. ",,Evaluation of Law enforcement Technologies Inc. ISID01 Instant Shooter ID Kit ,2002,AFTE Journal,34,4,,404,406,,,,,,"A Technical Report By Lance Martini and Anthony DeMaria, San Diego Sheriff's Crime Laboratory, San Diego, CA",dermal nitrate test; diphenylamine; false positive; gunshot residue; Instant Shooter ID Kit; ISID-1; nitrates; paraffin test; presumptive test,,,Article,,,,,,IFSMS 2004,Gunshot Residue,Gunshot Residue
"Steffen S., Niewhoner L. ",,Improved methods for the collection of gunshot residues (GSR) and for chemographic testing of lead-free Sintox ammunition ,2003,AFTE Journal,35,2,,152,156,,,,,,"By: Sylvia Steffen, Institute for Analytical Chemistry, University of Mining and Technology, Freiberg, Germany; Ludwig Niewoehner, Forensic Science Institute of the Bundeskriminalamt, Wiesbaden, Germany",chemography; chlorindazone DS; dithizone; Filmolux; gunshot residues; P-GSR; polyvinyl alcohol; PVAL; Sintox; titanium; xylenolorange; zinc; zincon,,,Article,,,,,,IFSMS 2004,Gunshot Residue,Gunshot Residue
