Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
"?abani S., Önen A.H., Güngör A.",55209909700;7005951367;57193901460;,Preparation of hyperbranched polyester polyol-based urethane acrylates and applications on UV-curable wood coatings,2012,Journal of Coatings Technology and Research,9,6,,703,716,,17,10.1007/s11998-012-9418-6,,,,Coating performance; Hyperbranched polyester polyol; Mechanical properties; UV-curing,Alcohols; Coatings; Esters; Irradiation; Mechanical properties; Oligomers; Propane; Salts; Coating performance; Film characteristics; Hyperbranched polyester; Hyperbranched urethane acrylates; Spectroscopic technique; Surface and mechanical properties; Uv cured coatings; UV-curing; Curing,,Article,Final,,Scopus,2-s2.0-84870775859,,IFSMS 2013,Paint-Glass,Paint-Glass
[No author name available],[No author id available],Silver continues its reign in vehicle color popularity as global trends merge,2001,Paint and Coatings Industry,17,5,,58,62,,,,,,,,paint; automobile industry; color; material coating; paint industry; review; surface property,,Review,Final,,Scopus,2-s2.0-0035353864,,IFSMS 2004,Paint-Glass,Paint-Glass
[No author name available],[No author id available],Neue Dekor-Effekte für den Smart,2002,"JOT, Journal fuer Oberflaechentechnik",42,3,,72,,,,10.1007/BF03251566,,,,,,,Short Survey,Final,,Scopus,2-s2.0-85046910206,,IFSMS 2004,Paint-Glass,Paint-Glass
[No author name available],[No author id available],Hochglänzende kunststoff-folien - alternative zur fahrzeuglackierung,2003,"JOT, Journal fuer Oberflaechentechnik",43,2,,,,,,10.1007/BF03251089,,,,,,,Article,Final,,Scopus,2-s2.0-0037324229,,IFSMS 2004,Paint-Glass,Paint-Glass
"Abd El-Wahab H., Abd El-Fattah M., Gabr M.Y.",56543825800;35723707200;36169251800;,Preparation and characterization of flame retardant solvent base and emulsion paints,2010,Progress in Organic Coatings,69,3,,272,277,,17,10.1016/j.porgcoat.2010.06.005,,"Chemistry Department, Faculty of Science, Al Azhar University, Cairo, Egypt; Production Department, Egyptian Petroleum Research Institute (EPRI), Cairo, Egypt; Lecture of Organic Chemistry, Faculty of Science, Karyounis University, Libyan Arab Jamahiriya","Abd El-Wahab, H., Chemistry Department, Faculty of Science, Al Azhar University, Cairo, Egypt; Abd El-Fattah, M., Production Department, Egyptian Petroleum Research Institute (EPRI), Cairo, Egypt; Gabr, M.Y., Lecture of Organic Chemistry, Faculty of Science, Karyounis University, Libyan Arab Jamahiriya",Acrylic emulsion; Alkyd resin; Fire retardant coatings; Flame retardant coatings; Phosphazane,Acrylic emulsions; Adhesion resistance; Elemental analysis; Emulsion paints; Fire retardant coatings; Flame retardant coatings; Laboratory scale; Oxygen index value; Phosphazane; Steel panels; Alkyd resins; Chlorine; Chlorine compounds; Corrosion resistance; Emulsification; Fire fighting equipment; Flame retardants; Impact strength; Oxygen; Phosphorus; Resins; Solvents; Paint,"Abd El-Fattah, M.; Production Department, Egyptian Petroleum Research Institute (EPRI), Cairo, Egypt; email: eprimaf68@yahoo.com",Article,Final,,Scopus,2-s2.0-77956172490,,IFSMS 2013,Paint-Glass,Paint-Glass
"Abdel-Ghani M., Stern B., Edwards H.G.M., Janaway R.",55194027600;7102969312;7202660467;6506914847;,A study of 18th century Coptic icons of Ibrahim Al-Nasekh using Raman microscopy and gas chromatography-mass spectrometry: Indigo as an organic pigment in Egyptian panel paintings,2012,Vibrational Spectroscopy,62,,,98,109,,14,10.1016/j.vibspec.2012.05.003,,"Department of Conservation, Faculty of Archaeology, Cairo University, Giza 12613, Egypt; Archaeological Sciences, School of Life Sciences, University of Bradford, Bradford, West Yorkshire, BD7 1DP, United Kingdom; Chemical and Forensic Sciences, School of Life Sciences, University of Bradford, Richmond Road, Bradford, BD7 1DP, United Kingdom","Abdel-Ghani, M., Department of Conservation, Faculty of Archaeology, Cairo University, Giza 12613, Egypt; Stern, B., Archaeological Sciences, School of Life Sciences, University of Bradford, Bradford, West Yorkshire, BD7 1DP, United Kingdom; Edwards, H.G.M., Chemical and Forensic Sciences, School of Life Sciences, University of Bradford, Richmond Road, Bradford, BD7 1DP, United Kingdom; Janaway, R., Archaeological Sciences, School of Life Sciences, University of Bradford, Bradford, West Yorkshire, BD7 1DP, United Kingdom",Coptic icons; Gas chromatography-mass spectrometry; Ibrahim Al-Nasekh; Indigo; Pigments; Raman microscopy,Coptic icons; Gas chromatography-mass spectrometry; Ibrahim Al-Nasekh; Indigo; Raman microscopy; Gas chromatography; Gypsum; Lead; Mercury compounds; Optical microscopy; Painting; Pigments; Stratigraphy; Varnish; Aluminum,"Abdel-Ghani, M.; Department of Conservation, Faculty of Archaeology, Cairo University, Giza 12613, Egypt; email: mabdelghani2001@yahoo.com",Article,Final,,Scopus,2-s2.0-84865648969,,IFSMS 2013,Paint-Glass,Paint-Glass
"Abe Y., Nakai I., Takahashi K., Kawai N., Yoshimura S.",35228396700;7006352348;57207442692;35230030700;7201663475;,"On-site analysis of archaeological artifacts excavated from the site on the outcrop at Northwest Saqqara, Egypt, by using a newly developed portable fluorescence spectrometer and diffractometer",2009,Analytical and Bioanalytical Chemistry,395,7,,1987,1996,,20,10.1007/s00216-009-3141-x,,"Department of Applied Chemistry, Tokyo University of Science, 1-3, Kagurazaka, Shinjuku-ku, Tokyo 162-8601, Japan; Institute of Egyptology, Waseda University, 120-3-103, 513, Waseda-tsurumaki-cho, Shinjuku-ku, Tokyo 169-8050, Japan","Abe, Y., Department of Applied Chemistry, Tokyo University of Science, 1-3, Kagurazaka, Shinjuku-ku, Tokyo 162-8601, Japan; Nakai, I., Department of Applied Chemistry, Tokyo University of Science, 1-3, Kagurazaka, Shinjuku-ku, Tokyo 162-8601, Japan; Takahashi, K., Institute of Egyptology, Waseda University, 120-3-103, 513, Waseda-tsurumaki-cho, Shinjuku-ku, Tokyo 169-8050, Japan; Kawai, N., Institute of Egyptology, Waseda University, 120-3-103, 513, Waseda-tsurumaki-cho, Shinjuku-ku, Tokyo 169-8050, Japan; Yoshimura, S., Institute of Egyptology, Waseda University, 120-3-103, 513, Waseda-tsurumaki-cho, Shinjuku-ku, Tokyo 169-8050, Japan",Archaeometry; Cobalt blue; On-site analysis; Portable XRD; Portable XRF,Archaeometry; Cobalt blue; On-site analysis; Portable XRF; XRD; Cobalt; Diffraction; Diffractometers; Fluorescence; Holographic interferometry; Manganese; Manganese compounds; Paint; Pigments; Spectrometry; X ray diffraction; X ray diffraction analysis; Zinc; X ray spectrometers,"Nakai, I.; Department of Applied Chemistry, Tokyo University of Science, 1-3, Kagurazaka, Shinjuku-ku, Tokyo 162-8601, Japan; email: inakai@rs.kagu.tus.ac.jp",Conference Paper,Final,,Scopus,2-s2.0-71449118793,,IFSMS 2010,Paint-Glass,Paint-Glass
"Acharya R., Pujari P.K.",7102984182;6603910140;,Potential of conventional and internal monostandard NAA and PGNAA and PIGE in forensic sciences: An overview,2019,Forensic Chemistry,12,,,107,116,,3,10.1016/j.forc.2018.01.002,,"Radiochemistry Division, Bhabha Atomic Research Centre, Trombay, Mumbai, 400 085, India","Acharya, R., Radiochemistry Division, Bhabha Atomic Research Centre, Trombay, Mumbai, 400 085, India; Pujari, P.K., Radiochemistry Division, Bhabha Atomic Research Centre, Trombay, Mumbai, 400 085, India",Forensic science; IM-NAA; Nuclear Analytical Techniques; PGNAA; PIGE,,"Acharya, R.; Radiochemistry Division, Bhabha Atomic Research Centre, Trombay, India; email: racharya@barc.gov.in",Review,Final,,Scopus,2-s2.0-85040555427,,IFSMS 2019,Paint-Glass,Paint-Glass
"Acquaviva S., Baraldi P., D'Anna E., de Giorgi M.L., Della Patria A., Giotta L., Omarini S., Piccolo R.",7004177877;7101681320;7005195782;36865565800;23988678000;12344839500;57215986316;9844911400;,Yellow pigments in painting: Characterisation and UV laser-induced modifications,2009,Journal of Raman Spectroscopy,40,11,,1664,1667,,5,10.1002/jrs.2316,,"Department of Physics, University of Salento, Lecce, Italy; Department of Chemistry, University of Modena and Reggio Emilia, Modena, Italy; C.N.R. - INOA, Cultural Heritage Group, Lecce, Italy; Department of Materials Science, University of Salento, Lecce, Italy","Acquaviva, S., Department of Physics, University of Salento, Lecce, Italy; Baraldi, P., Department of Chemistry, University of Modena and Reggio Emilia, Modena, Italy; D'Anna, E., Department of Physics, University of Salento, Lecce, Italy; de Giorgi, M.L., Department of Physics, University of Salento, Lecce, Italy; Della Patria, A., C.N.R. - INOA, Cultural Heritage Group, Lecce, Italy; Giotta, L., Department of Materials Science, University of Salento, Lecce, Italy; Omarini, S., C.N.R. - INOA, Cultural Heritage Group, Lecce, Italy; Piccolo, R., C.N.R. - INOA, Cultural Heritage Group, Lecce, Italy",Colour measurement; Excimer laser-induced effects; Micro-Raman spectroscopy; Spectrophotometry; Yellow pigments,,"Della Patria, A.; C.N.R. - INOA, Cultural Heritage Group, Lecce, Italy; email: andrea.dellapatria@inoa.it",Article,Final,,Scopus,2-s2.0-70450181140,,IFSMS 2010,Paint-Glass,Paint-Glass
"Adam A.J.L., Planken P.C.M., Meloni S., Dik J.",55439081800;7004299234;26221391300;12794982000;,TeraHertz imaging of hidden paint layers on canvas,2009,Optics Express,17,5,,3407,3416,,94,10.1364/OE.17.003407,,"Faculty of Applied Physics, Department of Imaging Science and Technology, Delft University of Technology, Lorentzweg 1, 2628 CJ Delft, Netherlands; Mauritshuis, The Hague, Netherlands; Department of Materials Science and Engineering, Delft University of Technology, Mekelweg 2, 2628 CD Delft, Netherlands","Adam, A.J.L., Faculty of Applied Physics, Department of Imaging Science and Technology, Delft University of Technology, Lorentzweg 1, 2628 CJ Delft, Netherlands; Planken, P.C.M., Faculty of Applied Physics, Department of Imaging Science and Technology, Delft University of Technology, Lorentzweg 1, 2628 CJ Delft, Netherlands; Meloni, S., Mauritshuis, The Hague, Netherlands; Dik, J., Department of Materials Science and Engineering, Delft University of Technology, Mekelweg 2, 2628 CD Delft, Netherlands",,Paint; Refractive index; Art historians; Imaging method; Infrared reflectography; Lead white; Paint layers; Painting on canvas; Tera Hertz; Terahertz imaging; X ray radiography,"Planken, P. C. M.; Faculty of Applied Physics, Department of Imaging Science and Technology, Delft University of Technology, Lorentzweg 1, 2628 CJ Delft, Netherlands; email: P.C.M.Planken@tudelft.nl",Article,Final,,Scopus,2-s2.0-61549088832,,IFSMS 2010,Paint-Glass,Paint-Glass
