Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
Aginsky V.N.,,Current methods for dating ink on document,2002,60th annual Conference of the American Society of Questioned Document Examiner,NA,,NA,NA,NA,NA,6,,,,"Aginsky, V.N.",,,,Conference Paper,Final,NA,Scopus,2-s2.0-84929342925,NA,IFSMS 2004,Questioned Document,Questioned Document
Aginsky V.N.,,Determining the sequence of non-intersecting media on document-ballpoint pen ink and laser toner entries,2001,Presented at the 49th Annual Conference of the American Society of Questioned Document Examiners,NA,,NA,NA,NA,NA,3,,,,"Aginsky, V.N.",,,,Conference Paper,Final,NA,Scopus,2-s2.0-70450223872,NA,IFSMS 2004,Questioned Document,Questioned Document
Andrasko J.,7004449107;,HPLC analysis of ballpoint pen inks stored at different light conditions,2001,Journal of Forensic Sciences,46,1,NA,21,30,NA,71,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035115343&partnerID=40&md5=f8df64c99a3abdd712620d0999107c4c,"SKL, Natl. Laboratory of Forensic Science, S-581 94 LinkÃ¶ping, Sweden","Andrasko, J., SKL, Natl. Laboratory of Forensic Science, S-581 94 LinkÃ¶ping, Sweden",Document examination; Effect of light; Forensic science; HPLC; Inks; Ternary diagrams,crystal violet; dye; fuchsine; ink; unclassified drug; victoria blue; article; chemical composition; chemical structure; decomposition; fluorescence; forensic medicine; high performance liquid chromatography; priority journal,"Andrasko, J.; SKL, Natl. Laboratory of Forensic Science, S-581 94 LinkÃ¶ping, Sweden",Article,Final,NA,Scopus,2-s2.0-0035115343,NA,IFSMS 2004,Questioned Document,Questioned Document
Andrasko J.,7004449107;,Changes in composition of ballpoint pen inks on aging in darkness,2002,Journal of Forensic Sciences,47,2,NA,324,327,NA,42,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036195165&partnerID=40&md5=0ceeeda52cc1b2e1f4b5530b80d0cf48,"SKL, Natl. Laboratory of Forensic Science, S-58194 LinkÃ¶ping, Sweden","Andrasko, J., SKL, Natl. Laboratory of Forensic Science, S-58194 LinkÃ¶ping, Sweden",Aging of inks; Document examination; Forensic science; HPLC; Inks; Relative age determination; Ternary diagrams,"ink; age determination; article; chemical analysis; chemical composition; comparative study; documentation; extraction; forensic identification; forensic science; high performance liquid chromatography; priority journal; Chromatography, High Pressure Liquid; Coloring Agents; Darkness; Forensic Medicine; Ink; Time Factors","Andrasko, J.; SKL, Natl. Laboratory of Forensic Science, S-58194 LinkÃ¶ping, Sweden",Article,Final,NA,Scopus,2-s2.0-0036195165,NA,IFSMS 2004,Questioned Document,Questioned Document
Andrasko J.,,A simple method for distinguishing between fresh and old ballpoint pen ink entries,2003,Forensic Sci. Int. (Abstr.),136,1,NA,80,81,NA,7,,,,"Andrasko, J.",,,,Article,Final,NA,Scopus,2-s2.0-67649478224,NA,IFSMS 2004,Questioned Document,Questioned Document
"Angstrom N., Mattsson M.",,How secure are modern passports?,2003,,17,,NA,NA,NA,NA,NA,,,,,,,,Article,,NA,,,NA,IFSMS 2004,Questioned Document,Questioned Document
"Barton A.J., Walker J.D.S.",,Secondary Impressions,2002,Journal of the American Society of Questioned Document Examiners,4,1,NA,NA,NA,NA,NA,,,,,,,,Article,,NA,,,NA,IFSMS 2004,Questioned Document,Questioned Document
Beal B.L.,,Effects of water temperature vs. time in humidifying documents for electrostatic detection apparatus examination,2002,Journal of the American Society of Questioned Document Examiners,5,2,NA,78,87,NA,1,,,,"Beal, B.L.",,,,Article,Final,NA,Scopus,2-s2.0-54349117496,NA,IFSMS 2004,Questioned Document,Questioned Document
Beal B.L.,,A Commentary on the Printing Process identification and Image Analysis for FDEs workshop,2002,,NA,,NA,NA,NA,NA,NA,,,,,,,,Article,,NA,,,NA,IFSMS 2004,Questioned Document,Questioned Document
Berx V.,,The Application of 3D-Profilometry in the Analysis of the “Crossing Lines” PROBLEM Within Document Examination.,2004,,NA,,NA,NA,NA,NA,NA,,,,,,,,Article,,NA,,,NA,IFSMS 2004,Questioned Document,Questioned Document
"Berx V., De Kinder J.",,Line Crossings and Laser Profilometry: There ?s More Than On Way to Skin a Cat.,2004,PEAFS,NA,,NA,NA,NA,NA,NA,,,,,,,,Proceedings,,NA,,,NA,IFSMS 2004,Questioned Document,Questioned Document
Breuer F-J.,,Vergleichstest von Geräten zur Elektrostatischen oberflächenprüfung,2001,,NA,,NA,NA,NA,NA,NA,,,,,,,,Article,,NA,,,NA,IFSMS 2004,Questioned Document,Questioned Document
Brongers D.,,The New Swiss Passport,2003,,NA,,NA,NA,NA,NA,NA,,,,,,,,Article,,NA,,,NA,IFSMS 2004,Questioned Document,Questioned Document
"Brown S., Klein A., Chaikovsky A.",23101949000;36985886000;8858620000;,Deciphering indented impressions on plastic,2003,Journal of Forensic Sciences,48,4,NA,869,873,NA,NA,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038387650&partnerID=40&md5=6b4860ef70ee4da7d46d5bf4267f637a,"Questioned Documents Laboratory, Div. Identification/F. S. (D.I.F.S.), National Headquarters, Jerusalem 91906, Israel; Toolmarks and Materials Laboratory, D. I. F. S., National Headquarters, Jerusalem 91906, Israel; Photography Laboratory, D. I. F. S., National Headquarters, Jerusalem 91906, Israel; Questioned Documents Laboratory, Div. of Identification/Forensic Sci., Israel Police Headquarters, Jerusalem 91906, Israel","Brown, S., Questioned Documents Laboratory, Div. Identification/F. S. (D.I.F.S.), National Headquarters, Jerusalem 91906, Israel, Questioned Documents Laboratory, Div. of Identification/Forensic Sci., Israel Police Headquarters, Jerusalem 91906, Israel; Klein, A., Toolmarks and Materials Laboratory, D. I. F. S., National Headquarters, Jerusalem 91906, Israel; Chaikovsky, A., Photography Laboratory, D. I. F. S., National Headquarters, Jerusalem 91906, Israel",Forensic science; Indented impressions; Plastic; Questioned documents,plastic; polymer; article; document examination; forensic science; image analysis; laboratory; photography; plasticity; priority journal; theft,"Brown, S.; Questioned Documents Laboratory, Div. of Identification/Forensic Sci., Israel Police Headquarters, Jerusalem 91906, Israel",Article,Final,NA,Scopus,2-s2.0-0038387650,NA,IFSMS 2004,Questioned Document,Questioned Document
