Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID,Active Webpage,Report,SubEvidence,Evidence
M. Baiker,,The forensic examination of marks,2016,Proc. of the Interpol International Forensic Science Managers Symposium,,,,,,,,,,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
Interpol,,International forensic science Managers Symposium review paper collection,2019,,,,,,,,1,,,,Interpol,,,,,Final,,Scopus,2-s2.0-85082827193,,IFSMS 2019,Toolmarks,Toolmarks
"Committee on Identifying the Needs of the Forensic Sciences Community, Committee on Science Technology and Law Policy and Global Affairs, Committee on Applied and Theoretical Statistics, Division on Engineering and Physical Sciences, National Research Council",,Strengthening forensic science in the United States: A path forward,2009,Strengthening Forensic Science in the United States: A Path Forward,,,,1,328,,51,10.17226/12589,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024125203&doi=10.17226%2f12589&partnerID=40&md5=004d5cc300395c8e4071b283c15d11db,,"Committee on Identifying the Needs of the Forensic Sciences Community; Committee on Science, Technology, and Law; Policy and Global Affairs; Committee on Applied and Theoretical Statistics; Division on Engineering and Physical Sciences; National Research Council",,,,Book,Final,,Scopus,2-s2.0-85024125203,,IFSMS 2019,Toolmarks,Toolmarks
PCAST,,Forensic Science in Criminal Courts: Ensuring Scientific Validity of Feature-Comparison Methods,2016,,,,,,,,,,,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
OSAC.,,,2019,Footwear and Tire Subcommittee ,,,,,,,,,https://www.nist.gov/topics/forensic-science/footwear-tire-subcommittee ,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
OSAC.,,,2019,Firearms and Toolmarks Subcommittee ,,,,,,,,,https://www.nist.gov/topics/forensic-science/firearms-toolmarks-subcommittee,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
OSAC.,,,2019,Physics/Pattern Interpretation ,,,,,,,,,https://www.nist.gov/topics/forensic-science/physicspattern-interpretation-scientific-area- committee ,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
SWGTREAD,,,2019,Tread Forensics ,,,,,,,,,https://treadforensics.com/index.php/about,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
"Bennett M.R., Budka M.",55367293600;35602643700;,Digital technology for forensic footwear analysis and vertebrate ichnology,2018,Digital Technology for Forensic Footwear Analysis and Vertebrate Ichnology,,,,1,251,,3,10.1007/978-3-319-93689-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063528138&doi=10.1007%2f978-3-319-93689-5&partnerID=40&md5=c2174d4750c05a8a99e8766380590a7a,"Faculty of Science and Technology, Institute for Studies of Landscape and Human Evolution, Bournemouth University, Poole, Dorset, United Kingdom; Department of Computing and Informatics, Faculty of Science and Technology, Institute for Studies of Landscape and Human Evolution, Bournemouth University, Poole, Dorset, United Kingdom","Bennett, M.R., Faculty of Science and Technology, Institute for Studies of Landscape and Human Evolution, Bournemouth University, Poole, Dorset, United Kingdom; Budka, M., Department of Computing and Informatics, Faculty of Science and Technology, Institute for Studies of Landscape and Human Evolution, Bournemouth University, Poole, Dorset, United Kingdom",DigTrace and forensics; DigTrace computer code; DigTrace software programme; Forensics and footprints; Ichnology and forensics; Trace evidence and forensics; Trace fossils and forensics; Tracks and footprints,Computer forensics; Computer software; Data visualization; Geology; Metadata; Three dimensional computer graphics; Computer codes; DigTrace and forensics; DigTrace software programme; Forensics and footprints; Ichnology and forensics; Trace evidences; Trace fossils; Tracks and footprints; Computer crime,,Book,Final,,Scopus,2-s2.0-85063528138,,IFSMS 2019,Toolmarks,Toolmarks
Fraunhofer,,,2019,Kolibri cordless ,,,,,,,,,https://www.iof.fraunhofer.de/en/business-fields/photonic-sensors-and-measuring- systems/3d-measuring-systems/handheld-optical-3d-scanner-kolibri-cordless.html,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
Bodziak W.J.,,"Forensic Footwear Evidence, Practical Aspects of Criminal and Forensic Investigations",2017,CRC Press,,,,,,,,,,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
Snyder C.,36710753400;,A comparison of photography and casting methods of footwear impressions in different sandy soil substrates,2016,Journal of Forensic Identification,66,1,,37,58,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973621464&partnerID=40&md5=52fcb9baca3dc0d5af3a6cc5ad00839e,"Seminole County Sheriff's Office, 100 Bush Boulevard, Sanford, FL  32773, United States","Snyder, C., Seminole County Sheriff's Office, 100 Bush Boulevard, Sanford, FL  32773, United States",,clay; Conference Paper; crime; humidity; image quality; particle size; photography; precipitation; sand; sandy soil; shoe; temperature,"Snyder, C.; Seminole County Sheriff's Office, 100 Bush Boulevard, United States; email: snyderforensics@gmail.com",Conference Paper,Final,,Scopus,2-s2.0-84973621464,,IFSMS 2019,Toolmarks,Toolmarks
CloudCompare,,,2019,,,,,,,,,,https://www.danielgm.net/cc/,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
DigTrace,,,2018,,,,,,,,,,http://www.digtrace.co.uk/ ,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
Kortylewski A.,,[No title available],2017,Model-based image analysis for forensic shoe print recognition,,,,,,,8,,,,Kortylewski A.,,,,,Final,,Scopus,2-s2.0-85053183285,,IFSMS 2019,Toolmarks,Toolmarks
"Wang X., Zhang C., Wu Y., Shu Y.",56672208800;56768565100;57191873198;57191882544;,A manifold ranking based method using hybrid features for crime scene shoeprint retrieval,2017,Multimedia Tools and Applications,76,20,,21629,21649,,7,10.1007/s11042-016-4029-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994417369&doi=10.1007%2fs11042-016-4029-3&partnerID=40&md5=a5b8622a3039f0d3022ed335eaaf36ce,"Dalian Maritime University, No.1 Linghai Road, Dalian, China","Wang, X., Dalian Maritime University, No.1 Linghai Road, Dalian, China; Zhang, C., Dalian Maritime University, No.1 Linghai Road, Dalian, China; Wu, Y., Dalian Maritime University, No.1 Linghai Road, Dalian, China; Shu, Y., Dalian Maritime University, No.1 Linghai Road, Dalian, China",Crime scene shoeprint; Hybrid features; Manifold ranking; Shoeprint retrieval,Cost functions; Image matching; Semantics; Crime scenes; Feature similarities; Hybrid features; Large-scale dataset; Manifold ranking; Retrieval algorithms; Retrieval performance; Shoeprint retrieval; Crime,"Wang, X.; Dalian Maritime University, No.1 Linghai Road, China; email: wxn@dlmu.edu.cn",Article,Final,,Scopus,2-s2.0-84994417369,,IFSMS 2019,Toolmarks,Toolmarks
"Cui J., Zhao X., Liu N., Morgachev S., Li D.",57199423797;57199394772;57203853215;57203850589;57199407011;,Robust Shoeprint Retrieval Method Based on Local-to-Global Feature Matching for Real Crime Scenes,2019,Journal of Forensic Sciences,64,2,,422,430,,3,10.1111/1556-4029.13894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053214262&doi=10.1111%2f1556-4029.13894&partnerID=40&md5=c733bc1403cff12f94ea994bb5a24707,"Dalian Everspry Sci & Tech Co., Ltd., No. 31 Xixian Street, High-Tech Industrial Zone, Dalian, 116085, China","Cui, J., Dalian Everspry Sci & Tech Co., Ltd., No. 31 Xixian Street, High-Tech Industrial Zone, Dalian, 116085, China; Zhao, X., Dalian Everspry Sci & Tech Co., Ltd., No. 31 Xixian Street, High-Tech Industrial Zone, Dalian, 116085, China; Liu, N., Dalian Everspry Sci & Tech Co., Ltd., No. 31 Xixian Street, High-Tech Industrial Zone, Dalian, 116085, China; Morgachev, S., Dalian Everspry Sci & Tech Co., Ltd., No. 31 Xixian Street, High-Tech Industrial Zone, Dalian, 116085, China; Li, D., Dalian Everspry Sci & Tech Co., Ltd., No. 31 Xixian Street, High-Tech Industrial Zone, Dalian, 116085, China",deep belief network; forensic science; real crime scene; shoeprint image; shoeprint retrieval; spatial pyramid matching,,"Cui, J.; Dalian Everspry Sci & Tech Co., Ltd., No. 31 Xixian Street, High-Tech Industrial Zone, China; email: cuijunjian@everspry.com",Article,Final,,Scopus,2-s2.0-85053214262,,IFSMS 2019,Toolmarks,Toolmarks
"Kong B., Supancic J., Ramanan D., Fowlkes C.C.",57205353363;55924622700;6506835622;6701549596;,Cross-Domain Image Matching with Deep Feature Maps,2019,International Journal of Computer Vision,127,11-Dec,,1738,1750,,6,10.1007/s11263-018-01143-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059684847&doi=10.1007%2fs11263-018-01143-3&partnerID=40&md5=6a2e6d2237f5eca568c07f22f242bb40,"Department of Computer Science, University of California, Irvine, CA  92617, United States; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA  15213, United States","Kong, B., Department of Computer Science, University of California, Irvine, CA  92617, United States; Supanc̆ic̆, J., III, Department of Computer Science, University of California, Irvine, CA  92617, United States; Ramanan, D., Robotics Institute, Carnegie Mellon University, Pittsburgh, PA  15213, United States; Fowlkes, C.C., Department of Computer Science, University of California, Irvine, CA  92617, United States",Cross-domain image matching; Normalized cross-correlation; Similarity metric,Antennas; Crime; Image matching; Image segmentation; Crime scene evidence; Cross-domain; Laboratory test; Mid-level features; Normalized cross correlation; Similarity measure; Similarity metrics; State-of-the-art performance; Image retrieval,"Kong, B.; Department of Computer Science, University of CaliforniaUnited States; email: bhkong@ics.uci.edu",Article,Final,,Scopus,2-s2.0-85059684847,,IFSMS 2019,Toolmarks,Toolmarks
Hobbit_Imaging_Solutions,,,2018,PRIDE - Shoeprint matcher,,,,,,,,,https://hobbit-is.nl/projects/forensic-intelligence/pride/?lang=en,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
Everspry,,,2019,EverASM ,,,,,,,,,http://www.footprintmatcher.com/products/EverASM.pdf,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
Park S.,,Learning Algorithms for Forensic Science Applications,2018,,,,,,,,1,,,,"Park, S.",,,,,Final,,Scopus,2-s2.0-85082820256,,IFSMS 2019,Toolmarks,Toolmarks
"Speir J.A., Richetelli N., Fagert M., Hite M., Bodziak W.J.",55156153000;57190186230;56730853400;57190183081;6506252328;,Quantifying randomly acquired characteristics on outsoles in terms of shape and position,2016,Forensic Science International,266,,,399,411,,11,10.1016/j.forsciint.2016.06.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978249246&doi=10.1016%2fj.forsciint.2016.06.012&partnerID=40&md5=194816a6286b9ee8f53888d555b49923,"West Virginia University, 208 Oglebay Hall, PO Box 6121, Morgantown, WV  26506, United States; Bodziak Forensics, 38 Sabal Bend, Palm Coast, FL  32137, United States; Kansas City Missouri Police Crime Laboratory, 2645 Brooklyn Avenue, Kansas City, MO  64127,, United States","Speir, J.A., West Virginia University, 208 Oglebay Hall, PO Box 6121, Morgantown, WV  26506, United States; Richetelli, N., West Virginia University, 208 Oglebay Hall, PO Box 6121, Morgantown, WV  26506, United States; Fagert, M., West Virginia University, 208 Oglebay Hall, PO Box 6121, Morgantown, WV  26506, United States, Kansas City Missouri Police Crime Laboratory, 2645 Brooklyn Avenue, Kansas City, MO  64127,, United States; Hite, M., West Virginia University, 208 Oglebay Hall, PO Box 6121, Morgantown, WV  26506, United States; Bodziak, W.J., Bodziak Forensics, 38 Sabal Bend, Palm Coast, FL  32137, United States",Accidentals; Feature vectors; Footwear; Fourier descriptors; Randomly acquired characteristics; Shoeprints,"polyester; Article; computer interface; criminal behavior; foot sole; forensic identification; forensic science; geometry; human; mathematical analysis; outsole; priority journal; probability; quality control; shoe; shoeprint; crime; image processing; procedures; Crime; Forensic Sciences; Humans; Image Processing, Computer-Assisted; Probability; Shoes","Speir, J.A.; West Virginia University, 208 Oglebay Hall, PO Box 6121, United States; email: Jacqueline.Speir@mail.wvu.edu",Article,Final,,Scopus,2-s2.0-84978249246,,IFSMS 2019,Toolmarks,Toolmarks
"Kaplan Damary N., Mandel M., Wiesner S., Yekutieli Y., Shor Y., Spiegelman C.",57200226594;7103117734;7004625661;8653506400;6603457188;7004460761;,Dependence among randomly acquired characteristics on shoeprints and their features,2018,Forensic Science International,283,,,173,179,,6,10.1016/j.forsciint.2017.11.038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040317315&doi=10.1016%2fj.forsciint.2017.11.038&partnerID=40&md5=bc6f8e1f096aa2908fb002050cc81694,"Department of Statistics, The Hebrew University of Jerusalem, Jerusalem, 91905, Israel; Israel National Police Division of Identification and Forensic Science (DIFS), 1 Bar-Lev Road, Jerusalem, 91906, Israel; Department of Computer Science, Hadassah Academic College, 37 Hanevi'im St., Jerusalem, 9101001, Israel; Department of Statistics, Texas A&M UniversityTX, United States","Kaplan Damary, N., Department of Statistics, The Hebrew University of Jerusalem, Jerusalem, 91905, Israel; Mandel, M., Department of Statistics, The Hebrew University of Jerusalem, Jerusalem, 91905, Israel; Wiesner, S., Israel National Police Division of Identification and Forensic Science (DIFS), 1 Bar-Lev Road, Jerusalem, 91906, Israel; Yekutieli, Y., Department of Computer Science, Hadassah Academic College, 37 Hanevi'im St., Jerusalem, 9101001, Israel; Shor, Y., Israel National Police Division of Identification and Forensic Science (DIFS), 1 Bar-Lev Road, Jerusalem, 91906, Israel; Spiegelman, C., Department of Statistics, Texas A&M UniversityTX, United States",Accidentals; Footwear comparison; Frequency tables; Independence test; Randomly acquired characteristics; Shoe pattern; Shoeprints,Article; contingency table; cut off corner; error; foreign object; forensic science; gait; hole; mathematical analysis; missing part; priority journal; random sample; randomly acquired characteristics; rift; schallamach; scratch; shoe sole element; shoe sole pattern; shoeprint; simulation,"Kaplan Damary, N.; Department of Statistics, The Hebrew University of JerusalemIsrael; email: naomi.kaplan@mail.huji.ac.il",Article,Final,,Scopus,2-s2.0-85040317315,,IFSMS 2019,Toolmarks,Toolmarks
Stone R.S.,14025060900;,Footwear examinations: Mathematical probabilities of Theoretical individual characteristics,2015,Journal of Forensic Identification,65,4,,671,692,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940570501&partnerID=40&md5=2c52bb177b140b9cf935f51d26c74486,"Albuquerque Metropolitan Crime Laboratory, Albuquerque, NM, United States","Stone, R.S., Albuquerque Metropolitan Crime Laboratory, Albuquerque, NM, United States",,calculation; construction worker; forensic identification; geometry; height; human; mathematical model; perimetry; printing; probability; Review; shoe; shoe print; surface area; surface property,"Stone, R.S.; Albuquerque Metropolitan Crime LaboratoryUnited States",Review,Final,,Scopus,2-s2.0-84940570501,,IFSMS 2019,Toolmarks,Toolmarks
"Shor Y., Wiesner S., Tsach T., Gurel R., Yekutieli Y.",6603457188;7004625661;6508141599;57189715064;8653506400;,Inherent variation in multiple shoe-sole test impressions,2018,Forensic Science International,285,,,189,203,,5,10.1016/j.forsciint.2017.10.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041523120&doi=10.1016%2fj.forsciint.2017.10.030&partnerID=40&md5=4579c39671b6e18bb289320a9a9691f5,"Toolmarks and Materials Lab., DIFS, Israel Police, Israel; DIFS, Israel Police, Israel; Digital Evidence Lab., DIFS, Israel Police, Israel; Dept. of Computer Science, Hadassah Academic College, Israel","Shor, Y., Toolmarks and Materials Lab., DIFS, Israel Police, Israel; Wiesner, S., Toolmarks and Materials Lab., DIFS, Israel Police, Israel; Tsach, T., DIFS, Israel Police, Israel; Gurel, R., Digital Evidence Lab., DIFS, Israel Police, Israel; Yekutieli, Y., Dept. of Computer Science, Hadassah Academic College, Israel",Footwear impression; Intra class variability; RAC; Shoeprints; Test impression; Within source variability,Article; controlled study; crime; forensic science; priority journal; shoe sole test impression; shoeprint; software; variance,"Wiesner, S.; Questioned Documents Lab., DIFS, Israel PoliceIsrael; email: qde@police.gov.il",Article,Final,,Scopus,2-s2.0-85041523120,,IFSMS 2019,Toolmarks,Toolmarks
De Groot P.J.,34569444500;,Progress in the specification of optical instruments for the measurement of surface form and texture,2014,Proceedings of SPIE - The International Society for Optical Engineering,9110,, 91100M,,,,15,10.1117/12.2054435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906235936&doi=10.1117%2f12.2054435&partnerID=40&md5=248d0778dbb3708c8d72216727b36bb8,"Zygo Corporation, Middlefield, CT 06457, United States","De Groot, P.J., Zygo Corporation, Middlefield, CT 06457, United States",Calibration; GUM; Interferometry; ISO; Metrology; Specifications; Standards; VIM,Calibration; Interferometry; Measurements; Standards; Units of measurement; Areal surface topographies; Confocal microscopes; GUM; ISO; Metrological characteristics; Optical interferometer; Surface forms; VIM; Specifications,"De Groot, P.J.; Zygo Corporation, Middlefield, CT 06457, United States",Conference Paper,Final,,Scopus,2-s2.0-84906235936,,IFSMS 2019,Toolmarks,Toolmarks
"Stocker M.T., Thompson R.M., Soons J.A., Renegar T.B., Zheng X.A.",57202001567;57202064162;7003679290;6508161077;57102241200;,Addressing challenges in quality assurance of 3D topography measurements for firearm and toolmark identification,2018,AFTE Journal,50,02-Jan,,104,111,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046797103&partnerID=40&md5=c48513320140ee37319b4564207c7057,"National Institute of Standards and Technology, Engineering Physics Division, 100 Bureau Drive, MS 8212, Gaithersburg, MD  20899-8212, United States; National Institute of Standards and Technology, 100 Bureau Drive, MS 8102, Gaithersburg, MD  20899-8212, United States","Stocker, M.T., National Institute of Standards and Technology, Engineering Physics Division, 100 Bureau Drive, MS 8212, Gaithersburg, MD  20899-8212, United States; Thompson, R.M., National Institute of Standards and Technology, 100 Bureau Drive, MS 8102, Gaithersburg, MD  20899-8212, United States; Soons, J.A., National Institute of Standards and Technology, Engineering Physics Division, 100 Bureau Drive, MS 8212, Gaithersburg, MD  20899-8212, United States; Renegar, T.B., National Institute of Standards and Technology, Engineering Physics Division, 100 Bureau Drive, MS 8212, Gaithersburg, MD  20899-8212, United States; Zheng, X.A., National Institute of Standards and Technology, Engineering Physics Division, 100 Bureau Drive, MS 8212, Gaithersburg, MD  20899-8212, United States",3D; Calibration; Measurement uncertainty; Performance specifications; Quality assurance; Quality control; Reference artifacts; Surface topography,,,Article,Final,,Scopus,2-s2.0-85046797103,,IFSMS 2019,Toolmarks,Toolmarks
Cadre,,,2019,TopMatch-3D ,,,,,,,,,https://www.cadreforensics.com/ ,,,,,,,,,,,,IFSMS 2019,Toolmarks,Toolmarks
"Duez P., Weller T., Brubaker M., Hockensmith R.E., II, Lilien R.",57202742653;55956309400;22233489700;57202749337;57204851950;,Development and Validation of a Virtual Examination Tool for Firearm Forensics,2018,Journal of Forensic Sciences,63,4,,1069,1084,,2,10.1111/1556-4029.13668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049215518&doi=10.1111%2f1556-4029.13668&partnerID=40&md5=93de990b517999463eb571ff0fef87a9,"Cadre Research Labs, Chicago, IL  60654, United States; Weller Forensics, Burlingame, CA  94010, United States; Department of Computer Science, York University, Toronto, ON  M3J 1P3, Canada; Collaborative Testing Services Inc, Sterling, VA  20166, United States","Duez, P., Cadre Research Labs, Chicago, IL  60654, United States; Weller, T., Cadre Research Labs, Chicago, IL  60654, United States, Weller Forensics, Burlingame, CA  94010, United States; Brubaker, M., Cadre Research Labs, Chicago, IL  60654, United States, Department of Computer Science, York University, Toronto, ON  M3J 1P3, Canada; Hockensmith, R.E., II, Collaborative Testing Services Inc, Sterling, VA  20166, United States; Lilien, R., Cadre Research Labs, Chicago, IL  60654, United States",3D imaging; cartridge cases; firearms identification; forensic science; software; surface metrology; virtual examination; virtual microscopy,adult; analytic method; article; controlled study; crime; false positive result; female; firearm; forensic science; human; human experiment; major clinical study; male; microscopy; software; validation process; validation study,"Lilien, R.; Cadre Research LabsUnited States; email: ryan.forensics@cadreresearch.com",Article,Final,,Scopus,2-s2.0-85049215518,,IFSMS 2019,Toolmarks,Toolmarks
"Hare E., Hofmann H., Carriquiry A.",56707074700;18339759200;6603940842;,Algorithmic approaches to match degraded land impressions,2017,"Law, Probability and Risk",16,4,,203,221,,3,10.1093/lpr/mgx018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039559763&doi=10.1093%2flpr%2fmgx018&partnerID=40&md5=1fa589aa424d913a87cfcc7ec800fbd3,"Department of Statistics, Iowa State University, 1121 Snedecor Hall, Ames, IA  50011, United States","Hare, E., Department of Statistics, Iowa State University, 1121 Snedecor Hall, Ames, IA  50011, United States; Hofmann, H., Department of Statistics, Iowa State University, 1121 Snedecor Hall, Ames, IA  50011, United States; Carriquiry, A., Department of Statistics, Iowa State University, 1121 Snedecor Hall, Ames, IA  50011, United States",Bullet; Land; Matching; Striation; Toolmark,,"Hare, E.; Department of Statistics, Iowa State University, 1121 Snedecor Hall, United States; email: erichare@iastate.edu",Article,Final,,Scopus,2-s2.0-85039559763,,IFSMS 2019,Toolmarks,Toolmarks
