"EID"	"IFSMS 2004"	"IFSMS 2007"	"IFSMS 2010"	"IFSMS 2013"	"IFSMS 2016"	"IFSMS 2019"	"Sum"
"2-s2.0-0025891945"	1991	1991	NA	NA	NA	NA	2
"2-s2.0-11444250398"	2005	2005	NA	NA	NA	NA	2
"2-s2.0-0034763741"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-10744223541"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-0034961165"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-0035116598"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-0033941178"	2000	2000	NA	NA	NA	NA	2
"2-s2.0-0033994858"	2000	2000	NA	NA	NA	NA	2
"2-s2.0-0037187677"	2002	2002	NA	NA	NA	NA	2
"2-s2.0-0035892729"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-0034778633"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-0034710344"	2000	2000	NA	NA	NA	NA	2
"2-s2.0-11144271998"	2005	2005	NA	NA	NA	NA	2
"2-s2.0-2442667821"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-0034963985"	2001	2001	2001	NA	NA	NA	3
"2-s2.0-0037057127"	2002	2002	NA	NA	NA	NA	2
"2-s2.0-0035892731"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-0041818358"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-0037227580"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-0035874083"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-0842306977"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-0035055939"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-0043282586"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-0037711623"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-0043032926"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-0038711020"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-0038463640"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-0035063109"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-0037677192"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-20444399544"	NA	2005	2005	NA	NA	NA	2
"2-s2.0-30344437880"	NA	2006	2006	2006	2006	NA	4
"2-s2.0-33646557707"	NA	2006	NA	2006	NA	NA	2
"2-s2.0-33750624770"	NA	2006	NA	2006	NA	NA	2
"2-s2.0-77956900628"	NA	NA	2010	2010	NA	NA	2
"2-s2.0-66749104582"	NA	NA	2009	2009	NA	NA	2
"2-s2.0-77954563216"	NA	NA	2010	2010	NA	NA	2
"2-s2.0-61849181477"	NA	NA	2009	2009	NA	NA	2
"2-s2.0-41149116231"	NA	NA	2008	2008	NA	NA	2
"2-s2.0-77955612070"	NA	NA	2010	2010	NA	NA	2
"2-s2.0-84869497281"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-79951787403"	NA	NA	NA	2011	2011	NA	2
"2-s2.0-79952200485"	NA	NA	NA	2010	2010	NA	2
"2-s2.0-84888133491"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84971317361"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84943378824"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84975691121"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84949762221"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84970935853"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84961613295"	NA	NA	NA	NA	2016	2016	2
