"EID"	"IFSMS 2004"	"IFSMS 2007"	"IFSMS 2010"	"IFSMS 2013"	"IFSMS 2016"	"IFSMS 2019"	"Sum"
"2-s2.0-0034748250"	2001	2001	NA	NA	NA	NA	2
"2-s2.0-1642580704"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-34248221076"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-34548503387"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-34250180903"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-84954383350"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84908517587"	NA	NA	NA	NA	2013	2013	2
"2-s2.0-84961345096"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84963795050"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84957022087"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84953348907"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84941659093"	NA	NA	NA	NA	2015	2015	2
