"EID"	"IFSMS 2004"	"IFSMS 2007"	"IFSMS 2010"	"IFSMS 2013"	"IFSMS 2016"	"IFSMS 2019"	"Sum"
"2-s2.0-3042758991"	2001	NA	2001	NA	NA	NA	2
"2-s2.0-0347628892"	2004	NA	2004	NA	NA	NA	2
"2-s2.0-85061466819"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-34548486898"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-84876775545"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84898767799"	NA	NA	NA	NA	2014	2014	2
"2-s2.0-85006192466"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84945930480"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84971219371"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84957432368"	NA	NA	NA	NA	2016	2016	2
