"EID"	"IFSMS 2004"	"IFSMS 2007"	"IFSMS 2010"	"IFSMS 2013"	"IFSMS 2016"	"IFSMS 2019"	"Sum"
"2-s2.0-0035870696"	2001	2001	2001	NA	NA	NA	3
"2-s2.0-85061461365"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-0346998053"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-2442572006"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-0347628892"	2004	NA	2004	NA	NA	NA	2
"2-s2.0-36749061991"	NA	2008	2008	NA	NA	NA	2
"2-s2.0-34247401302"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-85024125203"	NA	NA	2009	NA	2009	NA	2
"2-s2.0-78650891885"	NA	NA	2011	2011	NA	NA	2
"2-s2.0-84865636620"	NA	NA	NA	2012	2012	NA	2
"2-s2.0-84879606347"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84875607088"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84879602063"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84886747192"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84962431718"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84966749640"	NA	NA	NA	NA	2017	2017	2
"2-s2.0-85081670301"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84961904763"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-85020564263"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84963972527"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84964089894"	NA	NA	NA	NA	2016	2016	2
