"EID"	"IFSMS 2004"	"IFSMS 2007"	"IFSMS 2010"	"IFSMS 2013"	"IFSMS 2016"	"IFSMS 2019"	"Sum"
"2-s2.0-2642570863"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-0035967715"	2001	NA	2001	NA	NA	NA	2
"2-s2.0-20544447479"	2005	2005	NA	NA	NA	NA	2
"2-s2.0-11144291422"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-3242752748"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-21444449041"	NA	2005	NA	2005	NA	NA	2
"2-s2.0-33846596061"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-22644441962"	NA	2005	2005	NA	NA	NA	2
"2-s2.0-27844482015"	NA	2005	NA	NA	NA	2005	2
"2-s2.0-0015087234"	NA	NA	1971	1971	NA	NA	2
"2-s2.0-77649258318"	NA	NA	2010	2010	2010	NA	3
"2-s2.0-84876485877"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84886920496"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84875518559"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-85000716647"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84959323441"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84928975768"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84948807859"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84962439232"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84975105948"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84978150683"	NA	NA	NA	NA	2016	2016	2
