"EID"	"IFSMS 2004"	"IFSMS 2007"	"IFSMS 2010"	"IFSMS 2013"	"IFSMS 2016"	"IFSMS 2019"	"Sum"
"2-s2.0-54249095080"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-2442704196"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-3142665022"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-79960050701"	NA	NA	2009	2009	NA	NA	2
"2-s2.0-84886339549"	NA	NA	2009	2009	NA	NA	2
"2-s2.0-85081337692"	NA	NA	2009	2009	NA	NA	2
"2-s2.0-77951295006"	NA	NA	2010	2010	NA	NA	2
"2-s2.0-77953132285"	NA	NA	2010	2010	NA	NA	2
"2-s2.0-79959562119"	NA	NA	2009	2009	NA	NA	2
"2-s2.0-76549134949"	NA	NA	2010	2010	NA	NA	2
"2-s2.0-84958246625"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84961352112"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84991824404"	NA	NA	NA	NA	2016	2016	2
"2-s2.0-84955507615"	NA	NA	NA	NA	2016	2016	2
