"EID"	"IFSMS 2004"	"IFSMS 2007"	"IFSMS 2010"	"IFSMS 2013"	"IFSMS 2016"	"IFSMS 2019"	"Sum"
"2-s2.0-4444345200"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-11444262030"	2005	2005	NA	NA	NA	NA	2
"2-s2.0-33644842952"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-1242316223"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-1442299430"	2004	2004	NA	NA	NA	NA	2
"2-s2.0-30844432225"	NA	2006	2006	NA	NA	NA	2
"2-s2.0-34547697560"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-34248225868"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-33745453999"	NA	2006	NA	NA	2006	NA	2
"2-s2.0-34247329029"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-33846528969"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-34547404712"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-78249242066"	NA	NA	2010	2010	NA	NA	2
"2-s2.0-84858587881"	NA	NA	2012	2012	NA	NA	2
"2-s2.0-77954319244"	NA	NA	2010	NA	NA	2010	2
"2-s2.0-77649262736"	NA	NA	2010	NA	NA	2010	2
"2-s2.0-77956320242"	NA	NA	2010	2010	NA	NA	2
"2-s2.0-85024125203"	NA	NA	NA	2009	NA	2009	2
"2-s2.0-84886817149"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84887045673"	NA	NA	NA	2013	2013	NA	2
"2-s2.0-84913588393"	NA	NA	NA	NA	2014	2014	2
"2-s2.0-84921504468"	NA	NA	NA	NA	2015	2015	2
"2-s2.0-84912017440"	NA	NA	NA	NA	2014	2014	2
"2-s2.0-70450242788"	NA	NA	NA	NA	2009	2009	2
"2-s2.0-84904891702"	NA	NA	NA	NA	2014	2014	2
"2-s2.0-84961291269"	NA	NA	NA	NA	2015	2015	2
"2-s2.0-84957824912"	NA	NA	NA	NA	2016	2016	2
