"Keyword"	"Explosives"
"\"\"SMART\"\" SAND"	1
"(-)-MENTHYLCHLOROFORMATE"	1
"(B) GOAL PROGRAMMING"	1
"(B) OR IN MILITARY"	1
"(ESI-MS)"	1
"(FTIR)"	19
"(GC-MS)"	25
"(HPLC)"	25
"(HPTLC)"	1
"(ICP-MS)"	1
"(LASER ABLATION-) INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY"	1
"(LC-MS)"	6
"(LC-MS/MS)"	2
"(MALDI-MS)"	1
"(REAL-TIME PCR)"	1
"(TOF-MS)"	1
"(UHPLC)"	1
"?-? STACKING"	1
"?-FE2O3"	1
"?-NAPTHOFLAVONE"	1
"?-OCTAHYDRO-1,3,5,7-TETRANITRO-1,3,5,7-TETRAZOCINE"	1
"? RAYS"	1
"?CT"	1
"?PADS"	1
"[EMIM]AC/DMSO COMPOUND SOLVENT"	1
"_-CL-20"	1
"{MSU/PDDA}N FILMS"	1
"{SBA/PSS}N/PDDA"	1
"“TURN-ON” FLUORESCENCE"	1
"<U+03A0>-<U+03A0> INTERACTION"	1
"<U+03A0>-<U+03A0> INTERACTIONS"	1
"<U+03A0>-<U+03A0> STACKING INTERACTION"	1
"† OPAQUE HDPE PLASTIC"	1
"† WATER AND GLASS MEDIA.†"	1
"†ATOMIC EMISSION SPECTROSCOPY"	1
"†CHEMOMETRICS"	1
"†CLASSIFICATION"	1
"†DESORPTION ELECTROSPRAY IONIZATION"	1
"†FURES"	1
"†HIGH PERFORMANCE LIQUID CHROMATOGRAPHY"	1
"†IONIC LIQUID"	1
"†JET FUEL"	1
"†LASER PLASMA"	1
"†MASS SPECTROMETRY"	1
"†METHAMPHETAMINE"	1
"†PANAX QUINQUEFOLIUS L"	1
"†SINGLE DROPLET MICRO-EXTRACTION"	1
"1"	3
"1-(2-NITRATOETHYL)-5-NITRIMINOTETRAZOLE"	1
"¹-¹ INTERACTION"	1
"¹-¹ INTERACTIONS"	1
"1,1-DIAMINO-2,2-DINITROETHYLENE"	1
"1,1-DIAMINO-2,2-DINITROETHYLENE (FOX-7)"	1
"1,1,2,2-TETRANITRAMINOETHANE"	1
"1,1,4,4,7,7-HEXAMETHYL-1,4,7-CYCLONONA-TRIPEROXANE"	1
"1,3-DIPOLAR POLYCYCLOADDITION"	1
"1,3,5,7-TETRAACETYL-1,3,5,7-TETRAAZACYCLOOCTANE"	1
"1,3,5,7-TETRANITRO-1,3,5,7-TETRAZOCINE"	1
"1,5-DIAMINOTETRAZOLE"	2
"1,5-DIHYDRODIIMIDAZO[4,5-B:4?5?E]PYRAZINE"	1
"10-PHENANTHROLINE"	1
"13C16O2 LASER."	1
"14C ABUNDANCE"	1
"14N NQR"	2
"15N NMR"	1
"16S RDNA"	1
"16S RRNA"	1
"1H-IMIDAZO[4,5-B]PYRAZINE"	1
"1H-IMIDAZOLE"	1
"1H-TETRAZOLE"	1
"1H CAPTURE ?-RAY"	1
"2"	2
"2-ADNT"	1
"2-ANAN"	1
"2-CHLORO-4-NITROTOLUENE"	1
"2-ETHYL-1-HEXANOL"	1
"2-FOLD INTERPENETRATING CD-MOFS"	1
"2-HADNT"	1
"2-NITRO-M-XYLENE"	1
"2-NITROIMINO-5-NITRO-HEXAHYDRO-1,3,5-TRIAZINE (NNHT)"	1
"2 DIMENSIONAL CONVOLUTION"	1
"2, 4, 6-TRINITROTOLUENE"	1
"2,2-BIS(5-TETRAZOLYL)PROPANE"	1
"2,3-DIMETHYL-2,3-DINITROBUTANE"	1
"2,3-DIMETHYL-2,3-DINITROBUTANE (DMNB)"	1
"2,4-DAT"	1
"2,4-DINITRO ANISOLE"	1
"2,4-DINITROANISOLE"	1
"2,4-DINITROIMIDAZOLE (2,4-DNI)"	1
"2,4-DINITROPHENOL"	2
"2,4-DINITROTOLUENE DETOXICATION"	1
"2,4 DIHYDROPYRIDINE ESTER"	1
"2,4 DINITROTOLUENE (DNT)"	50
"2,4,6-TRINITROPHENOL"	5
"2,4,6-TRINITROPHENOL (TNP)"	2
"2,4,6-TRINITROPHENOL (TNP) EXPLOSIVE"	1
"2,4,6-TRINITRORESORCINE (TNR)"	1
"2,4,6-TRINITROTOLUENE DETECTION"	1
"2,4,6-TRINITROTOLUENE DETOXICATION"	1
"2,4,6 TRINITROTOLUENE (TNT)"	234
"2,4,6,8,10,12-HEXANITRO-2,4,6,8,10,12-HEXAAZAISOWURTZITANE (CL-20) PHOTODECOMPOSITION"	1
"2,4,6,N-TETRANITRO-N-METHYLANILINE"	1
"2,6-DIAMINO-3,5-DINITROPYRAZINE-1-OXIDE"	1
"2,6-DINITROTOLUENE"	1
"2,6-DNT"	2
"2,6-PYRIDINEDICARBOXYLIC ACID"	1
"2001"	1
"2003"	1
"21ST CENTURY"	1
"252CF- 3HE ASSEMBLY"	1
"252CF SOURCE"	1
"2D LAYER"	1
"2D MATERIALS"	1
"3"	2
"3-AMINO-1,2,4-TRIAZOLE"	1
"3-AMINOPROPYLTRIETHOXYSILANE (APTES)"	1
"3-NITRO-1,2,4-TRIAZOL-3-ONE"	1
"3-NITRO-1,2,4-TRIAZOL-5-ONE"	1
"3,3'-DINITRIMINO-5,5'-BIS(1H-1,2,4-TRIAZOLE)"	1
"3,3-DINITROAZETIDINE (DNAZ)"	1
"3,3-DINITROAZETIDINIUM SALICYLATE (DNAZ ? SA)"	1
"3,3,6,6,9,9-HEXAMETHYL-1,2,4,5,7,8-HEXOXONANE"	2
"3,3?-DIAMINO-4,4?-AZOFURAZAN (DAAZF)"	1
"3,4-DINITROPYRAZOLE"	1
"3,6-BIS(1H-1,2,3,4-TETRAZOL-5-YLIMINO)-1,2,4,5-TETRAZINE (BTATZ)"	1
"3,6-DIAZIDO-1,2,4,5-TETRAZINE"	1
"3,6-DIHYDRAZINO-1,2,4,5- TETRAZINE (DHT)"	1
"3D GEOMETRY RECONSTRUCTION"	1
"3D IMAGING"	1
"3HE"	1
"4"	1
"4-ADNT"	1
"4-AMINO-1,2,4-TRIAZOL-5-ONE (ATO)"	1
"4-AMINODINITROTOLUENE"	1
"4-ANAN"	1
"4-CHLORO-2-NITROTOLUENE"	1
"4-DANT"	1
"4-NITRO-2,4-DIAZABUTANAL"	1
"4-NITROPHENOL"	1
"4-NITROTOLUENE"	3
"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZATETRACYCLO[5.5.0.05,903,11]-DODECANE"	1
"4,10-DINITRO-2,6,8,12-TETRAOXA-4,10-DIAZAWURTZITANE (TEX)"	1
"5-NITRO-2,4-DIHYDRO-3H-1,2,4-TRIAZOL-3-ONE"	1
"5-TNB"	1
"5-TRIAZINE"	1
"5-TRINITRO-1"	1
"6-TRINITROTOLUENE"	1
"66 MM M72 HIGH EXPLOSIVE ANTI-TANK ROCKET"	1
"9,10-DIPHENYLANTHRACENE"	1
"A-MAC PROTOCOL"	1
"A FEW-CYCLE PULSE"	1
"A. CARBON NANOFILLERS"	1
"A. CERAMICS"	1
"A. FUNCTIONAL COMPOSITES"	1
"A. HYBRID COMPOSITES"	1
"A. MICROPOROUS MATERIALS"	1
"A. NANOSTRUCTURE"	1
"A. POLYMER-MATRIX COMPOSITES"	1
"A1. DENDRITE"	1
"AAO"	1
"AB INITIO"	3
"AB INITIO CALCULATIONS"	1
"ABATEMENT TECHNOLOGIES"	1
"ABERRATIONS."	1
"ABIOTIC REDUCTION"	2
"ABL FRICTION"	1
"ABLATION"	1
"ABSOLUTE PHASE OF PULSE"	1
"ABSORBANCE"	1
"ABSORPTION CHARACTERISTICS"	1
"ABSORPTION SPECTROSCOPY"	2
"ACCELERATED SOLVENT EXTRACTION"	1
"ACCELERATING RATE CALORIMETER"	3
"ACCELERATION ABILITY"	1
"ACCIDENT"	1
"ACCIDENT INVESTIGATION"	1
"ACCIDENT MODEL"	1
"ACCIDENT SEQUENCES"	1
"ACCURATE QUANTITATION"	1
"ACETIC ACID DERIVATIVE"	1
"ACETONE"	2
"ACETONE PEROXIDE"	1
"ACETONE PEROXIDE MIXTURES"	1
"ACID-BASE INDICATOR"	1
"ACID-BASE PAIRING INTERACTION"	1
"ACID DEGRADATION"	1
"ACID ETCHING"	1
"ACIDALUMINUM MIXTURES"	1
"ACIDIC CONDITIONS"	1
"ACIDIC DEGRADATION"	1
"ACOUSTIC"	1
"ACOUSTIC RESONATOR"	1
"ACOUSTIC WAVE SENSORS"	1
"ACRYLONITRILE-BUTADIENE-STYRENE"	1
"ACTIVATED AZIDE"	1
"ACTIVATED AZIDES"	1
"ACTIVATED BIOMASS"	1
"ACTIVATED CARBON"	2
"ACTIVATED COKE"	1
"ACTIVATED SLUDGE"	1
"ACTIVATION ENERGY"	13
"ACTIVE HYPERSPECTRAL IMAGING"	1
"ACTIVE INTERROGATION"	3
"ACTIVE SPECTRAL IMAGING"	1
"ACTIVE TARGET"	1
"ACUTE TOXICITY"	4
"ACUTE TOXICITY TEST"	2
"ADAMANTANE"	1
"ADAMANTANE MOIETIES"	1
"ADDITIVES"	1
"ADDUCT ION"	1
"ADHESION"	3
"ADHESION FORCE"	1
"ADIABATIC TIME-TO-EXPLOSION"	1
"ADMANTANAMINE"	1
"ADN"	1
"ADNT"	1
"ADSORPTION"	14
"ADSORPTION AND DISSOCIATION"	1
"ADSORPTIVE CATHODIC STRIPPING VOLTAMMETRY"	1
"ADSORPTIVE STRIPPING VOLTAMMETRY"	1
"ADT24"	1
"ADVANCED CHARACTERIZATION"	3
"ADVANCED IMAGING TECHNOLOGY"	1
"ADVANCED OXIDATION PROCESS"	1
"ADVANCED OXIDATION PROCESSES (AOPS)"	2
"ADVECTION"	1
"ADXRD"	2
"AEROBIC BIODEGRADATION"	1
"AEROBIC DENITRIFICATION"	1
"AEROBIC GRANULES"	1
"AEROBIOLOGY"	1
"AERODYNAMIC DROPLET BREAKUP"	1
"AERODYNAMIC REACH"	1
"AEROSOL"	2
"AEROSOL-JET PRINTING"	1
"AEROSOL JET"	1
"AFFINITY CONSTANT"	1
"AFGHAN WAR"	1
"AFGHANISTAN"	3
"AFM"	4
"AFRICAN ELEPHANT"	1
"AFRICAN POUCHED RATS (CRICETOMYS GAMBIANUS)"	1
"AFTERBURNING"	2
"AFTERBURNING SUPPRESSION"	1
"AG NANOCLUSTERS"	1
"AG NANOPARTICLES"	2
"AG/C"	1
"AGED ENERGETIC MATERIALS"	1
"AGEING"	12
"AGGREGATED-INDUCED EMISSION"	1
"AGGREGATES"	2
"AGGREGATION"	2
"AGGREGATION-ENHANCED EMISSION"	3
"AGGREGATION-INDUCED EMISSION"	10
"AGGREGATION-INDUCED EMISSION ENHANCEMENT"	1
"AGGREGATION-INDUCED EMISSION ENHANCEMENT (AIEE)"	1
"AGGREGATION ENHANCED EXCIMER EMISSION"	1
"AGGREGATION INDUCED EMISSION"	3
"AIE-ACQ-RET-ICT"	1
"AIEE 1"	1
"AIM"	1
"AIR BLAST WAVE"	1
"AIR CARGO"	1
"AIR CHANGE"	1
"AIR CONCENTRATION"	1
"AIR MEDIUM"	1
"AIRBAG"	1
"AIRBLAST"	1
"AIRFLOW VELOCITY"	1
"AIRPORT"	1
"AIRPORT SECURITY"	2
"AIRPORT SECURITY SCREENING"	1
"AIRPORT SECURITY X-RAY SCREENING"	1
"AIT"	1
"AL-CUO THERMITE"	1
"AL ACCELERATION"	1
"AL(111) SURFACE"	1
"AL?CUO THERMITE"	1
"AL3+, F? AND TNP"	1
"ALARM RATE"	1
"ALBEDO"	1
"ALCOHOL SWABS"	1
"ALCOHOL WIPES"	3
"ALEX"	1
"ALGORITHM"	3
"ALKALI NITRATES"	1
"ALKALINE HYDROLYSIS"	1
"ALKANETHIOL SELF-ASSEMBLED MONOLAYERS"	1
"ALKYL NITRATE AND NITRITE COMPOUNDS"	1
"ALKYL PHOSPHATES"	1
"ALKYNE LIGAND"	1
"ALLAN VARIANCE"	1
"ALLOSTERISM"	1
"ALMOND SHELL ACTIVATED CARBON"	1
"ALPHA-PARTICLE DETECTORS"	1
"ALPHA COEFFICIENT"	1
"ALUMINIUM (AL)"	10
"ALUMINIUM PHOSPHATE"	1
"ALUMINIZED EXPLOSIVE"	1
"ALUMINIZED EXPLOSIVES"	2
"ALUMINIZED FIREBALL"	1
"ALUMINIZED HIGH EXPLOSIVE"	1
"ALUMINIZED SOLID PROPELLANT"	1
"ALUMINOTHERMY"	1
"ALUMINUM-OXYGEN RATIO(AL/O RATIO)"	1
"ALUMINUM FIBER CONTENT"	1
"ALUMINUM FIBER EXPLOSIVE"	1
"ALUMINUM HYDROXIDE"	1
"ALUMINUM NANOPOWDER"	1
"ALUMINUM OXIDE"	1
"ALUMINUM PARTICLE"	1
"ALUMINUM REACTION RATE"	1
"ALZHEIMER'S DISEASE"	1
"AM-BE NEUTRON SOURCE"	1
"AM-BE SOURCE"	1
"AMBERLITE"	1
"AMBIENT"	1
"AMBIENT AIR"	1
"AMBIENT IONIZATION"	3
"AMBIENT IONIZATION METHODS"	1
"AMBIENT MASS SPECTROMETRY"	1
"AMBIENT MS"	1
"AMBR"	1
"AMERICAN NATIONAL STANDARDS INSTITUTE (ANSI) N42.59"	1
"AMINALS"	1
"AMINE FUNCTIONALIZATION"	1
"AMINES"	2
"AMINO-DINITROTOLUENE"	1
"AMINO ACID"	1
"AMINO GROUP"	1
"AMINODINITROTOLUENES"	1
"AMINOGUANIDINIUM"	1
"AMMONIA DETECTION"	1
"AMMONIUM"	2
"AMMONIUM DIHYDROGEN PHOSPHATE"	1
"AMMONIUM DINITRAMIDE"	2
"AMMONIUM DINITRAMIDE (ADN)"	1
"AMMONIUM DIPICRYLAMIDE"	1
"AMMONIUM NITRATE"	38
"AMMONIUM NITRATE AND POTASSIUM CHLORIDE"	1
"AMMONIUM NITRATE AND SODIUM SULFATE"	1
"AMMONIUM NITRATE EMULSION"	1
"AMMONIUM NITRATE EXPLOSIVES"	1
"AMMONIUM NITRATE FUEL OIL"	1
"AMMONIUM NITRATE MIXTURES"	1
"AMMONIUM PERCHLORATE"	9
"AMMONIUM PERCHLORATE (AP)"	3
"AMMONIUM PERSULFATE"	1
"AMMONIUM REMOVAL"	1
"AMMONIUM SALT"	1
"AMMUNITION"	3
"AMMUNITION WASTE SITES"	1
"AMORPHOUS STRUCTURE"	1
"AMPEROMETRIC DETECTION"	2
"AMPEROMETRY"	1
"AMPHIBIAN"	1
"AMPHIPHILIC POLYTHIOPHENE-COATED QUANTUM DOTS"	1
"AMPLIFYING FLUORESCENT POLYMER"	1
"AMR"	1
"AMYGDALA"	1
"AN"	2
"AN (AMMONIUM NITRATE)"	1
"ANAEROBIC"	2
"ANAEROBIC BIOSLURRY"	1
"ANAEROBIC DEGRADATION KINETIC"	1
"ANAEROBIC FLUIDIZED-BED BIOREACTORS"	1
"ANAEROBIC METABOLITES"	1
"ANAEROBIC TRANSFORMATION"	1
"ANAEROBIC TREATMENT"	1
"ANALYSIS"	6
"ANALYSIS OF HOMEMADE EXPLOSIVES"	1
"ANALYTE DETECTION"	2
"ANALYTE EXTRACTION"	1
"ANALYTES"	1
"ANALYTICAL"	1
"ANALYTICAL CHEMISTRY"	3
"ANALYTICAL DETECTION LIMIT"	1
"ANALYTICAL FIGURES OF MERIT"	1
"ANALYTICAL INTERFERENCES"	1
"ANALYTICAL METHOD"	4
"ANALYTICAL SEPARATIONS"	1
"AND EXPLOSIVES DETECTION AND CLASSIFICATION"	1
"AND LASER SPECTROSCOPY"	1
"AND PHOTONUCLEAR ANALYSES"	1
"AND RADIOLOGICAL EXPLOSIVES DETECTION"	1
"AND REMOTE DETECTION OF INDUSTRIAL POLLUTANTS"	1
