"Keyword"	"Fingermarks"
"(AFIS)"	13
"(ESI-MS)"	1
"(FTIR)"	14
"(GC-MS)"	14
"(HPLC)"	1
"(ICP-MS)"	1
"(LC-MS)"	3
"(MALDI-MS)"	2
"(SN)X"	1
"?8-OCTADECENOIC ACID"	1
"‘TOUCH’ DNA"	1
"<U+041D>REE DELTAS FINGERPRINTS"	1
"1"	1
"1,2-INDANEDIONE"	28
"1,8-DIAZAFLUOREN-9-ONE (DFO)"	25
"1,8-DIAZAFLUOREN-9-ONE(DFO)"	1
"1,8-DIAZAFLUORENONE"	1
"2-HYDROXY-1-NAPHTHALDEHYDE"	1
"2-INDANEDIONE/ZNCL"	1
"2-OCTYL CYANOACRYLATE"	1
"2,4,6 TRINITROTOLUENE (TNT)"	1
"3-D/CAD"	1
"3100 MODIFICATIONS"	1
"3D FINGERPRINT TARGETS"	1
"3D FLOWER LIKE ARCHITECTURES"	1
"3D GRAPHIC MODEL"	1
"3D IMAGING"	1
"3D OPTICAL SCANNING"	1
"3D SPOOFS"	1
"3D SURFACE TEXTURE"	1
"3D/CAD"	1
"5-METHOXYNINHYDRIN"	1
"5-METHYLTHIONINHYDRIN"	4
"5-MTN-L-ALANINE"	1
"9,10-DIPHENYLANTHRACENE"	1
"AB RIDGE COUNT"	1
"ABRASION TEST"	2
"ABSOLUTE AGE"	1
"ABSORBTIVE SURFACES"	1
"ACCIDENT RESEARCH"	1
"ACCREDITATION"	2
"ACCURACY"	7
"ACE"	1
"ACE-V"	5
"ACE-V METHOD"	2
"ACID BLACK 1"	2
"ACID PHOSPHATASE"	1
"ACID WASH"	1
"ACID YELLOW 7"	3
"ACIDIFIED HYDROGEN PEROXIDE"	1
"ACOUSTIC MICROSCOPY"	1
"ACQUISITION TECHNIQUES"	1
"ACRIDINEDIONE"	1
"ACSRT"	1
"ACTIVITY"	1
"ACTIVITY LEVEL"	1
"ACTUATORS"	1
"ADAPTIVE EXPERTISE"	1
"ADAPTIVE INFORMATION PROCESSING"	1
"ADERMATOGLYPHIA"	1
"ADERMATOGLYPHIA, FORENSIC IDENTIFICATION"	1
"ADHESION"	1
"ADHESIVE NEUTRALIZER"	1
