"Keyword"	"Forensic Geoscience"
"'GEOLOCATION' STUDIES, CARRIED OUT ON A GLOBAL LEVEL"	1
"(FTIR)"	2
"(GC-MS)"	7
"(HPLC)"	1
"(ICP-MS)"	7
"(LA-ICP-MS)"	1
"?-SITOSTEROL"	1
"?-SQUARE-TEST"	1
"1918 SPANISH FLU"	1
"2,4,6 TRINITROTOLUENE (TNT)"	1
"206PB/207PB"	1
"AAS/DIONEX"	1
"ABUTTING PRIMERS"	1
"ACCIDENT ANALYSIS"	1
"ACCUMULATED DEGREE-DAYS"	1
"ACCUMULATED DEGREE DAYS"	2
"ACCURACY"	1
"ACETAMIPRID"	1
"ACID FRACTION OF HUMUS"	1
"ACID SULFATE SOILS"	1
"ADAMANTANES"	1
"ADIPOCERE"	3
"ADIPOSE TISSUE"	1
"AERIAL PHOTOGRAPHY"	1
"AEROSOL"	1
"AGADERE"	1
"AGE ESTIMATION"	1
"AGGLOMERATIVE HIERARCHICAL CLUSTER ANALYSIS"	1
"AGGRECAN"	1
"AGRICULTURAL USE"	1
"AGROSTIS/FESTUCA SPP"	1
"AGUSTA"	1
"AIRBORNE PARTICLES"	1
"AIRSPORA"	1
"ALGA"	1
"ALIBI SAMPLES"	1
"ALIBIS"	1
"ALIGNMENT TOOL"	1
"ALKYLATED NAPHTHALENES"	1
"ALKYLATED PAH"	1
"ALLOSTRATIGRAPHY"	1
"AMINO ACIDS ANALYSIS"	1
"AMMONITES"	1
"AMMONIUM"	1
"AMORPHOUS SOIL MINERALS"	1
"AMPLICON LENGTH HETEROGENEITY (ALH)"	1
"AMPLIFICATION"	1
"ANALYSIS"	2
"ANALYSIS OF SIMILARITIES"	1
"ANDISOL"	1
"ANTHROPOGENIC CONTAMINANT SIGNALS"	1
"ANTHROPOGENIC EMISSIONS"	1
"ANTHROPOLOGY"	1
"ANTIMONY POLLUTION"	1
"AQUATIC ENVIRONMENTS"	1
"ARBITRARILY PRIMED PCR"	1
"ARCHAEA"	1
"ARCHAEOLOGY"	2
"AROMATIC STEROIDS"	1
"ART FRAUD"	2
"ARTHROPOD SUCCESSION"	1
"ARTIFICIAL AGING"	1
"ASCOMYCOTA"	1
"ASPHALT PLANTS"	1
