"Keyword"	"Paint-Glass"
"(FTIR)"	39
"(GC-MS)"	17
"(HPLC)"	2
"(ICP-MS)"	14
"(LA-ICP-MS)"	21
"(LC-MS)"	1
"(PY-GC/MS)"	18
"(SEM-EDS)"	2
"(TOF-SIMS)"	1
"(TRIFLUOROMETHYL)PHENYL ETHERS"	1
"?-RAMAN"	1
"?-X-RAY DIFFRACTION/?-X-RAY FLUORESCENCE"	1
"?-XRF"	1
"?XRF"	3
"0.22 CALIBER AMMUNITION"	1
"1,4-DIBROMEBENZENE"	1
"1064 NM DISPERSIVE RAMAN SPECTROSCOPY"	1
"14TH CENTURY"	1
"16TH CENTURY OIL PAINTINGS"	1
"16TH CENTURY"	1
"17TH AND 18TH CENTURY"	1
"19TH CENTURY BLUE PIGMENTS"	1
"19TH CENTURY PAINT MATERIALS"	1
"19TH CENTURY PAINTINGS"	1
"20TH CENTURY ART"	1
"20TH CENTURY GERMAN ART"	1
"20TH CENTURY PAINTS"	1
"3D IMAGING"	3
"3D OPTICAL COHERENCE TOMOGRAPHY"	1
"3D X-RAY IMAGING"	1
"ABIOTIC GLUCOSE FUEL CELLS"	1
"ABLATION"	1
"ABORIGINAL ART"	2
"ABSORPTION COEFFICIENT"	1
"ACCELERATED AGEING"	1
"ACCELERATED TESTING"	1
"ACCELERATOR MASS SPECTROMETRY (AMS)"	1
"ACCREDITATION"	1
"ACHROMATIC"	1
"ACID RED"	1
"ACRYLATE RESIN"	1
"ACRYLIC EMULSION"	1
"ACRYLIC POLYMER"	1
"ACRYLIC RESINS"	1
"ACRYLIC/MELAMINE CROSS-LINKED NETWORKS"	1
"ACRYLOYL FUNCTIONAL POLYURETHANE DISPERSION"	1
"ADDITIVE"	1
"ADDITIVES"	3
"ADHESION"	3
"AEROSOL"	1
"AEROSOL TRANSPORT"	1
"AESTHETIC PROPERTIES"	1
"AFM"	2
"AG FILM OVER NANOSPHERE"	1
"AGEING"	3
"AGFON"	1
"AGGLOMERATIVE HIERARCHICAL CLUSTERING"	1
"AGGREGATE"	1
"AIR DRYING"	1
"AIR GUN"	1
"AIR RIFLE"	2
"ALBANIA"	1
"ALCOHOL"	1
"ALKYD"	1
"ALKYD PAINT"	1
"ALKYD PAINTS"	1
"ALKYD RESIN"	1
"ALKYD RESINS"	1
"ALKYLPHOSPHONIUM SURFACTANTS"	1
"ALLOY-COATED STEEL"	1
"ALTAR"	1
"ALTAR PIECE"	1
"ALTARPIECE"	1
"ALUMINA"	1
"ALUMINIUM (AL)"	2
"ALUMINOSILICATE GLASS"	1
"ALUMINUM PHOSPHATE"	1
"AMBIENT TEMPERATURE CURING"	1
"AMINO ACID"	2
"ANALYSIS"	4
"ANALYSIS OF VARIANCE (ANOVA)"	1
"ANALYTICAL METHOD"	2
"ANALYTICAL TOOLBOX"	1
"ANATASE"	2
"ANCESTRAL PUEBLOAN POTTERY"	1
"ANCIENT"	1
"ANCIENT GLASS"	1
"ANCIENT MAPS"	1
"ANCIENT PIGMENTS"	2
"ANDEAN TEXTILES"	1
"ANILINE DYES"	1
"ANIMAL GLUES"	2
