"Keyword"	"Questioned Document"
"(FTIR)"	13
"(GC-MS)"	9
"(HPLC)"	10
"(HPTLC)"	5
"(ICP-MS)"	3
"(LA-ICP-MS)"	4
"(MALDI-MS)"	2
"(PY-GC/MS)"	1
"(UHPLC)"	1
"2 PHENOXYETHANOL"	6
"2D BARCODES, SUB-CODING, HIGH RESOLUTION"	1
"2D CORRELATION"	1
"3-D SCANNING"	1
"3D IMAGING"	1
"3D LASER PROFILOMETRY"	2
"3D PRINTING"	1
"3D STEREOMICROSCOPY"	1
"85Â°C/85 RH"	1
"A LA POUPÃ©E"	1
"A VALUABLE DOCUMENT"	1
"ABC SYSTEM TESTING"	1
"ABSOLUTE AGE"	2
"ABSORPTION"	1
"ABSORPTION DIFFERENCE"	1
"ABSORPTION SPECTRA"	1
"ACCELERATED AGING"	2
"ACCOUNTABLE MACHINE LEARNING"	1
"ACCURACY"	1
"ACE-V"	1
"ACID DYE"	1
"ACQUISITION PROTOCOL"	1
"ACTIVATION ENERGY"	1
"ADDITIVE"	2
"ADDITIVE MANUFACTURING"	1
"ADHESIVE TAPES"	1
"ADOBE PHOTOSHOP"	1
"ADOBEÂ® PHOTOSHOPÂ® CS"	1
"ADSORPTION"	2
"AFM"	1
"AG NANOPASTES"	1
"AGE"	1
"AGE-RELATED OPTICAL DEGRADATION"	1
"AGE DETERMINATION"	1
"AGE ESTIMATION"	1
"AGEING"	6
"AGEING PARAMETERS"	2
"AGING AND BALLPOINT INK"	1
"AGING CURVE"	1
"AGING OF INKS"	1
"ALCOHOL"	1
"ALEXNET"	1
"ALTERATIONS OF DOCUMENTS"	1
"ALTERED DOCUMENT"	1
"ALTERNATE LIGHT SOURCE"	1
"AMBIENT MASS SPECTROMETRY"	3
"ANALYSIS"	2
"ANALYSIS OF VARIANCE"	1
"ANATASE"	1
"ANCIENT MANUSCRIPTS"	2
"ANCIENT PAPER"	2
"ANGULAR VELOCITY VARIATION"	1
"ANILINE INKS"	1
"ANOVA"	1
"ANT COLONY ALGORITHM"	2
"ANTI-COUNTERFEIT"	1
"ANTI-COUNTERFEITING"	3
"ARABIC"	2
"ARABIC NUMERALS"	1
"ARABIC SIGNATURE SIMULATION"	1
"ARABIC SIGNATURES"	2
"ARABIC TEXT HANDWRITTEN"	1
"ARABIC TEXT PROCESSING"	1
"ARAD OSTRACA"	1
"ARCHAEOLOGY"	1
"ART CONSERVATION"	1
"ART WORKSHEET"	1
"ARTIFICIAL AGING"	2
"ARTIFICIAL AGING OF INKS"	1
"ARTIFICIAL INTELLIGENCE"	1
"ARTIFICIAL NEURAL NETWORK (ANN)"	1
"ASH, FORENSIC SCIENCE"	1
