"Keyword"	"Toolmarks"
"(AFIS)"	1
"(ESI-MS)"	1
"(GC-MS)"	1
"1,2-INDANEDIONE"	5
"1,8-DIAZAFLUOREN-9-ONE (DFO)"	6
"2D/3D DATA"	1
"3D"	1
"3D-MICROSCOPY"	1
"3D DOCUMENTATION"	1
"3D GRAPHIC MODEL"	1
"3D IMAGING"	4
"3D MICROSCOPY VISION"	1
"3D OPTICAL SURFACE SCANNING"	1
"3D PRINTING"	3
"3D SEM SURFACE RECONSTRUCTION"	1
"3D TOOL MODELS"	1
"3D VISUALIZATION"	1
"3D/CAD"	3
"3D/CAD SCANNER"	1
"ABRASIVE TOOLS"	1
"ACCIDENTAL CHARACTERISTICS"	1
"ACCIDENTAL MARKS"	1
"ACCIDENTALS"	5
"ACCURACY"	1
"ACCURACY, RELIABILITY"	1
"ACID YELLOW 7"	1
"ADDITIVE MANUFACTURING"	1
"ADHESIVE LIFTER"	1
"ADHESIVE TAPE"	1
"ADMINISTRATIVE REVIEW"	1
"ADOBE® PHOTOSHOP®"	2
"AGE DETERMINATION"	1
"AGE FACTORS"	1
"AGEING"	2
"AGISOFT PHOTOSCAN"	1
"AIRCRAFT ACCIDENTS"	1
"ALGINATE"	2
"ALGORITHM"	4
"ALTERATIONS"	1
"ALTERNATE HYPOTHESIS"	1
"ALUMINIUM-SILICON ALLOY"	1
"ALUMINIUM (AL)"	1
"ALUMINIUM ENGINE BLOCKS"	1
"AM-FM REACTION-DIFFUSION"	1
"AMELOGENIN GENE"	1
"AMERICAN ATHLETES"	1
"AMIDO BLACK"	1
"AMINO ACID"	2
"AMINO ACID REAGENT"	1
"AMINO ACID STAINING"	1
"ANALYSIS"	2
"ANIMAL BONE"	1
"ANTHROPOLOGY"	2
"ANTHROPOMETRY"	2
"ANTIMICROBIAL SOLUTION"	1
"APPLIED OPTICS"	1
"ARCHAEOLOGY"	1
"ARDUINO"	1
"ARG"	1
"ASSESSMENT"	1
"ASSOCIATION"	1
"AUDIT"	1
"AUSTRALIA"	1
"AUTOMATED COMPARISON OF MICROSCOPIC TOOL MARK EVIDENCE"	1
"AUTOMATED DETECTION"	1
"AUTOMATED PATTERN RECOGNITION"	1
"AUTOMATED SEGMENTATION"	1
"AUTOMATED SYSTEM"	1
"AUTOMATED VISUAL INSPECTION"	2
"AUTOMATIC"	1
"AUTOMATIC SHOEPRINT CLASSIFICATION"	1
"AUTOMATIC SHOEPRINT RECOGNITION"	1
"AXE"	1
"AXE WOUNDS"	1
"AXES"	1
"AXIAL ROTATION"	1
"BACKGROUND CORRECTION"	2
"BALLISTIC"	2
"BALLISTICS EVIDENCE SEARCH"	1
"BALLISTICS IDENTIFICATION"	2
"BAR CODE"	1
"BARE FEET EXAMINATION"	1
"BAREFOOT IMPRESSIONS"	1
"BASE RATES"	1
"BASQUE VALLEYS"	1
"BAYES"	1
"BAYES' RULE"	1
"BAYES' THEOREM"	2
"BAYES'S THEOREM"	1
"BAYESIAN"	3
"BAYESIAN APPROACH"	1
"BAYESIAN INFERENCE"	3
"BAYESIAN NETWORK"	1
"BAYESIAN STATISTICS"	1
"BEHAVIORAL SCIENCES"	1
"BEHAVIOURAL SCIENCES"	1
"BENDECTIN"	1
"BETTONG"	1
"BIAS"	1
"BIOMECHANICAL STUDY"	1
"BIOMETRIC AUTHENTICATION"	1
"BIOMETRICS"	1
"BITE MARK ANALYSIS"	2
"BITEMARK EFFECTIVENESS"	1
"BITEMARKS"	16
"BLIND STUDIES"	1
"BLIND TESTING"	2
"BLOOD"	13
"BLOOD ANALYSIS"	1
"BLOOD ENHANCEMENT"	1
"BLOOD FINGERPRINT"	1
"BLOOD REAGENTS"	1
"BLOODY IMPRESSION LIFTERS"	1
"BLOODY IMPRESSIONS"	1
"BLUNT FORCE TRAUMA"	1
"BLUNT INSTRUMENTS"	1
