"Keyword","ES"
"(FTIR)",11
"(GC-MS)",11
"2,4 DINITROTOLUENE (DNT)",37
"2,4,6 TRINITROTOLUENE (TNT)",138
"ACTIVATION ENERGY",11
"ADSORPTION",9
"AGEING",11
"ALUMINIUM (AL)",10
"AMMONIUM NITRATE",26
"BIODEGRADATION",27
"BIOREMEDIATION",9
"BIOSENSORS",8
"BLAST",13
"BLAST INJURIES",10
"BOND DISSOCIATION ENERGY",9
"BURNING RATE",8
"CL-20",11
"CRYSTAL STRUCTURE",17
"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)",40
"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)",81
"DECOMPOSITION",9
"DEGRADATION",10
"DENSITY",10
"DENSITY FUNCTIONAL THEORY (DFT)",36
"DETECTION",32
"DETONATION",32
"DETONATION PERFORMANCE",12
"DETONATION PROPERTIES",17
"DETONATION VELOCITY",10
"DSC",8
"ELECTROCHEMICAL SENSOR",9
"ENERGETIC MATERIAL",54
"EXPLOSION",19
"EXPLOSIVE",288
"EXPLOSIVE DETECTION",107
"FLUORESCENCE",24
"FLUORESCENCE QUENCHING",14
"FORENSIC",11
"FORENSIC ANALYSIS",10
"FORENSIC SCIENCE",40
"FRAGMENTATION",8
"GAS SENSOR",9
"GOLD NANOPARTICLES",8
"HEAT OF FORMATION",9
"HOMEMADE EXPLOSIVES",8
"HYDROGEN PEROXIDE",8
"IMPACT SENSITIVITY",17
"IMPROVISED EXPLOSIVE DEVICE (IED)",48
"INITIATION",8
"ION MOBILITY SPECTROMETRY (IMS)",25
"KINETICS",24
"LANDMINE DETECTION",8
"LASER",12
"LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)",15
"LUMINESCENCE",11
"MASS SPECTROMETRY (MS)",16
"MECHANICAL PROPERTIES",16
"METAL ORGANIC FRAMEWORK (MOF)",15
"MOLECULAR DYNAMICS",12
"NANOPARTICLES",13
"NITRAMINES",16
"NITRATE",10
"NITROAROMATIC COMPOUND",32
"NITROAROMATIC EXPLOSIVE",17
"NTO",8
"PARTICLE SIZE",9
"PBX",11
"PENTAERYTHRITOL TETRANITRATE (PETN)",19
"PEROXIDE",8
"PHYTOREMEDIATION",10
"PICRIC ACID (PA)",12
"PROPELLANT",21
"QUANTUM CASCADE LASER",12
"RAMAN",10
"RAMAN SPECTROSCOPY",10
"SAFETY",10
"SECURITY",10
"SENSITIVITY",36
"SENSOR",44
"SOIL",13
"SOLID-PHASE MICROEXTRACTION (SPME)",8
"SPECTROSCOPY",13
"STANDOFF",8
"STANDOFF DETECTION",16
"SYNTHESIS",8
"TATB",10
"THERMAL DECOMPOSITION",40
"THERMAL DECOMPOSITION KINETICS",9
"THERMAL STABILITY",16
"TNT DETECTION",8
"TOXICITY",10
"TRACE ANALYSIS",8
"TRACE DETECTION",8
"TRAUMATIC BRAIN INJURY",10
"TRIACETONE TRIPEROXIDE (TATP)",39
"UREA NITRATE",10
"VAPOR PRESSURE",8
"WATER",9
