"Keyword","FI"
"(GC-MS)",68
"ACCELERANT",6
"ACCELERANTS",7
"ALKANE",5
"ARSON",66
"BIODIESEL",12
"BURN",6
"CARBON MONOXIDE",12
"CARPET",6
"CHEMICAL FINGERPRINT",5
"CHEMOMETRICS",25
"CLASSIFICATION",9
"COMBUSTION",5
"COMPARTMENT FIRES",8
"COMPREHENSIVE TWO-DIMENSIONAL GAS CHROMATOGRAPHY",14
"COMPUTATIONAL FLUID DYNAMICS (CFD)",13
"CONE CALORIMETER",5
"DEATH",5
"DIESEL",9
"DIESEL FUEL",7
"DUST EXPLOSION",5
"EXPLOSION",6
"EXPLOSIVE",7
"FATTY ACIDS",5
"FDS",6
"FIRE",44
"FIRE DEBRIS",70
"FIRE DEBRIS ANALYSIS",24
"FIRE DEBRIS SAMPLES",8
"FIRE DYNAMICS SIMULATOR (FDS)",7
"FIRE GROWTH",6
"FIRE INVESTIGATION",55
"FIRE MODELING",9
"FIRE SAFETY",6
"FIRE SPREAD",7
"FIRESETTING",10
"FORENSIC",5
"FORENSIC CHEMISTRY",8
"FORENSIC PATHOLOGY",6
"FORENSIC SCIENCE",120
"GAS CHROMATOGRAPHY (GC)",28
"GAS CHROMATOGRAPHY, COMPREHENSIVE TWO-DIMENSIONAL",7
"GASOLINE",46
"GC × GC",8
"HEADSPACE ANALYSIS",5
"HEAT RELEASE",5
"HEAT RELEASE RATE",12
"HOMICIDE",7
"IGNITABLE LIQUID (IL)",57
"IGNITABLE LIQUID RESIDUE (ILR)",24
"IGNITION",10
"JUVENILE FIRESETTING",5
"KEROSENE",5
"LIKELIHOOD RATIO",5
"LONGITUDINAL VENTILATION",5
"MASS SPECTROMETRY (MS)",15
"MICROBIAL DEGRADATION",8
"MULTIVARIATE ANALYSIS (MVA)",10
"PATTERN RECOGNITION",5
"PEARSON PRODUCT MOMENT CORRELATION",5
"PETROL",8
"POLYCYCLIC AROMATIC HYDROCARBONS",8
"POLYMER",5
"PRINCIPAL COMPONENT ANALYSIS (PCA)",23
"PYROLYSIS",9
"RISK ASSESSMENT",6
"SELF-HEATING",5
"SMOKE",5
"SOIL",7
"SOLID-PHASE MICROEXTRACTION (SPME)",20
"SPONTANEOUS COMBUSTION",9
"SPONTANEOUS IGNITION",10
"SUICIDE",11
"TOXICITY",6
"TRACE EVIDENCE",11
"TUNNEL FIRES",5
"VEGETABLE OIL",11
"VOLATILE ORGANIC COMPOUNDS",8
"WEATHERING",12
