"Keyword"	"Explosives"
"(FTIR)"	19
"(GC-MS)"	25
"(HPLC)"	25
"2,4 DINITROTOLUENE (DNT)"	50
"2,4,6 TRINITROTOLUENE (TNT)"	234
"ACTIVATION ENERGY"	13
"ADSORPTION"	14
"AGEING"	12
"AMMONIUM NITRATE"	38
"ASSOCIATED PARTICLE TECHNIQUE"	11
"BIODEGRADATION"	27
"BLAST"	13
"CAPILLARY ELECTROPHORESIS"	14
"CHEMILUMINESCENCE"	11
"CL-20"	14
"CONJUGATED POLYMER"	11
"CONJUGATED POLYMERS"	12
"CRYSTAL STRUCTURE"	18
"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)"	52
"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)"	124
"DEGRADATION"	12
"DENSITY FUNCTIONAL THEORY (DFT)"	44
"DETECTION"	58
"DETONATION"	33
"DETONATION PERFORMANCE"	12
"DETONATION PROPERTIES"	17
"DRUG"	15
"ELECTROCHEMICAL DETECTION"	14
"ELECTROCHEMICAL SENSOR"	13
"ENERGETIC MATERIAL"	70
"EXPLOSION"	22
"EXPLOSIVE"	555
"EXPLOSIVE DETECTION"	221
"FINGERPRINT"	12
"FLUORESCENCE"	53
"FLUORESCENCE QUENCHING"	44
"FORENSIC"	25
"FORENSIC ANALYSIS"	18
"FORENSIC SCIENCE"	92
"GAS CHROMATOGRAPHY (GC)"	21
"GAS SENSOR"	16
"HIGH EXPLOSIVES"	11
"HOMEMADE EXPLOSIVES"	11
"HYDROGEN PEROXIDE"	14
"HYPERSPECTRAL IMAGING"	12
"IMAGING"	11
"IMPACT SENSITIVITY"	17
"IMPROVISED EXPLOSIVE DEVICE (IED)"	69
"INFRARED SPECTROSCOPY (IR)"	18
"ION MOBILITY SPECTROMETRY (IMS)"	54
"KINETICS"	28
"LASER"	21
"LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)"	40
"LIQUID CHROMATOGRAPHY (LC)"	13
"LUMINESCENCE"	21
"MASS SPECTROMETRY (MS)"	39
"MECHANICAL PROPERTIES"	17
"METAL ORGANIC FRAMEWORK (MOF)"	26
"MOLECULAR DYNAMICS"	13
"NANOPARTICLES"	18
"NITRAMINES"	17
"NITRATE"	11
"NITRATE ESTERS"	11
"NITROAROMATIC COMPOUND"	64
"NITROAROMATIC EXPLOSIVE"	32
"NITROGLYCERIN"	16
"PBX"	13
"PENTAERYTHRITOL TETRANITRATE (PETN)"	36
"PICRIC ACID (PA)"	20
"PRINCIPAL COMPONENT ANALYSIS (PCA)"	17
"PROPELLANT"	27
"QUANTUM CASCADE LASER"	23
"RAMAN"	39
"RAMAN SPECTROSCOPY"	43
"REVIEW"	11
"SECURITY"	18
"SENSITIVITY"	41
"SENSOR"	86
"SERS"	16
"SMOKELESS POWDER"	14
"SMOKELESS POWDERS"	11
"SOIL"	17
"SOLID-PHASE MICROEXTRACTION (SPME)"	26
"SOLID PHASE EXTRACTION (SPE)"	16
"SPECTROSCOPY"	22
"STAND-OFF EXPLOSIVES DETECTION"	20
"STANDOFF"	15
"STANDOFF DETECTION"	32
"TERAHERTZ"	14
"TERRORISM"	11
"THERMAL DECOMPOSITION"	46
"THERMAL STABILITY"	21
"TRACE ANALYSIS"	11
"TRACE DETECTION"	21
"TRIACETONE TRIPEROXIDE (TATP)"	64
"UREA NITRATE"	12
"WATER"	12
