"Keyword"	"Fingermarks"
"(AFIS)"	13
"(FTIR)"	14
"(GC-MS)"	14
"1,2-INDANEDIONE"	28
"1,8-DIAZAFLUOREN-9-ONE (DFO)"	25
"ACCURACY"	7
"AGE DETERMINATION"	7
"AGEING"	22
"AMINO ACID"	20
"ANTI-COUNTERFEITING"	8
"ANTIBODIES"	7
"BIAS"	13
"BIOMETRICS"	34
"BLOOD"	16
"BLOOD ANALYSIS"	9
"CARBON DOTS"	7
"CHEMICAL IMAGING"	13
"COGNITIVE BIAS"	7
"COLUMNAR THIN FILM"	7
"CONFIRMATION BIAS"	9
"CRIME SCENE"	9
"CYANOACRYLATE"	21
"CYANOACRYLATE FUMING"	21
"DACTYLOSCOPY"	12
"DAUBERT"	7
"DECISION MAKING"	11
"DERMATOGLYPHICS"	31
"DETECTION"	17
"DEVELOPMENT"	10
"DISTORTION"	7
"DNA"	17
"DNA TYPING"	19
"ELECTROCHEMICAL MECHANISM"	8
"ENHANCEMENT"	14
"ERRORS"	7
"EVIDENCE"	14
"EXPERTISE"	9
"EXPLOSIVE"	8
"FINGERMARK DETECTION"	15
"FINGERMARK DEVELOPMENT"	7
"FINGERPRINT"	426
"FINGERPRINT ANALYSIS"	9
"FINGERPRINT DETECTION"	18
"FINGERPRINT DEVELOPMENT"	13
"FINGERPRINT IDENTIFICATION"	16
"FINGERPRINT POWDER"	9
"FINGERPRINT RECOGNITION"	12
"FINGERPRINTING"	8
"FLUORESCENCE"	49
"FORENSIC"	64
"FORENSIC ANTHROPOLOGY"	9
"FORENSIC IDENTIFICATION"	10
"FORENSIC SCIENCE"	324
"GENDER"	13
"GOLD NANOPARTICLES"	7
"HYPERSPECTRAL IMAGING"	13
"IDENTIFICATION"	42
"IMAGING"	17
"INDIVIDUALIZATION"	14
"INFRARED RADIATION"	12
"LATENT"	13
"LATENT FINGERMARKS"	67
"LATENT FINGERPRINT DETECTION"	7
"LATENT FINGERPRINTS"	222
"LATENT PRINTS"	9
"LIKELIHOOD RATIO"	28
"LIPID"	8
"LUMINESCENCE"	28
"MASS SPECTROMETRY (MS)"	12
"METAL SURFACE"	13
"MINUTIAE"	17
"NANOPARTICLES"	27
"NANOPHOSPHOR"	7
"NINHYDRIN"	43
"PAPER"	7
"PERSONAL IDENTIFICATION"	22
"PHOTOLUMINESCENCE"	37
"PHYSICAL DEVELOPER"	14
"POROUS SURFACES"	8
"PRINT VISUALIZATION"	21
"QUANTUM DOTS"	8
"RAMAN SPECTROSCOPY"	10
"RELIABILITY"	8
"RIDGE DENSITY"	13
"SCANNING ELECTRON MICROSCOPY (SEM)"	8
"SEX DETERMINATION"	8
"SHORT TANDEM REPEAT (STR)"	9
"SMALL PARTICLE REAGENT"	12
"SPECTROSCOPY"	9
"SQUALENE"	8
"STATISTICS"	10
"SWEAT PORES"	10
"THERMAL PAPER"	15
"TOOLMARKS"	7
"TOUCH DNA"	11
"VACUUM METAL DEPOSITION"	14
"VISUALIZATION"	17
