"Keyword"	"Toolmarks"
"1,2-INDANEDIONE"	5
"1,8-DIAZAFLUOREN-9-ONE (DFO)"	6
"3D IMAGING"	4
"ACCIDENTALS"	5
"ALGORITHM"	4
"BITEMARKS"	16
"BLOOD"	13
"BONE"	4
"BONE TRAUMA"	5
"CHEMICAL ETCHING"	6
"CLASS CHARACTERISTICS"	6
"COMPUTER VISION"	4
"CRIMINALISTICS"	19
"CUT MARKS"	13
"DATABASE"	7
"DAUBERT"	4
"DISMEMBERMENT"	8
"DNA TYPING"	5
"ENHANCEMENT"	4
"ERROR RATE"	6
"ERROR RATES"	4
"FABRIC"	6
"FEATURE EXTRACTION"	4
"FINGERPRINT"	25
"FINGERPRINT DETECTION"	4
"FIREARM"	6
"FOOTWEAR"	15
"FOOTWEAR IMPRESSION"	8
"FOOTWEAR IMPRESSIONS"	10
"FORENSIC"	8
"FORENSIC ANTHROPOLOGY"	26
"FORENSIC DENTISTRY"	12
"FORENSIC ODONTOLOGY"	10
"FORENSIC SCIENCE"	174
"GLASS"	4
"IDENTIFICATION"	14
"IMAGE PROCESSING"	5
"INDIVIDUALIZATION"	5
"INTERPRETATION"	6
"LATENT FINGERPRINTS"	10
"LIKELIHOOD RATIO"	16
"MICRO-CT"	6
"NINHYDRIN"	5
"ODONTOLOGY"	4
"PATTERN RECOGNITION"	6
"PHOTOGRAPHY"	4
"PHYSICAL MATCH"	6
"PLASTIC DEFORMATION IN METALS"	5
"PROBABILITY"	6
"PROFILOMETRY"	6
"QUESTIONED DOCUMENT"	6
"RESTORATION"	7
"SAW MARKS"	6
"SCANNING ELECTRON MICROSCOPY (SEM)"	12
"SERIAL NUMBER RECOVERY"	4
"SERIAL NUMBER RESTORATION"	6
"SHARP FORCE TRAUMA"	5
"SHOEPRINT"	22
"SHOEPRINT IMAGE"	4
"SHOEPRINT RETRIEVAL"	6
"SHOES"	5
"SHORT TANDEM REPEAT (STR)"	4
"SOIL"	5
"STAB WOUND"	6
"STATISTICAL COMPARISON"	4
"STATISTICS"	10
"STEREOMICROSCOPY"	4
"STRIAE"	7
"STRIATIONS"	7
"TAPHONOMY"	5
"TOOL MARK ANALYSIS"	4
"TOOL MARK COMPARISON"	5
"TOOLMARK ANALYSIS"	4
"TOOLMARKS"	44
"TRACE EVIDENCE"	4
"TRAUMA"	4
"VALIDATION STUDY"	4
"VALIDITY"	4
