"TitleCorrected"	"Biological Evidence-DNA"	"Digital Evidence"	"Explosive Analysis"	"Explosive Scene"	"Fingermark Composition"	"Fingermark Detection"	"Fire Investigation"	"Forensic Geoscience"	"Paint-Glass"	"Questioned Document"	"Toolmarks"	"Toxicology Challenge-Advances"	"Toxicology Surveillance"	"sum"
"STR GENOTYPING AND MTDNA SEQUENCING OF LATENT FINGERPRINT ON PAPER"	1	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	4
"STRENGTHENING FORENSIC SCIENCE IN THE UNITED STATES A PATH FORWARD"	1	1	NA	NA	1	1	NA	NA	1	NA	1	NA	NA	6
"USE OF LOW COPY NUMBER DNA IN FORENSIC INFERENCE"	1	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	4
"FORENSIC CHEMISTRY"	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	4
"FORENSIC POTENTIAL OF ATOMIC FORCE MICROSCOPY"	NA	NA	1	NA	1	1	NA	NA	NA	1	NA	NA	NA	4
"FORENSIC SCIENCE"	NA	NA	1	1	NA	1	NA	NA	1	NA	NA	NA	1	5
"NANOPLASMONIC IMAGING OF LATENT FINGERPRINTS WITH EXPLOSIVE RDX RESIDUES"	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	4
"QUANTITATIVE SCANNING PROBE MICROSCOPY FOR NANOMECHANICAL FORENSICS"	NA	NA	1	1	1	1	NA	NA	NA	1	NA	NA	NA	5
"SURFACE MODIFICATION FOR THE COLLECTION AND IDENTIFICATION OF FINGERPRINTS AND COLORIMETRIC DETECTION OF UREA NITRATE"	NA	NA	1	1	1	1	NA	NA	NA	NA	NA	NA	NA	4
"IDENTIFICATION OF AUTHORSHIP USING LATERAL PALM PRINT  A NEW CONCEPT"	NA	NA	NA	NA	1	1	NA	NA	NA	1	1	NA	NA	4
