"Authors","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Correspondence Address","Document Type","Publication Stage","Access Type","Source","EID","SubEvidence","Evidence"
"Aseem A., Latif Baloch W., Khushnood R.A., Mushtaq A.","57214337447;57209071116;56386027800;56708259400;","Structural health assessment of fire damaged building using non-destructive testing and micro-graphical forensic analysis: A case study",2019,"Case Studies in Construction Materials","11","","e00258","","",NA,3,"10.1016/j.cscm.2019.e00258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066448770&doi=10.1016%2fj.cscm.2019.e00258&partnerID=40&md5=8a6d1bc0a6fb9cbabda954addbf4dbfe","NUST Institute of Civil Engineering, National University of Sciences and Technology, Islamabad, Pakistan","Aseem, A., NUST Institute of Civil Engineering, National University of Sciences and Technology, Islamabad, Pakistan; Latif Baloch, W., NUST Institute of Civil Engineering, National University of Sciences and Technology, Islamabad, Pakistan; Khushnood, R.A., NUST Institute of Civil Engineering, National University of Sciences and Technology, Islamabad, Pakistan; Mushtaq, A., NUST Institute of Civil Engineering, National University of Sciences and Technology, Islamabad, Pakistan","Compressive strength; Microstructural analysis; Non-destructive testing; Structural heath assessment; Ultrasonic pulse velocity","Bridge decks; Compressive strength; Durability; Fires; Forensic engineering; Mechanical properties; Nondestructive examination; Quality control; Reinforced concrete; Structural analysis; Thermoanalysis; Durability property; Exposure temperature; Fire-damaged structure; Microstructural analysis; Non destructive testing; Structural health; Structural heath assessment; Ultrasonic pulse velocity; Ultrasonic testing","Khushnood, R.A.; NUST Institute of Civil Engineering, National University of Sciences and TechnologyPakistan; email: arsalan.khushnood@nice.nust.edu.pk","Article","Final","Open Access","Scopus","2-s2.0-85066448770","Fire Investigation","Fire Investigation"
"Zanetti N.I., Ferrero A.A., Centeno N.D.","35081476900;14035497300;6701440185;","Scavenging Activity of Dermestes maculatus (Coleoptera: Dermestidae) on Burned Cadaveric Tissue",2019,"Neotropical Entomology","48","6","","1001","1013",NA,3,"10.1007/s13744-019-00698-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066807198&doi=10.1007%2fs13744-019-00698-1&partnerID=40&md5=53b8b57c8eac94fff5d6944763a2e98f","Lab de Invertebrados II, Instituto de Investigaciones Biológicas y Biomédicas del Sur (INBIOSUR) (CONICET-UNS), Bahía Blanca, Provincia de Buenos Aires, Argentina; Lab de Entomología Aplicada y Forense, Depto de Ciencia y Técnica, Univ Nacional de Quilmes, Bernal, Provincia de Buenos Aires, Argentina","Zanetti, N.I., Lab de Invertebrados II, Instituto de Investigaciones Biológicas y Biomédicas del Sur (INBIOSUR) (CONICET-UNS), Bahía Blanca, Provincia de Buenos Aires, Argentina; Ferrero, A.A., Lab de Invertebrados II, Instituto de Investigaciones Biológicas y Biomédicas del Sur (INBIOSUR) (CONICET-UNS), Bahía Blanca, Provincia de Buenos Aires, Argentina; Centeno, N.D., Lab de Entomología Aplicada y Forense, Depto de Ciencia y Técnica, Univ Nacional de Quilmes, Bernal, Provincia de Buenos Aires, Argentina","Burning; fire; forensic entomology; forensic science; forensic taphonomy; scavenger insects","animal; beetle; cadaver; feeding behavior; female; fire; larva; male; physiology; pig; postmortem change; Animals; Cadaver; Coleoptera; Feeding Behavior; Female; Fires; Forensic Entomology; Larva; Male; Postmortem Changes; Swine","Zanetti, N.I.; Lab de Invertebrados II, Instituto de Investigaciones Biológicas y Biomédicas del Sur (INBIOSUR) (CONICET-UNS)Argentina; email: noeinesz@yahoo.com.ar","Article","Final","","Scopus","2-s2.0-85066807198","Fire Investigation","Fire Investigation"
"Díaz-Martín R.D., Ambrosio J.R., Flores R.M., Gonzáles-Pozos S., Valencia-Caballero L.","56089496900;7003433784;7003507888;57211574565;57203165347;","Cytoskeletal and extracellular matrix proteins resist the burning of bones",2019,"Forensic Science International","305","","110027","","",NA,NA,"10.1016/j.forsciint.2019.110027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074539058&doi=10.1016%2fj.forsciint.2019.110027&partnerID=40&md5=655d13847ea6a59cc5c043147fd1999d","Departamento de Innovación en Material Biológico Humano (DIMBIH), Facultad de Medicina, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico; Departamento de Microbiología y Parasitología, Facultad de Medicina, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico; Departamento de Bioquímica, Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional (CINVESTAV-IPN), Mexico; Unidad de Microscopía Electrónica (LaNSE), CINVESTAV-IPN, Mexico","Díaz-Martín, R.D., Departamento de Innovación en Material Biológico Humano (DIMBIH), Facultad de Medicina, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico, Departamento de Microbiología y Parasitología, Facultad de Medicina, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico; Ambrosio, J.R., Departamento de Microbiología y Parasitología, Facultad de Medicina, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico; Flores, R.M., Departamento de Bioquímica, Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional (CINVESTAV-IPN), Mexico; Gonzáles-Pozos, S., Unidad de Microscopía Electrónica (LaNSE), CINVESTAV-IPN, Mexico; Valencia-Caballero, L., Departamento de Innovación en Material Biológico Humano (DIMBIH), Facultad de Medicina, Universidad Nacional Autónoma de México (UNAM), Ciudad de México, Mexico","Anthropological protein biomarkers; Burnt bone; Forensic protein biomarkers; Protein isolation","actin; collagen type 1; collagen type 4; scleroprotein; tau protein; tubulin; antibody; biological marker; collagen; cytoskeleton protein; scleroprotein; adult; animal tissue; Article; biochemistry; bone demineralization; calcination temperature; cell ultrastructure; controlled study; cytoskeleton; forensic anthropology; forensic medicine; human; human tissue; immunochemistry; male; nonhuman; polyacrylamide gel electrophoresis; priority journal; protein analysis; scanning electron microscopy; Western blotting; animal; bone; chemistry; electrophoresis; fire; forensic pathology; histology; immunology; isolation and purification; pathology; pig; procedures; temperature; ultrastructure; Animals; Antibodies; Biomarkers; Blotting, Western; Bone and Bones; Bone Demineralization Technique; Collagen; Cytoskeletal Proteins; Electrophoresis; Extracellular Matrix Proteins; Fires; Forensic Pathology; Humans; Microscopy, Electron, Scanning; Swine; Temperature","Valencia-Caballero, L.; Departamento de Innovación en Material Biológico Humano, Facultad de Medicina, UNAM, Sótano del Edificio B, Av. Universidad 3000, Circuito Interior, Ciudad Universitaria, CP, Mexico; email: loreval@unam.mx","Article","Final","","Scopus","2-s2.0-85074539058","Fire Investigation","Fire Investigation"
"Madea B., Doberentz E., Jackowski C.","7102211257;24597087700;8658869100;","Vital reactions – An updated overview",2019,"Forensic Science International","305","","110029","","",NA,2,"10.1016/j.forsciint.2019.110029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074792880&doi=10.1016%2fj.forsciint.2019.110029&partnerID=40&md5=35b0574eb8e32439c348f788d02621c8","Institute of Forensic Medicine, University of Bonn, Stiftsplatz 12, Bonn, D-53111, Germany; Institute of Forensic Medicine, University of Bern, Bühlstrasse 20, Bern, CH-3012, Switzerland","Madea, B., Institute of Forensic Medicine, University of Bonn, Stiftsplatz 12, Bonn, D-53111, Germany; Doberentz, E., Institute of Forensic Medicine, University of Bonn, Stiftsplatz 12, Bonn, D-53111, Germany; Jackowski, C., Institute of Forensic Medicine, University of Bern, Bühlstrasse 20, Bern, CH-3012, Switzerland","Biochemical vital reactions; Circulatory system; Postmortem imaging; Respiratory system; Vital reaction; Vital sign; Vitality of skin wounds and wound repair","heat shock protein; hypoxanthine; myoglobin; catecholamine; insulin; protein; air embolism; amnion fluid embolism; cause of death; drowning; embolism; emphysema; exsanguination; fat embolism; fire; foreign body; forensic pathology; gas embolism; gunshot injury; hanging; human; hyperthermia; hypothermia; immunohistochemistry; ischemia; molecular pathology; petechia; pneumothorax; priority journal; Review; salivary gland; strangulation; suffocation; swallowing; thromboembolism; vital reaction; vital sign; wound; acid aspiration; bleeding; blood; coughing; forensic medicine; injury; intestine absorption; lung emphysema; lung ventilation; metabolism; pathology; procedures; purpura; salivation; Catecholamines; Cough; Deglutition; Embolism; Exsanguination; Forensic Medicine; Hemorrhage; Humans; Immunohistochemistry; Insulin; Intestinal Absorption; Ischemia; Pneumothorax; Proteins; Pulmonary Emphysema; Pulmonary Ventilation; Purpura; Respiratory Aspiration; Salivation; Wounds and Injuries","Madea, B.; Institute of Forensic Medicine, University of Bonn, Stiftsplatz 12, Germany; email: b.madea@uni-bonn.de","Review","Final","","Scopus","2-s2.0-85074792880","Fire Investigation","Fire Investigation"
"Allen A., Williams M.R., Sigman M.E.","57200032949;9332965400;7102195984;","Application of likelihood ratios and optimal decision thresholds in fire debris analysis based on a partial least squares discriminant analysis (PLS-DA) model",2019,"Forensic Chemistry","16","","100188","","",NA,3,"10.1016/j.forc.2019.100188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072586158&doi=10.1016%2fj.forc.2019.100188&partnerID=40&md5=53fef5fcafc4ad9301bdc8b4498566ac","National Center for Forensic Science, University of Central Florida, P.O. Box 162367, Orlando, FL  32826, United States; Department of Chemistry, University of Central Florida, P.O. Box 162367, Orlando, FL  32826, United States","Allen, A., Department of Chemistry, University of Central Florida, P.O. Box 162367, Orlando, FL  32826, United States; Williams, M.R., National Center for Forensic Science, University of Central Florida, P.O. Box 162367, Orlando, FL  32826, United States; Sigman, M.E., National Center for Forensic Science, University of Central Florida, P.O. Box 162367, Orlando, FL  32826, United States, Department of Chemistry, University of Central Florida, P.O. Box 162367, Orlando, FL  32826, United States","Fire debris analysis; Likelihood ratios; PLS-DA; ROC analysis","","Sigman, M.E.; National Center for Forensic Science, University of Central Florida, P.O. Box 162367, United States; email: michael.sigman@ucf.edu","Article","Final","","Scopus","2-s2.0-85072586158","Fire Investigation","Fire Investigation"
"James D., Klein D., Rasty J.","7401733707;56583346300;6701802792;","Root Cause Analysis of an Oil-Burning Tabletop Torch Explosion",2019,"Journal of Failure Analysis and Prevention","19","6","","1638","1644",NA,NA,"10.1007/s11668-019-00751-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074567151&doi=10.1007%2fs11668-019-00751-6&partnerID=40&md5=15da56af55d6202c3ed4d13a6aecddb7","Texas Tech University, Lubbock, TX, United States","James, D., Texas Tech University, Lubbock, TX, United States; Klein, D., Texas Tech University, Lubbock, TX, United States; Rasty, J., Texas Tech University, Lubbock, TX, United States","Catastrophic failure; Explosion; Failure analysis; Forensic analysis","Failure analysis; Mechanical engineering; Burn injury; Catastrophic failures; Design and operations; Flash points; Forensic analysis; Fuel oil burning; Ignition source; Root cause analysis; Explosions","James, D.; Texas Tech UniversityUnited States; email: darryl.james@ttu.edu","Article","Final","Open Access","Scopus","2-s2.0-85074567151","Fire Investigation","Fire Investigation"
"Onyishi N.T., Ohayi S.R.","57204658610;57190013352;","Descriptive study of non-fatal interpersonal violence in a Nigerian City",2019,"Egyptian Journal of Forensic Sciences","9","1","61","","",NA,NA,"10.1186/s41935-019-0170-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075942971&doi=10.1186%2fs41935-019-0170-2&partnerID=40&md5=29df052a23b81070ff05c11a1bb99b89","Pathology Department, Enugu State University of Science & Technology College of Medicine, Parklane, Enugu, 40001, Nigeria","Onyishi, N.T., Pathology Department, Enugu State University of Science & Technology College of Medicine, Parklane, Enugu, 40001, Nigeria; Ohayi, S.R., Pathology Department, Enugu State University of Science & Technology College of Medicine, Parklane, Enugu, 40001, Nigeria","Interpersonal violence; Non-fatal violence; Violence determinants, Nigeria","","Onyishi, N.T.; Pathology Department, Enugu State University of Science & Technology College of Medicine, ParklaneNigeria; email: tedcoj@gmail.com","Article","Final","Open Access","Scopus","2-s2.0-85075942971","Fire Investigation","Fire Investigation"
"Taylor J.L., Thorne I.","7405402845;6506256183;","Assessing firesetters with intellectual disabilities",2019,"Journal of Intellectual Disabilities and Offending Behaviour","10","4","","102","118",NA,NA,"10.1108/JIDOB-10-2019-0020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077458427&doi=10.1108%2fJIDOB-10-2019-0020&partnerID=40&md5=58bf8b61f4a376676675ba09293e9641","Faculty of Health and Life Sciences, Northumbria University – Coach Lane Campus, Newcastle upon Tyne, United Kingdom; Psychological Services Department, Northumberland, Tyne and Wear NHS Foundation Trust, Northgate Hospital, Morpeth, United Kingdom","Taylor, J.L., Faculty of Health and Life Sciences, Northumbria University – Coach Lane Campus, Newcastle upon Tyne, United Kingdom; Thorne, I., Psychological Services Department, Northumberland, Tyne and Wear NHS Foundation Trust, Northgate Hospital, Morpeth, United Kingdom","Assessment; Disabilities; Firesetting; Formulation; Intellectual; Risk","","Taylor, J.L.; Faculty of Health and Life Sciences, Northumbria University – Coach Lane CampusUnited Kingdom; email: john.taylor@ntw.nhs.uk","Article","Final","","Scopus","2-s2.0-85077458427","Fire Investigation","Fire Investigation"
"Lee W.Y., Syed Husin S.R., Thangaveloo T., Hejazi F.","57213065047;57213066424;57213065033;35175785100;","Forensic engineering of fire damaged concrete structures - A review-",2019,"IOP Conference Series: Earth and Environmental Science","357","1","012021","","",NA,1,"10.1088/1755-1315/357/1/012021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077516153&doi=10.1088%2f1755-1315%2f357%2f1%2f012021&partnerID=40&md5=df0e20de6da9b63b6b3a35db530a2d8a","Department of Civil Engineering, University Putra Malaysia, Malaysia","Lee, W.Y., Department of Civil Engineering, University Putra Malaysia, Malaysia; Syed Husin, S.R., Department of Civil Engineering, University Putra Malaysia, Malaysia; Thangaveloo, T., Department of Civil Engineering, University Putra Malaysia, Malaysia; Hejazi, F., Department of Civil Engineering, University Putra Malaysia, Malaysia","","Concrete buildings; Concrete construction; Concretes; Durability; Fire resistance; Nondestructive examination; Plates (structural components); Building rehabilitations; Chemical treatment method; Concrete materials; Durability of concrete structure; Fire damaged concretes; Non-destructive test; Performance based method; Standards and guidelines; Forensic engineering","Lee, W.Y.; Department of Civil Engineering, University Putra MalaysiaMalaysia; email: weiying714@gmail.com","Conference Paper","Final","Open Access","Scopus","2-s2.0-85077516153","Fire Investigation","Fire Investigation"
"Tong M., Yu X., Huang S.","55916594100;57195302814;57201088518;","Automatic identification of firing pin impressions based on the Congruent Matching Cell (CMC) method",2019,"Neurocomputing","367","","","246","258",NA,1,"10.1016/j.neucom.2019.08.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070751155&doi=10.1016%2fj.neucom.2019.08.033&partnerID=40&md5=4ae92fc6541837a9acdc28da8b6d19cf","State Key Laboratory of Robotics and Systems and School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China; HIT-Ningbo Institute of Intelligent Equipment Technology, Ningbo, 315000, China","Tong, M., State Key Laboratory of Robotics and Systems and School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China, HIT-Ningbo Institute of Intelligent Equipment Technology, Ningbo, 315000, China; Yu, X., State Key Laboratory of Robotics and Systems and School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China, HIT-Ningbo Institute of Intelligent Equipment Technology, Ningbo, 315000, China; Huang, S., State Key Laboratory of Robotics and Systems and School of Mechatronics Engineering, Harbin Institute of Technology, Harbin, 150001, China","Areal spline filter; Ballistics identification; Firing pin impression; Forensic science; Topography matching","Automation; Forensic science; Automatic identification; Automatic recognition; Firing pin impression; Forensic investigation; Individual characteristics; Normalized cross correlation; Spline filters; Threedimensional (3-d); Topography; accuracy; algorithm; Article; congruent matching cell method; firing pin impression; forensic science; mathematical analysis; priority journal; statistical analysis; validation process","Tong, M.; State Key Laboratory of Robotics and Systems and School of Mechatronics Engineering, Harbin Institute of TechnologyChina; email: tongms@hit.edu.cn","Article","Final","","Scopus","2-s2.0-85070751155","Fire Investigation","Fire Investigation"
