"Authors","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Correspondence Address","Document Type","Publication Stage","Access Type","Source","EID","SubEvidence","Evidence"
"Monika, Bansal D.","57215653809;26039003100;","Image forgery detection and localization using DCT-based forensic analysis approach",2019,"International Journal of Advanced Science and Technology","28","18","","699","713",NA,NA,"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081621790&partnerID=40&md5=2366bc68da6c96d15b674c2eeaa2e113","Manav Rachna International Institute of Research and Studies, Faridabad, India","Monika, Manav Rachna International Institute of Research and Studies, Faridabad, India; Bansal, D., Manav Rachna International Institute of Research and Studies, Faridabad, India","Block feature extraction; DCT; Digital Authentication; Digital Image forensics; Forged region localization","","Monika; Manav Rachna International Institute of Research and StudiesIndia; email: monika.fet@mriu.edu.in","Article","Final","","Scopus","2-s2.0-85081621790","Digital Evidence","Digital Evidence"
"Villar-Vega H.F., Perez-Lopez L.F., Moreno-Sanchez J.","57214131083;57214120883;57214130996;","Computer forensic analysis protocols review focused on digital evidence recovery in hard disks devices",2019,"Journal of Physics: Conference Series","1418","1","012008","","",NA,NA,"10.1088/1742-6596/1418/1/012008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078250156&doi=10.1088%2f1742-6596%2f1418%2f1%2f012008&partnerID=40&md5=cf7aeab9e40f091461098bca386218ad","Centro de Servicios y Gestión Empresarial, Servicio Nacional de Aprendizaje, Medellín, Colombia; Grupo de Investigación en Gerencia y Aplicación de la Ciencia y la Tecnología, Servicio Nacional de Aprendizaje, Medellín, Colombia","Villar-Vega, H.F., Centro de Servicios y Gestión Empresarial, Servicio Nacional de Aprendizaje, Medellín, Colombia, Grupo de Investigación en Gerencia y Aplicación de la Ciencia y la Tecnología, Servicio Nacional de Aprendizaje, Medellín, Colombia; Perez-Lopez, L.F., Centro de Servicios y Gestión Empresarial, Servicio Nacional de Aprendizaje, Medellín, Colombia; Moreno-Sanchez, J., Centro de Servicios y Gestión Empresarial, Servicio Nacional de Aprendizaje, Medellín, Colombia","","Computer crime; Digital devices; Information analysis; Business management; Extraction of information; Forensic laboratory; Industrial revolutions; Learning services; Qualified personnel; Scientific documents; Sources of informations; Computer forensics","","Conference Paper","Final","Open Access","Scopus","2-s2.0-85078250156","Digital Evidence","Digital Evidence"
"Chopade M., Khan S., Shaikh U., Pawar R.","57216288248;57216287581;57202902563;57200941732;","Digital Forensics: Maintaining Chain of Custody Using Blockchain",2019,"Proceedings of the 3rd International Conference on I-SMAC IoT in Social, Mobile, Analytics and Cloud, I-SMAC 2019","","","9032693","744","747",NA,NA,"10.1109/I-SMAC47947.2019.9032693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083023665&doi=10.1109%2fI-SMAC47947.2019.9032693&partnerID=40&md5=8d9fb0fc39b83c717e9e9e7d4d30ef9c","Sardar Patel Institute of Technology, Department of Information Technology, Mumbai, India","Chopade, M., Sardar Patel Institute of Technology, Department of Information Technology, Mumbai, India; Khan, S., Sardar Patel Institute of Technology, Department of Information Technology, Mumbai, India; Shaikh, U., Sardar Patel Institute of Technology, Department of Information Technology, Mumbai, India; Pawar, R., Sardar Patel Institute of Technology, Department of Information Technology, Mumbai, India","assets; Base64; blockchain; chain of custody; distributed ledger; hyperledger composer; participants; security","Blockchain; Computer crime; Cryptography; Electronic crime countermeasures; Internet of things; Chain of custody; Court of law; Criminal activities; Cybercrime; Digital evidence; Encryption technique; Forensics investigations; Digital forensics","","Conference Paper","Final","","Scopus","2-s2.0-85083023665","Digital Evidence","Digital Evidence"
"Li S., Qin T., Min G.","24366415400;57201521305;7102053498;","Blockchain-Based Digital Forensics Investigation Framework in the Internet of Things and Social Systems",2019,"IEEE Transactions on Computational Social Systems","6","6","8777292","1433","1441",NA,5,"10.1109/TCSS.2019.2927431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076643100&doi=10.1109%2fTCSS.2019.2927431&partnerID=40&md5=42bb9133fe5ab97a8764810598d12c53","Department of Computer Science and Creative Technologies, University of the West of England, Bristol, BS16 1QY, United Kingdom; MOE Key Lab for Intelligent Networks and Network Security, Xi'An Jiaotong University, Xi'an, 710049, China; Department of Computer Science, College of Engineering, Mathematics, and Physical Sciences, University of Exeter, Exeter, EX4 4QF, United Kingdom","Li, S., Department of Computer Science and Creative Technologies, University of the West of England, Bristol, BS16 1QY, United Kingdom; Qin, T., MOE Key Lab for Intelligent Networks and Network Security, Xi'An Jiaotong University, Xi'an, 710049, China; Min, G., Department of Computer Science, College of Engineering, Mathematics, and Physical Sciences, University of Exeter, Exeter, EX4 4QF, United Kingdom","Digital forensics (DF); evidence items; internet of things; provenance","Blockchain; Electronic crime countermeasures; Internet of things; Trusted computing; evidence items; Forensic investigation; Forensics investigations; Internet of thing (IOT); Privacy preservation; provenance; Social systems; Digital forensics","Li, S.; Department of Computer Science and Creative Technologies, University of the West of EnglandUnited Kingdom; email: shancang.li@uwe.ac.uk","Article","Final","","Scopus","2-s2.0-85076643100","Digital Evidence","Digital Evidence"
"Cantrell G., Runs Through J.","57216812526;57216809486;","The five levels of data destruction: A paradigm for introducing data recovery in a computer science course",2019,"Proceedings - 6th Annual Conference on Computational Science and Computational Intelligence, CSCI 2019","","","9071161","133","138",NA,NA,"10.1109/CSCI49370.2019.00029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084754756&doi=10.1109%2fCSCI49370.2019.00029&partnerID=40&md5=4ba5cd1410f4976c205727642b34f463","Southern Utah University, Cedar City, UT, United States; Dixie State University, St. George, UT, United States","Cantrell, G., Southern Utah University, Cedar City, UT, United States; Runs Through, J., Dixie State University, St. George, UT, United States","Data recovery; Digital forenics; Teaching methods","Artificial intelligence; Electronic crime countermeasures; Recovery; Teaching; Academic environment; Building blockes; Computer Science course; Computer science programs; Cyber Security Project; Data destructions; Data recovery; Evidence-based; Computer forensics","","Conference Paper","Final","","Scopus","2-s2.0-85084754756","Digital Evidence","Digital Evidence"
"Pathak J., Sankaran S., Achuthan K.","57217015279;56021058900;35483077800;","A SMART Goal-based Framework for Privacy Preserving Embedded Forensic Investigations",2019,"Proceedings of the 2019 International Symposium on Embedded Computing and System Design, ISED 2019","","","9096232","6","10",NA,1,"10.1109/ISED48680.2019.9096232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085730868&doi=10.1109%2fISED48680.2019.9096232&partnerID=40&md5=84cdb7362669bfb51a2920938555812e","Center for Cybersecurity Systems and Networks, Amrita Vishwa Vidyapeetham, Amritapuri, India","Pathak, J., Center for Cybersecurity Systems and Networks, Amrita Vishwa Vidyapeetham, Amritapuri, India; Sankaran, S., Center for Cybersecurity Systems and Networks, Amrita Vishwa Vidyapeetham, Amritapuri, India; Achuthan, K., Center for Cybersecurity Systems and Networks, Amrita Vishwa Vidyapeetham, Amritapuri, India","","Crime; Data privacy; Systems analysis; Criminal investigation; Forensic investigation; Forensics investigations; Personal devices; Policies and measures; Potential sources; Privacy concerns; Privacy preserving; Digital forensics","Pathak, J.; Center for Cybersecurity Systems and Networks, Amrita Vishwa VidyapeethamIndia; email: jayantpathak@am.students.amrita.edu","Conference Paper","Final","","Scopus","2-s2.0-85085730868","Digital Evidence","Digital Evidence"
"Chen G., Wu D., Chen G., Qin P., Zhang L., Liu Q.","55606457200;57215563375;57197714744;55606040300;57196129600;57198642246;","Research on Digital Forensics Framework for Malicious Behavior in Cloud",2019,"Proceedings of 2019 IEEE 4th Advanced Information Technology, Electronic and Automation Control Conference, IAEAC 2019","","","8997702","1375","1379",NA,NA,"10.1109/IAEAC47372.2019.8997702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081169773&doi=10.1109%2fIAEAC47372.2019.8997702&partnerID=40&md5=572e02dc96688e3c5b4da047bf5e907a","Zhejiang Police College, Key Laboratory of Public Security Information Application Based on Big Data Architecture, MPS, Hangzhou, China; People's Procuratorate of Hangzhou, Hangzhou, China; Wenzhou Public Security Bureau, Wenzhou, China; Universidad Carlos III de Madrid, Madrid, Spain; Henan Polytechnic University, Jiaozuo, China; National Defence University, Joint Services Academy, Beijing, China","Chen, G., Zhejiang Police College, Key Laboratory of Public Security Information Application Based on Big Data Architecture, MPS, Hangzhou, China; Wu, D., People's Procuratorate of Hangzhou, Hangzhou, China; Chen, G., Wenzhou Public Security Bureau, Wenzhou, China, Universidad Carlos III de Madrid, Madrid, Spain; Qin, P., Henan Polytechnic University, Jiaozuo, China; Zhang, L., National Defence University, Joint Services Academy, Beijing, China; Liu, Q., Zhejiang Police College, Key Laboratory of Public Security Information Application Based on Big Data Architecture, MPS, Hangzhou, China","cyber crime; digital forensics; malicious behavior; privacy leakage","Computer crime; Digital forensics; Electronic crime countermeasures; Emergency services; Analysis techniques; Cloud environments; Cyber-crimes; Emergency response; Evidence extraction; Malicious behavior; Privacy leakages; Traffic flow detections; Computer forensics","","Conference Paper","Final","","Scopus","2-s2.0-85081169773","Digital Evidence","Digital Evidence"
"Johnson A., Jani G., Pandey A., Patel N.","57202710302;57212766538;56678259200;57214121122;","Digital tooth reconstruction: An innovative approach in forensic odontology",2019,"Journal of Forensic Odonto-Stomatology","37","3","","12","20",NA,2,"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077396297&partnerID=40&md5=f47f4ab468d7079934e588678e80e560","Laboratory of Forensic Odontology, Institute of Forensic Science, Gujarat Forensic Sciences UniversityGujarat, India; Institute of Forensic Science, Gujarat Forensic Sciences UniversityGujarat, India; Department of Oral Medicine & Radiology, Goenka Research Institute of Dental ScienceGujarat, India","Johnson, A., Laboratory of Forensic Odontology, Institute of Forensic Science, Gujarat Forensic Sciences UniversityGujarat, India; Jani, G., Laboratory of Forensic Odontology, Institute of Forensic Science, Gujarat Forensic Sciences UniversityGujarat, India; Pandey, A., Institute of Forensic Science, Gujarat Forensic Sciences UniversityGujarat, India; Patel, N., Department of Oral Medicine & Radiology, Goenka Research Institute of Dental ScienceGujarat, India","3D reconstruction; DVI; Forensic tooth reconstruction; Rapid prototyping; Surface scanning; Volumetric scanning","dentistry; human; mandible; periodontal disease; tooth; Forensic Dentistry; Humans; Mandible; Tooth; Tooth Loss","Johnson, A.; Laboratory of Forensic Odontology, Institute of Forensic Science, Gujarat Forensic Sciences UniversityIndia; email: drabrahamjohnson4000@yahoo.com","Article","Final","","Scopus","2-s2.0-85077396297","Digital Evidence","Digital Evidence"
"Chaitra B., Bhaskar Reddy P.V.","57216458763;57203929595;","A Study on Digital Image Forgery Techniques and its Detection",2019,"Proceedings of the 4th International Conference on Contemporary Computing and Informatics, IC3I 2019","","","9055573","127","130",NA,NA,"10.1109/IC3I46837.2019.9055573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083592001&doi=10.1109%2fIC3I46837.2019.9055573&partnerID=40&md5=5f996b0e2a2d6256aea9372036e1e8fb","REVA UNIVERSITY, School of Computer Science and Engineering, Bangalore, India","Chaitra, B., REVA UNIVERSITY, School of Computer Science and Engineering, Bangalore, India; Bhaskar Reddy, P.V., REVA UNIVERSITY, School of Computer Science and Engineering, Bangalore, India","Active forgery; Digital image forgery; image tampering detection; Passive forgery; Photo editing software tools","Medical imaging; Crime detection; Digital image; Forensics investigations; Identification scheme; Image tampering; Legal proceedings; Tamper detection; Wide spreads; Computer crime","","Conference Paper","Final","","Scopus","2-s2.0-85083592001","Digital Evidence","Digital Evidence"
"Shin Y., Kim H., Jo W., Shon T.","57208127644;57208126524;57188574163;13408680500;","An Security Analysis of Ext Filesystem metadata",2019,"TIMES-iCON 2019 - 2019 4th Technology Innovation Management and Engineering Science International Conference","","","9024546","","",NA,NA,"10.1109/TIMES-iCON47539.2019.9024546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082402232&doi=10.1109%2fTIMES-iCON47539.2019.9024546&partnerID=40&md5=3fda88cbc2138224afa88323490c47e6","Ajou University, Department of Computer Engineering, Suwon, South Korea","Shin, Y., Ajou University, Department of Computer Engineering, Suwon, South Korea; Kim, H., Ajou University, Department of Computer Engineering, Suwon, South Korea; Jo, W., Ajou University, Department of Computer Engineering, Suwon, South Korea; Shon, T., Ajou University, Department of Computer Engineering, Suwon, South Korea","Digital forensics; Ext; File recovery; Filesystem","Digital forensics; Electronic crime countermeasures; Engineering research; File organization; Forensic engineering; Linux; Metadata; Change time; File recovery; Filesystem; Forensic investigation; Linux distributions; Linux kernel; Security analysis; Computer forensics","Shon, T.; Ajou University, Department of Computer EngineeringSouth Korea; email: tsshon@ajou.ac.kr","Conference Paper","Final","","Scopus","2-s2.0-85082402232","Digital Evidence","Digital Evidence"
