"Authors","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Correspondence Address","Document Type","Publication Stage","Access Type","Source","EID","SubEvidence","Evidence"
"Procter F.A., Swindles G.T., Barlow N.L.M.","57211659048;18438882300;24480309100;","Examining the transfer of soils to clothing materials: Implications for forensic investigations",2019,"Forensic Science International","305","","110030","","",NA,NA,"10.1016/j.forsciint.2019.110030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074776325&doi=10.1016%2fj.forsciint.2019.110030&partnerID=40&md5=8ae5c071290f748b46b5a754cc082b9b","School of Geography, University of Leeds, United Kingdom; Ottawa-Carleton Geoscience Centre and Department of Earth Sciences, Carleton University, Ottawa, Ontario, Canada; School of Earth and Environment, University of Leeds, United Kingdom","Procter, F.A., School of Geography, University of Leeds, United Kingdom; Swindles, G.T., School of Geography, University of Leeds, United Kingdom, Ottawa-Carleton Geoscience Centre and Department of Earth Sciences, Carleton University, Ottawa, Ontario, Canada; Barlow, N.L.M., School of Earth and Environment, University of Leeds, United Kingdom","Clothing; Forensics; Soil; Trace evidence; Transfer","nylon fiber; Article; crime; forensic identification; priority journal; soil; soil moisture; United Kingdom","Procter, F.A.; School of Geography, University of LeedsUnited Kingdom; email: gy14fap@leeds.ac.uk","Article","Final","","Scopus","2-s2.0-85074776325","Forensic Geoscience","Forensic Geoscience"
"Kikkawa H.S., Naganuma K., Kumisaka K., Sugita R.","24587369600;57211333456;57197786953;7007155469;","Semi-automated scanning electron microscopy energy dispersive X-ray spectrometry forensic analysis of soil samples",2019,"Forensic Science International","305","","109947","","",NA,1,"10.1016/j.forsciint.2019.109947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073567927&doi=10.1016%2fj.forsciint.2019.109947&partnerID=40&md5=4afa60292be36899601a9671c10e543e","National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Forensic Science Laboratory, Miyazaki Prefectural Police H.Q., 1-8-28 AsahiMiyazaki  880-8509, Japan","Kikkawa, H.S., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Naganuma, K., Forensic Science Laboratory, Miyazaki Prefectural Police H.Q., 1-8-28 AsahiMiyazaki  880-8509, Japan; Kumisaka, K., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan; Sugita, R., National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Chiba, 277-0882, Japan","Automated mineral analysis; Chi-squared tests; Elemental analysis; Trace evidence","albite; andesine; anorthite; bytownite; glass; labradorite; mineral; organic matter; orthoclase; silicon dioxide; unclassified drug; volcanic glass; Article; chi square test; controlled study; energy dispersive X ray spectroscopy; forensic science; granite; granodiorite; human; particle size; phenotype; population research; priority journal; rock; room temperature; scanning electron microscopy; simulation; soil analysis","Kikkawa, H.S.; National Research Institute of Police Science, 6-3-1 Kashiwanoha, Kashiwa, Japan; email: kikkawa@nrips.go.jp","Article","Final","","Scopus","2-s2.0-85073567927","Forensic Geoscience","Forensic Geoscience"
"Fu X., Guo J., Finkelbergs D., He J., Zha L., Guo Y., Cai J.","56946012500;56562057100;57195967931;57211714358;54786023300;7406311824;35483459900;","Fungal succession during mammalian cadaver decomposition and potential forensic implications",2019,"Scientific Reports","9","1","12907","","",NA,4,"10.1038/s41598-019-49361-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071991165&doi=10.1038%2fs41598-019-49361-0&partnerID=40&md5=9cc37bb499145b162dbf1b49c074b361","Department of Forensic Science, School of Basic Medical Sciences, Central South University, Changsha, Hunan  410013, China","Fu, X., Department of Forensic Science, School of Basic Medical Sciences, Central South University, Changsha, Hunan  410013, China; Guo, J., Department of Forensic Science, School of Basic Medical Sciences, Central South University, Changsha, Hunan  410013, China; Finkelbergs, D., Department of Forensic Science, School of Basic Medical Sciences, Central South University, Changsha, Hunan  410013, China; He, J., Department of Forensic Science, School of Basic Medical Sciences, Central South University, Changsha, Hunan  410013, China; Zha, L., Department of Forensic Science, School of Basic Medical Sciences, Central South University, Changsha, Hunan  410013, China; Guo, Y., Department of Forensic Science, School of Basic Medical Sciences, Central South University, Changsha, Hunan  410013, China; Cai, J., Department of Forensic Science, School of Basic Medical Sciences, Central South University, Changsha, Hunan  410013, China","","article; cadaver; decomposition; forensic science; fungal community; high throughput sequencing; microbial community; nonhuman; pig; soil","Cai, J.; Department of Forensic Science, School of Basic Medical Sciences, Central South UniversityChina; email: cjf_jifeng@163.com","Article","Final","Open Access","Scopus","2-s2.0-85071991165","Forensic Geoscience","Forensic Geoscience"
"Akinsunmade A., Karczewski J., Mazurkiewicz E., Tomecka-Suchon S.","57204951236;7006803468;57189391115;6602220011;","Finite-difference time domain (FDTD) modeling of ground penetrating radar pulse energy for locating burial sites",2019,"Acta Geophysica","67","6","","1945","1953",NA,NA,"10.1007/s11600-019-00352-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073982210&doi=10.1007%2fs11600-019-00352-9&partnerID=40&md5=6b16fb93cd3469d4df1fa7605876131b","AGH University of Science and Technology, Kraków, 30-059, Poland; Wydzial Technologii i Jakosci Budowy Dróg, Generalna Dyrekcja Dróg Krajowych I Autostrad, Warsaw, Poland","Akinsunmade, A., AGH University of Science and Technology, Kraków, 30-059, Poland; Karczewski, J., AGH University of Science and Technology, Kraków, 30-059, Poland; Mazurkiewicz, E., Wydzial Technologii i Jakosci Budowy Dróg, Generalna Dyrekcja Dróg Krajowych I Autostrad, Warsaw, Poland; Tomecka-Suchon, S., AGH University of Science and Technology, Kraków, 30-059, Poland","Decomposition of body; FDTD modeling; Ground penetrating radar; Searching body","Digital forensics; Electromagnetic pulse; Finite difference time domain method; Geological surveys; Geophysical prospecting; Radar measurement; Time domain analysis; Electromagnetic pulse energy; FDTD model; Finite -difference time domains (FDTD); Finite-difference time-domain modeling; Forensic investigation; Ground Penetrating Radar; Ground penetrating radar (GPR); Searching body; Ground penetrating radar systems; computer simulation; finite difference method; ground penetrating radar; numerical model","Karczewski, J.; AGH University of Science and TechnologyPoland; email: karcz@agh.edu.pl","Article","Final","Open Access","Scopus","2-s2.0-85073982210","Forensic Geoscience","Forensic Geoscience"
"Pirrie D., Pidduck A.J., Crean D.E., Nicholls T.M., Awbery R.P.","7004099181;57211244094;55113345100;56924803000;23099244700;","Identification and analysis of man-made geological product particles to aid forensic investigation of provenance in the built environment",2019,"Forensic Science International","305","","109974","","",NA,NA,"10.1016/j.forsciint.2019.109974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073119743&doi=10.1016%2fj.forsciint.2019.109974&partnerID=40&md5=922547ade5666ec479e6dfd86b808cf4","Helford Geoscience LLP, Trelowarren Mill Barn, Mawgan, Helston, Cornwall  TR12 6AE, United Kingdom; AWE Plc, Aldermaston, Reading, RG7 4PR, United Kingdom; School of Applied Sciences, Faculty of Computing, Engineering and Sciences, University of South Wales, Glyntaf, Pontypridd, CF37 4AT, United Kingdom","Pirrie, D., Helford Geoscience LLP, Trelowarren Mill Barn, Mawgan, Helston, Cornwall  TR12 6AE, United Kingdom, School of Applied Sciences, Faculty of Computing, Engineering and Sciences, University of South Wales, Glyntaf, Pontypridd, CF37 4AT, United Kingdom; Pidduck, A.J., AWE Plc, Aldermaston, Reading, RG7 4PR, United Kingdom; Crean, D.E., AWE Plc, Aldermaston, Reading, RG7 4PR, United Kingdom; Nicholls, T.M., AWE Plc, Aldermaston, Reading, RG7 4PR, United Kingdom; Awbery, R.P., AWE Plc, Aldermaston, Reading, RG7 4PR, United Kingdom","Construction materials; Geoforensics; Nuclear forensics; SEM-EDS","aluminum silicate; apatite; calcium carbonate; calcium silicate; calcium sulfate; cement; concrete; glass; pyrite; silicon dioxide; titanium; zirconium; Article; automation; built environment; controlled study; forensic identification; mineralogy; particle size; priority journal; rock; scanning electron microscopy","Pirrie, D.; School of Applied Science, Faculty of Computing Engineering and Sciences, University of South Wales, Glyntaf, United Kingdom; email: duncan.pirrie@southwales.ac.uk","Article","Final","","Scopus","2-s2.0-85073119743","Forensic Geoscience","Forensic Geoscience"
"Diegoli T.M., Moore T., Weitz S., Bille T.W.","10139947600;57211093726;35110190500;6508329469;","Prevalence and impact of PCR artifacts from soil samples using the Applied Biosystems™ GlobalFiler™ PCR amplification kit: Interference of non-human artifacts in DNA profiles from a homicide investigation",2019,"Forensic Science International: Genetics Supplement Series","7","1","","41","43",NA,NA,"10.1016/j.fsigss.2019.09.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072644254&doi=10.1016%2fj.fsigss.2019.09.018&partnerID=40&md5=49d933e83bad5a5a01b3098135e29290","Bureau of Alcohol, Tobacco, Firearms and Explosives Forensic Science Laboratory, 6000 Ammendale Road, Beltsville, MD  20705, United States","Diegoli, T.M., Bureau of Alcohol, Tobacco, Firearms and Explosives Forensic Science Laboratory, 6000 Ammendale Road, Beltsville, MD  20705, United States; Moore, T., Bureau of Alcohol, Tobacco, Firearms and Explosives Forensic Science Laboratory, 6000 Ammendale Road, Beltsville, MD  20705, United States; Weitz, S., Bureau of Alcohol, Tobacco, Firearms and Explosives Forensic Science Laboratory, 6000 Ammendale Road, Beltsville, MD  20705, United States; Bille, T.W., Bureau of Alcohol, Tobacco, Firearms and Explosives Forensic Science Laboratory, 6000 Ammendale Road, Beltsville, MD  20705, United States","GlobalFiler™; Non-human artifacts; Short tandem repeat (STR) amplification kit","article; artifact; DNA fingerprinting; homicide; human; polymerase chain reaction; prevalence; short tandem repeat; soil","Diegoli, T.M.; Bureau of Alcohol, Tobacco, Firearms and Explosives Forensic Science Laboratory, 6000 Ammendale Road, United States; email: toni.diegoli@atf.gov","Article","Final","","Scopus","2-s2.0-85072644254","Forensic Geoscience","Forensic Geoscience"
"Alessandrini F., Brenciani A., Fioriti S., Melchionda F., Mingoia M., Morroni G., Tagliabracci A.","8364583400;6508204492;57202710332;57208554580;6602262924;56085512500;6603835846;","Validation of a universal DNA extraction method for human and microbiAL DNA analysis",2019,"Forensic Science International: Genetics Supplement Series","7","1","","256","258",NA,NA,"10.1016/j.fsigss.2019.09.098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073811292&doi=10.1016%2fj.fsigss.2019.09.098&partnerID=40&md5=f41c066746bc4047071d33e6735626ac","Legal Medicine, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy; Microbiology Unit, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy; Infectious Diseases Clinic, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy","Alessandrini, F., Legal Medicine, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy; Brenciani, A., Microbiology Unit, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy; Fioriti, S., Microbiology Unit, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy; Melchionda, F., Legal Medicine, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy; Mingoia, M., Microbiology Unit, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy; Morroni, G., Infectious Diseases Clinic, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy; Tagliabracci, A., Legal Medicine, Department of Biomedical Sciences and Public Health, Polytechnic University of Marche, Ancona, Italy","DNA extraction; Forensics; Microbiome","bacterial DNA; genomic DNA; Acinetobacter baumannii; Article; Bacillus thuringiensis; bacterium; DNA determination; DNA extraction; ear; Enterococcus faecium; Escherichia coli; human; human tissue; Klebsiella pneumoniae; Listeria monocytogenes; microbial community; mouth; Mycobacterium abscessus; nonhuman; nose; oral biopsy; priority journal; Pseudomonas aeruginosa; Staphylococcus aureus; Streptococcus pneumoniae","Alessandrini, F.; Legal Medicine, Department of Biomedical Sciences and Public Health, Polytechnic University of MarcheItaly; email: f.alessandrini@univpm.it","Article","Final","","Scopus","2-s2.0-85073811292","Forensic Geoscience","Forensic Geoscience"
"Vullo C., Rocha A., Romanini C., Romero M., Catelli L., Rotondo M., Longaray M.","57202339106;57211574702;26666396300;56227999000;25026951400;57195459776;57193433045;","Bone sampling criteria for DNA genotyping: macroscopic sample categorization and STR typing results",2019,"Forensic Science International: Genetics Supplement Series","7","1","","760","762",NA,1,"10.1016/j.fsigss.2019.10.167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075835345&doi=10.1016%2fj.fsigss.2019.10.167&partnerID=40&md5=aed5575b4dc6897226f9570185b0a270","EAAF Forensic Genetic Lab, Independencia, Cordoba, 644-3A, Argentina","Vullo, C., EAAF Forensic Genetic Lab, Independencia, Cordoba, 644-3A, Argentina; Rocha, A., EAAF Forensic Genetic Lab, Independencia, Cordoba, 644-3A, Argentina; Romanini, C., EAAF Forensic Genetic Lab, Independencia, Cordoba, 644-3A, Argentina; Romero, M., EAAF Forensic Genetic Lab, Independencia, Cordoba, 644-3A, Argentina; Catelli, L., EAAF Forensic Genetic Lab, Independencia, Cordoba, 644-3A, Argentina; Rotondo, M., EAAF Forensic Genetic Lab, Independencia, Cordoba, 644-3A, Argentina; Longaray, M., EAAF Forensic Genetic Lab, Independencia, Cordoba, 644-3A, Argentina","Bone sampling; DNA yield; Macroscopic bone aspect; STR typing results","anthropology; article; bone; case report; clinical article; genetic analysis; genetic marker; genotype; human","Vullo, C.; EAAF Forensic Genetic Lab, IndependenciaArgentina; email: carlosvullo@gmail.com","Article","Final","","Scopus","2-s2.0-85075835345","Forensic Geoscience","Forensic Geoscience"
"Almohammed E., Dragana Z., Hadi S.","57016878300;57212092559;13004062200;","A study of skeletal remains using GlobalFiler™",2019,"Forensic Science International: Genetics Supplement Series","7","1","","897","900",NA,NA,"10.1016/j.fsigss.2019.11.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075891408&doi=10.1016%2fj.fsigss.2019.11.013&partnerID=40&md5=8b2318b0ea8dde0b00f1a798ede46101","School of Forensic and Applied Sciences, University of Central Lancashire, Preston, United Kingdom; Ministry of Interior of Qatar, Doha, Qatar; Faculty of Medicine, University of Novi Sad, Novi Sad, Serbia","Almohammed, E., School of Forensic and Applied Sciences, University of Central Lancashire, Preston, United Kingdom, Ministry of Interior of Qatar, Doha, Qatar; Dragana, Z., Faculty of Medicine, University of Novi Sad, Novi Sad, Serbia; Hadi, S., School of Forensic and Applied Sciences, University of Central Lancashire, Preston, United Kingdom","Autosomal STR; Forensic; GlobalFiler™; Qatar; Validation","amelogenin; cell nucleus DNA; allele; Article; body remains; bone tissue; capillary electrophoresis; controlled study; data analysis software; disaster victim; DNA degradation; DNA determination; gene locus; genotype; human; human tissue; priority journal; Serbia; short tandem repeat; skeletal muscle; tooth","Almohammed, E.; School of Forensic and Applied Sciences, University of Central LancashireUnited Kingdom; email: eida-k-al@hotmail.com","Article","Final","","Scopus","2-s2.0-85075891408","Forensic Geoscience","Forensic Geoscience"
"Zaini M.S.I., Ishak M.F., Zolkepli M.F.","57200983412;55239909700;57191579050;","Forensic assessment on landfills leachate through electrical resistivity imaging at Simpang Renggam in Johor, Malaysia",2019,"IOP Conference Series: Materials Science and Engineering","669","1","012005","","",NA,NA,"10.1088/1757-899X/669/1/012005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076491297&doi=10.1088%2f1757-899X%2f669%2f1%2f012005&partnerID=40&md5=860d39fc576f708e5899a135bb5bf22d","Faculty of Engineering Technology, Universiti Malaysia Pahang, Kuantan, Pahang, 26300, Malaysia","Zaini, M.S.I., Faculty of Engineering Technology, Universiti Malaysia Pahang, Kuantan, Pahang, 26300, Malaysia; Ishak, M.F., Faculty of Engineering Technology, Universiti Malaysia Pahang, Kuantan, Pahang, 26300, Malaysia; Zolkepli, M.F., Faculty of Engineering Technology, Universiti Malaysia Pahang, Kuantan, Pahang, 26300, Malaysia","","Chemical analysis; Cost engineering; Digital forensics; Electric conductivity; Environmental engineering; Forensic engineering; Geotechnical engineering; Imaging techniques; Indicators (chemical); Chemical contaminants; Electrical resistivity anomalies; Electrical resistivity imaging; Electrical resistivity imaging (ERI); Heavy rainfall; Low resistivity; Resistivity values; Sub-surface materials; Leachate treatment","","Conference Paper","Final","Open Access","Scopus","2-s2.0-85076491297","Forensic Geoscience","Forensic Geoscience"
