"Authors","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Correspondence Address","Document Type","Publication Stage","Access Type","Source","EID","SubEvidence","Evidence"
"Gorbunova A.N.","57213813210;","Million-city site plan problems (Voronezh Case)",2019,"IOP Conference Series: Materials Science and Engineering","687","5","055021","","",NA,NA,"10.1088/1757-899X/687/5/055021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078050017&doi=10.1088%2f1757-899X%2f687%2f5%2f055021&partnerID=40&md5=bf7bda5d107baf7a7fde7eb3c4174865","Department of Territorial Foundations of Urban Planning, Central Institute for Research and Design, Ministry of Construction and Housing and Communal Services of the Russian Federation, 29, Vernadsky Avenue, Moscow, 119331, Russian Federation","Gorbunova, A.N., Department of Territorial Foundations of Urban Planning, Central Institute for Research and Design, Ministry of Construction and Housing and Communal Services of the Russian Federation, 29, Vernadsky Avenue, Moscow, 119331, Russian Federation","","","Gorbunova, A.N.; Department of Territorial Foundations of Urban Planning, Central Institute for Research and Design, Ministry of Construction and Housing and Communal Services of the Russian Federation, 29, Vernadsky Avenue, Russian Federation; email: a.gorbunova@cniipminstroy.ru","Conference Paper","Final","Open Access","Scopus","2-s2.0-85078050017","Questioned Document","Questioned Document"
"Rodrigues e Brito L., Chaves A.B., Braz A., Pimentel M.F.","56470698900;57195106054;55906094700;7006799228;","Raman hyperspectral imaging and a novel approach for objective determination of the order of crossing ink lines",2019,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","223","","117287","","",NA,4,"10.1016/j.saa.2019.117287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067604904&doi=10.1016%2fj.saa.2019.117287&partnerID=40&md5=bcd68fcc3b4e1ba573465cd41fc975ec","Criminalistic Institute of Pernambuco, Recife, Brazil; Department of Fundamental Chemistry, Federal University of Pernambuco, Recife, Brazil; Department of Chemical Engineering, Federal University of Pernambuco, Recife, Brazil","Rodrigues e Brito, L., Criminalistic Institute of Pernambuco, Recife, Brazil, Department of Fundamental Chemistry, Federal University of Pernambuco, Recife, Brazil; Chaves, A.B., Department of Chemical Engineering, Federal University of Pernambuco, Recife, Brazil; Braz, A., Department of Fundamental Chemistry, Federal University of Pernambuco, Recife, Brazil; Pimentel, M.F., Department of Chemical Engineering, Federal University of Pernambuco, Recife, Brazil","Chemometrics; Crossing lines; Hyperspectral imaging; Questioned documents; Raman spectroscopy","Chemical analysis; Discriminant analysis; Least squares approximations; Raman spectroscopy; Spectroscopy; Statistics; Chemical and physical analysis; Chemometrics; Chronological sequences; Crossing Lines; Mean and standard deviations; Multivariate curve resolution alternating least-squares; Partial least square (PLS); Questioned documents; Hyperspectral imaging; article; chemometric analysis; chemometrics; discriminant analysis; least square analysis; microscopy; partial least squares regression; publication; Raman spectrometry","Braz, A.; Cidade Universitária, Av. Artur de Sá, S/N, Brazil; email: andrefrmbraz@gmail.com","Article","Final","","Scopus","2-s2.0-85067604904","Questioned Document","Questioned Document"
"Ruggieri G.","57000120800;","The ruptures of history as challenge to ecumenism",2019,"Cristianesimo nella Storia","40","3","","653","674",NA,NA,"10.17395/96084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091371205&doi=10.17395%2f96084&partnerID=40&md5=2a5daebb50ef0086edb1119f818a8ceb","via San Vitale, 114, Bologna, 40125, Italy","Ruggieri, G., via San Vitale, 114, Bologna, 40125, Italy","Dietrich Bonhoeffer; Ecumenism; Kairos Document; Medellín","","Ruggieri, G.via San Vitale, 114, Italy; email: pinoruggieri0209@gmail.com","Article","Final","","Scopus","2-s2.0-85091371205","Questioned Document","Questioned Document"
"Islam A.U., Khan M.J., Khurshid K., Shafait F.","57193631990;57193864194;57119490500;23390483600;","Hyperspectral Image Analysis for Writer Identification using Deep Learning",2019,"2019 Digital Image Computing: Techniques and Applications, DICTA 2019","","","8945886","","",NA,NA,"10.1109/DICTA47822.2019.8945886","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078695478&doi=10.1109%2fDICTA47822.2019.8945886&partnerID=40&md5=917ba4391b3bcfee580e62d328334f8a","Artificial Intelligence and Computer Vision (IVision) Lab, Department of Electrical Engineering, Institute of Space Technology (IST), Islamabad, 44000, Pakistan; School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan; Deep Learning Laboratory, National Center of Artificial Intelligence (NCAI), Islamabad, 44000, Pakistan","Islam, A.U., Artificial Intelligence and Computer Vision (IVision) Lab, Department of Electrical Engineering, Institute of Space Technology (IST), Islamabad, 44000, Pakistan; Khan, M.J., Artificial Intelligence and Computer Vision (IVision) Lab, Department of Electrical Engineering, Institute of Space Technology (IST), Islamabad, 44000, Pakistan; Khurshid, K., Artificial Intelligence and Computer Vision (IVision) Lab, Department of Electrical Engineering, Institute of Space Technology (IST), Islamabad, 44000, Pakistan; Shafait, F., School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, 44000, Pakistan, Deep Learning Laboratory, National Center of Artificial Intelligence (NCAI), Islamabad, 44000, Pakistan","convolutional neural network; deep learning; document forensics; hyperspectral image analysis; writer identification","Behavioral research; Convolution; Deep learning; Deep neural networks; Forensic science; Hyperspectral imaging; Information retrieval systems; Laws and legislation; Neural networks; Spectroscopy; Text processing; Behavioral characteristics; Convolutional neural network; document forensics; Forensic document analysis; Forensic examinations; Machine learning technology; Spectral information; Writer identification; Image analysis","","Conference Paper","Final","","Scopus","2-s2.0-85078695478","Questioned Document","Questioned Document"
"Mann M., Pathak S.R., Shukla S.K.","57203207573;7203001666;57207098795;","Three-dimensional detection of sequence of strokes using confocal microscope",2019,"Egyptian Journal of Forensic Sciences","9","1","12","","",NA,1,"10.1186/s41935-019-0120-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063264057&doi=10.1186%2fs41935-019-0120-z&partnerID=40&md5=56087141277cb308bd0b67e29fd530d1","Department of Chemistry, Bio-chemistry and Forensic Sciences, Amity School of Applied Sciences, Amity University Haryana, Gurugram, Haryana  122413, India; Amity Institute of Forensic Sciences (AIFS), Amity University, Noida, Uttar Pradesh  201301, India","Mann, M., Department of Chemistry, Bio-chemistry and Forensic Sciences, Amity School of Applied Sciences, Amity University Haryana, Gurugram, Haryana  122413, India; Pathak, S.R., Department of Chemistry, Bio-chemistry and Forensic Sciences, Amity School of Applied Sciences, Amity University Haryana, Gurugram, Haryana  122413, India; Shukla, S.K., Amity Institute of Forensic Sciences (AIFS), Amity University, Noida, Uttar Pradesh  201301, India","Glycol-based ink; Homogenous ink; Liquid-based ink; Pen pressure; Sequence of intersecting lines","","Pathak, S.R.; Department of Chemistry, Bio-chemistry and Forensic Sciences, Amity School of Applied Sciences, Amity University HaryanaIndia; email: seemarpathak@gmail.com","Article","Final","Open Access","Scopus","2-s2.0-85063264057","Questioned Document","Questioned Document"
"Da Silva A.L.O., Bialous S.A., Albertassi P.G.D., Arquete D.A.D.R., Fernandes A.M.M.S., Moreira J.C.","57209983801;6603625539;57209106839;13807564100;57209107896;7201506908;","The taste of smoke: Tobacco industry strategies to prevent the prohibition of additives in tobacco products in Brazil",2019,"Tobacco Control","28","e2","","E92","E101",NA,1,"10.1136/tobaccocontrol-2018-054892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066506851&doi=10.1136%2ftobaccocontrol-2018-054892&partnerID=40&md5=e23e45f06e10b619b09c971ea2ed3106","CESTEH, Escola Nacional de Saude Publica Sergio Arouca, Rio de Janeiro, RJ, Brazil; Agencia Nacional de Vigilancia Sanitaria - ANVISA, Rio de Janeiro, RJ, Brazil; Center for Tobacco Control, UCSF, San Francisco, CA, United States","Da Silva, A.L.O., CESTEH, Escola Nacional de Saude Publica Sergio Arouca, Rio de Janeiro, RJ, Brazil, Agencia Nacional de Vigilancia Sanitaria - ANVISA, Rio de Janeiro, RJ, Brazil; Bialous, S.A., Center for Tobacco Control, UCSF, San Francisco, CA, United States; Albertassi, P.G.D., Agencia Nacional de Vigilancia Sanitaria - ANVISA, Rio de Janeiro, RJ, Brazil; Arquete, D.A.D.R., Agencia Nacional de Vigilancia Sanitaria - ANVISA, Rio de Janeiro, RJ, Brazil; Fernandes, A.M.M.S., Agencia Nacional de Vigilancia Sanitaria - ANVISA, Rio de Janeiro, RJ, Brazil; Moreira, J.C., CESTEH, Escola Nacional de Saude Publica Sergio Arouca, Rio de Janeiro, RJ, Brazil","smoking prevention; tobacco flavours; tobacco industry; tobacco product additives; who framework convention on tobacco control (fctc)","flavoring agent; adolescent; Brazil; chemistry; human; legislation and jurisprudence; taste; tobacco; tobacco industry; Adolescent; Brazil; Flavoring Agents; Humans; Taste; Tobacco Industry; Tobacco Products","Da Silva, A.L.O.; Laboratório de Toxicologia Do Centro de Estudos de Saude Do Trabalhador e Ecologia Humana, Escola Nacional de Saude Publica Sergio Arouca, Fundação Oswaldo Cruz (CESTEH/ENSP/FIOCRUZ), Rua Leopoldo Bulhões, 1480, Brazil; email: andre.sp.ensp@gmail.com","Article","Final","","Scopus","2-s2.0-85066506851","Questioned Document","Questioned Document"
"Ricci U., Centrone C., Gerundino F., Pelo E.","6701782905;9743718000;54997998700;6603179417;","DNA identification of skeletal remains by investigator's intuition",2019,"Forensic Science International: Genetics Supplement Series","7","1","","156","157",NA,NA,"10.1016/j.fsigss.2019.09.061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072838680&doi=10.1016%2fj.fsigss.2019.09.061&partnerID=40&md5=f8aff550ee325c3117834bd26c01d54a","Azienda Ospedaliero Universitaria Careggi, SOD Diagnostica Genetica, Florence, Italy","Ricci, U., Azienda Ospedaliero Universitaria Careggi, SOD Diagnostica Genetica, Florence, Italy; Centrone, C., Azienda Ospedaliero Universitaria Careggi, SOD Diagnostica Genetica, Florence, Italy; Gerundino, F., Azienda Ospedaliero Universitaria Careggi, SOD Diagnostica Genetica, Florence, Italy; Pelo, E., Azienda Ospedaliero Universitaria Careggi, SOD Diagnostica Genetica, Florence, Italy","DNA database; Italia legislation; Skeletal remains","article; body remains; bone; child; city; controlled study; crime; decapitation; DNA fingerprinting; female; genetic identification; genetic profile; highway; human; intuition; Italy; law; police; relative; victim","Ricci, U.; Azienda Ospedaliero Universitaria Careggi, SOD Diagnostica GeneticaItaly; email: ricciu@aou-careggi.toscana.it","Article","Final","","Scopus","2-s2.0-85072838680","Questioned Document","Questioned Document"
"Lima V.G.F., Regattieri N.A.T., Pompeu M.F., Costa I.M.C.","57203861235;57195102908;57203864830;57214591649;","External vascular compression by hyaluronic acid filler documented with high-frequency ultrasound",2019,"Journal of Cosmetic Dermatology","18","6","","1629","1631",NA,1,"10.1111/jocd.12901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062562468&doi=10.1111%2fjocd.12901&partnerID=40&md5=67b17836e7da30b79653ff82792cefc3","Hospital Universitário de Brasilia, Universidade Federal de Brasília, Brasília, Brazil","Lima, V.G.F., Hospital Universitário de Brasilia, Universidade Federal de Brasília, Brasília, Brazil; Regattieri, N.A.T., Hospital Universitário de Brasilia, Universidade Federal de Brasília, Brasília, Brazil; Pompeu, M.F., Hospital Universitário de Brasilia, Universidade Federal de Brasília, Brasília, Brazil; Costa, I.M.C., Hospital Universitário de Brasilia, Universidade Federal de Brasília, Brasília, Brazil","complications; fillers; high-frequency ultrasound; vascular","hyaluronic acid; hyaluronidase; hyaluronic acid; hyaluronoglucosaminidase; adult; artery disease; Article; case report; clinical article; external vascular compression; female; high intensity focused ultrasound; human; nasolabial fold; pallor; patient-reported outcome; priority journal; rejuvenation; skin color; skin disease; yellow spot; administration and dosage; adverse device effect; adverse event; artery; cheek; color Doppler flowmetry; diagnostic imaging; esthetic surgery; injectable implant; peripheral occlusive artery disease; skin; subcutaneous drug administration; treatment outcome; vascular patency; vascularization; Adult; Arterial Occlusive Diseases; Arteries; Cheek; Cosmetic Techniques; Dermal Fillers; Female; Humans; Hyaluronic Acid; Hyaluronoglucosaminidase; Injections, Subcutaneous; Rejuvenation; Skin; Treatment Outcome; Ultrasonography, Doppler, Color; Vascular Patency","Lima, V.G.F.; Hospital Universitário de Brasilia, Universidade Federal de BrasíliaBrazil; email: vanlima910@hotmail.com","Article","Final","","Scopus","2-s2.0-85062562468","Questioned Document","Questioned Document"
"Storkholm M.H., Mazzocato P., Savage C.","57193090769;36624247500;24382191400;","Make it complicated: A qualitative study utilizing a complexity framework to explain improvement in health care",2019,"BMC Health Services Research","19","1","842","","",NA,1,"10.1186/s12913-019-4705-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075113933&doi=10.1186%2fs12913-019-4705-x&partnerID=40&md5=4bbbe56c8af76057f07a2ccc0e5802d3","Department of Learning Informatics, Management and Ethics, Medical Management Centre, Karolinska Institutet, Tomtebodavägen 18A, Stockholm, 171 77, Sweden; Department of Obstetrics and Gynecology, Aarhus University Hospital, Aarhus, Denmark","Storkholm, M.H., Department of Learning Informatics, Management and Ethics, Medical Management Centre, Karolinska Institutet, Tomtebodavägen 18A, Stockholm, 171 77, Sweden, Department of Obstetrics and Gynecology, Aarhus University Hospital, Aarhus, Denmark; Mazzocato, P., Department of Learning Informatics, Management and Ethics, Medical Management Centre, Karolinska Institutet, Tomtebodavägen 18A, Stockholm, 171 77, Sweden; Savage, C., Department of Learning Informatics, Management and Ethics, Medical Management Centre, Karolinska Institutet, Tomtebodavägen 18A, Stockholm, 171 77, Sweden","Change management; Complexity science; Obstetrics and gynecology; Process mapping; Quality improvement","article; change management; clinical article; controlled study; gynecology; human; interview; leadership; learning; manager; obstetrics; organizational structure; patient referral; qualitative research; responsibility; total quality management; velocity; health care delivery; organization and management; qualitative research; system analysis; total quality management; Delivery of Health Care; Humans; Qualitative Research; Quality Improvement; Systems Analysis","Savage, C.; Department of Learning Informatics, Management and Ethics, Medical Management Centre, Karolinska Institutet, Tomtebodavägen 18A, Sweden; email: carl.savage@ki.se","Article","Final","Open Access","Scopus","2-s2.0-85075113933","Questioned Document","Questioned Document"
"Wu X., Fang F., Li B.","57209219200;57208197494;55555133300;","Determination of the Sequence of Intersecting Lines Between Toners and Seals by Laser Fluorescence Microscope",2019,"Journal of Forensic Sciences","64","6","","1761","1768",NA,1,"10.1111/1556-4029.14097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066864515&doi=10.1111%2f1556-4029.14097&partnerID=40&md5=a6c466666e23c3428590cb3f2ae8134a","Department of Document Examination, Criminal Investigation Police University of China, No. 83 Tawan Street, Shenyang, 110854, China; Zhejiang Han Bo Research Institute of Forensic Science, No. 9 Hangda Road, Hangzhou, 310012, China","Wu, X., Department of Document Examination, Criminal Investigation Police University of China, No. 83 Tawan Street, Shenyang, 110854, China; Fang, F., Zhejiang Han Bo Research Institute of Forensic Science, No. 9 Hangda Road, Hangzhou, 310012, China; Li, B., Department of Document Examination, Criminal Investigation Police University of China, No. 83 Tawan Street, Shenyang, 110854, China","forensic science; ink fluorescence; laser fluorescence microscope; laser printer toner; questioned document examination; sequence of intersecting lines; transmitted light","","Wu, X.; Department of Document Examination, Criminal Investigation Police University of China, No. 83 Tawan Street, China; email: wuxiang@cipuc.edu.cn","Article","Final","","Scopus","2-s2.0-85066864515","Questioned Document","Questioned Document"
