"Authors","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Correspondence Address","Document Type","Publication Stage","Access Type","Source","EID","SubEvidence","Evidence"
"Gummin D.D., Mowry J.B., Spyker D.A., Brooks D.E., Beuhler M.C., Rivers L.J., Hashem H.A., Ryan M.L.","6508185204;6603020299;7003603533;24342797200;6602196923;57211965884;57211966652;56402405300;","2018 Annual Report of the American Association of Poison Control Centers’ National Poison Data System (NPDS): 36th Annual Report",2019,"Clinical Toxicology","57","12","","1220","1413",NA,45,"10.1080/15563650.2019.1677022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075522014&doi=10.1080%2f15563650.2019.1677022&partnerID=40&md5=143693500f3b946580111d5feb4621cb","Wisconsin Poison Center, Department of Emergency Medicine, Section of Medical Toxicology, Medical College of Wisconsin, Milwaukee, WI, United States; Indiana Poison Center, Indianapolis, IN, United States; Department of Emergency Medicine, Oregon Poison Center, Oregon Health & Science University, Portland, OR, United States; Department of Medical Toxicology, Banner University Medical Center - Phoenix, Phoenix, AZ, United States; North Carolina Poison Control, Atrium Health, Charlotte, NC, United States; Ciber Global, Troy, MI, United States; American Association of Poison Control Centers, Alexandria, VA, United States; Department of Emergency Medicine, Section of Clinical Toxicology, Louisiana State University Health Sciences Center, Shreveport, LA, United States","Gummin, D.D., Wisconsin Poison Center, Department of Emergency Medicine, Section of Medical Toxicology, Medical College of Wisconsin, Milwaukee, WI, United States; Mowry, J.B., Indiana Poison Center, Indianapolis, IN, United States; Spyker, D.A., Department of Emergency Medicine, Oregon Poison Center, Oregon Health & Science University, Portland, OR, United States; Brooks, D.E., Department of Medical Toxicology, Banner University Medical Center - Phoenix, Phoenix, AZ, United States; Beuhler, M.C., North Carolina Poison Control, Atrium Health, Charlotte, NC, United States; Rivers, L.J., Ciber Global, Troy, MI, United States; Hashem, H.A., American Association of Poison Control Centers, Alexandria, VA, United States; Ryan, M.L., Department of Emergency Medicine, Section of Clinical Toxicology, Louisiana State University Health Sciences Center, Shreveport, LA, United States","","analgesic agent; antidepressant agent; antidote; cosmetic; domestic chemical; hypnotic sedative agent; poison; age; child protection; chronicity; Conference Paper; data system; decontamination; drug exposure; drug misuse; fatality; gender; groups by age; human; ingestion; inhalation; law enforcement; long term exposure; nonhuman; plant identification; poison center; pregnancy; suicide; therapeutic error; adverse event; animal; environmental exposure; epidemiology; factual database; health care management; poison center; United States; Animals; Annual Reports as Topic; Databases, Factual; Environmental Exposure; Humans; Poison Control Centers; Poisoning; United States","Gummin, D.D.; American Association of Poison Control Centers, 515 King Street, Suite 510, United States; email: info@aapcc.org","Conference Paper","Final","","Scopus","2-s2.0-85075522014","Toxicology Surveillance","Toxicology"
"Ribet V., Gurdak M., Ferret P.-J., Brinio E., Giordano Labadie F., Rossi A.B.","24169243300;57210743830;6701924834;57210744998;56072468200;55460895200;","Stepwise approach of development of dermo-cosmetic products in healthy and atopic dermatitis paediatric population: safety evaluation, clinical development and postmarket surveillance",2019,"Journal of the European Academy of Dermatology and Venereology","33","12","","2319","2326",NA,NA,"10.1111/jdv.15785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071371899&doi=10.1111%2fjdv.15785&partnerID=40&md5=d3fca23584205f31e6e5a30b73f269e5","Cosmetovigilance, Pierre Fabre Dermo-Cosmetics, Toulouse, France; Research and Development, Clinical Development Division, Pierre Fabre Dermo-Cosmetics, Toulouse, France; Research and Development, Toxicology Division, Pierre Fabre Dermo-Cosmetics, Toulouse, France; Department of Dermatology, Paul Sabatier University and Larrey Hospital, Toulouse, France","Ribet, V., Cosmetovigilance, Pierre Fabre Dermo-Cosmetics, Toulouse, France; Gurdak, M., Research and Development, Clinical Development Division, Pierre Fabre Dermo-Cosmetics, Toulouse, France; Ferret, P.-J., Research and Development, Toxicology Division, Pierre Fabre Dermo-Cosmetics, Toulouse, France; Brinio, E., Cosmetovigilance, Pierre Fabre Dermo-Cosmetics, Toulouse, France; Giordano Labadie, F., Department of Dermatology, Paul Sabatier University and Larrey Hospital, Toulouse, France; Rossi, A.B., Research and Development, Clinical Development Division, Pierre Fabre Dermo-Cosmetics, Toulouse, France, Department of Dermatology, Paul Sabatier University and Larrey Hospital, Toulouse, France","","cosmetic; cosmetic; Article; atopic dermatitis; child; child safety; controlled study; human; postmarketing surveillance; priority journal; skin care; toxicity testing; toxicology; atopic dermatitis; case control study; infant; middle aged; preschool child; product safety; Case-Control Studies; Child; Child, Preschool; Consumer Product Safety; Cosmetics; Dermatitis, Atopic; Humans; Infant; Middle Aged; Product Surveillance, Postmarketing","Ribet, V.; Cosmetovigilance, Pierre Fabre Dermo-CosmeticsFrance; email: virginie.ribet@pierre-fabre.com","Article","Final","Open Access","Scopus","2-s2.0-85071371899","Toxicology Surveillance","Toxicology"
"Risoluti R., Gullifa G., Battistini A., Materazzi S.","36195268300;56958620800;57209227780;7003409831;","MicroNIR/Chemometrics: A new analytical platform for fast and accurate detection of <U+0394>9-Tetrahydrocannabinol (THC) in oral fluids",2019,"Drug and Alcohol Dependence","205","","107578","","",NA,1,"10.1016/j.drugalcdep.2019.107578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073037909&doi=10.1016%2fj.drugalcdep.2019.107578&partnerID=40&md5=3ae1b8f50798e9edb48f7ab06f15f7c7","Department of Chemistry, “Sapienza” University of Rome, p.le A.Moro 5, Rome, 00185, Italy; Consiglio per la ricerca in agricoltura e l'analisi dell'economia agrarian, Centro di Politiche e Bioeconomia, via Pò 1400198, Italy","Risoluti, R., Department of Chemistry, “Sapienza” University of Rome, p.le A.Moro 5, Rome, 00185, Italy; Gullifa, G., Department of Chemistry, “Sapienza” University of Rome, p.le A.Moro 5, Rome, 00185, Italy; Battistini, A., Consiglio per la ricerca in agricoltura e l'analisi dell'economia agrarian, Centro di Politiche e Bioeconomia, via Pò 1400198, Italy; Materazzi, S., Department of Chemistry, “Sapienza” University of Rome, p.le A.Moro 5, Rome, 00185, Italy","Chemometrics; MicroNIR; Screening; THC; Toxicology","dronabinol; analgesic agent; dronabinol; adult; Article; calibration; cannabis addiction; chemometric analysis; controlled study; discriminant analysis; female; human; male; mass fragmentography; measurement accuracy; near infrared spectroscopy; partial least squares regression; predictive value; priority journal; saliva analysis; sensitivity and specificity; adolescent; body fluid; chemistry; middle aged; miniaturization; near infrared spectroscopy; procedures; saliva; substance abuse; time factor; young adult; Adolescent; Adult; Analgesics, Non-Narcotic; Body Fluids; Dronabinol; Female; Gas Chromatography-Mass Spectrometry; Humans; Male; Microchemistry; Middle Aged; Miniaturization; Saliva; Spectroscopy, Near-Infrared; Substance Abuse Detection; Time Factors; Young Adult","Risoluti, R.; Department of Chemistry, “Sapienza” University of Rome, p.le A.Moro 5, Italy; email: roberta.risoluti@uniroma1.it","Article","Final","","Scopus","2-s2.0-85073037909","Toxicology Surveillance","Toxicology"
"Walley A.Y., Bernson D., Larochelle M.R., Green T.C., Young L., Land T.","8317404900;56034940400;40361125900;7401859572;56776676300;23497581700;","The Contribution of Prescribed and Illicit Opioids to Fatal Overdoses in Massachusetts, 2013-2015",2019,"Public Health Reports","134","6","","667","674",NA,7,"10.1177/0033354919878429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073470039&doi=10.1177%2f0033354919878429&partnerID=40&md5=ccd2c98d41a6d19ae89c022a7136b810","Department of Medicine, Clinical Addiction Research and Education Unit, Section of General Internal Medicine, Boston University, School of Medicine Boston Medical Center, Boston, MA, United States; Massachusetts Department of Public Health, Boston, MA, United States; Department of Emergency Medicine, Injury Prevention Center, Boston University, School of Medicine Boston Medical Center, Boston, MA, United States; Department of Medicine, University of Massachusetts Medical School, Worcester, MA, United States","Walley, A.Y., Department of Medicine, Clinical Addiction Research and Education Unit, Section of General Internal Medicine, Boston University, School of Medicine Boston Medical Center, Boston, MA, United States, Massachusetts Department of Public Health, Boston, MA, United States; Bernson, D., Massachusetts Department of Public Health, Boston, MA, United States; Larochelle, M.R., Department of Medicine, Clinical Addiction Research and Education Unit, Section of General Internal Medicine, Boston University, School of Medicine Boston Medical Center, Boston, MA, United States; Green, T.C., Department of Emergency Medicine, Injury Prevention Center, Boston University, School of Medicine Boston Medical Center, Boston, MA, United States; Young, L., Massachusetts Department of Public Health, Boston, MA, United States; Land, T., Department of Medicine, University of Massachusetts Medical School, Worcester, MA, United States","fentanyl; heroin; overdose; prescription drug monitoring programs; prescription opioids","buprenorphine; codeine; fentanyl; hydrocodone; hydromorphone; methadone; morphine; oxycodone; tramadol; diamorphine; fentanyl; narcotic analgesic agent; adult; Article; autopsy; cause of death; cohort analysis; controlled study; descriptive research; drug surveillance program; female; human; ICD-10; male; Massachusetts; population research; prescription; priority journal; risk factor; adolescent; adverse event; child; drug overdose; middle aged; mortality; opiate addiction; prescription; retrospective study; Adolescent; Adult; Analgesics, Opioid; Child; Drug Overdose; Drug Prescriptions; Female; Fentanyl; Heroin; Humans; Illicit Drugs; Male; Massachusetts; Middle Aged; Opioid-Related Disorders; Retrospective Studies","Walley, A.Y.; Department of Medicine, Clinical Addiction Research and Education Unit, Section of General Internal Medicine, Boston University, School of Medicine Boston Medical CenterUnited States; email: awalley@bu.edu","Article","Final","","Scopus","2-s2.0-85073470039","Toxicology Surveillance","Toxicology"
"Spyres M.B., Farrugia L.A., Kang A.M., Calello D.P., Campleman S.L., Pizon A., Wiegand T., Kao L., Riley B.D., Li S., Wax P.M., Brent J., Beauchamp G.A., Beuhler M.C., Boyle K.L., Cannon R.D., Carey J.L., Carpenter J., Chenoweth J.A., Colby D.K., Eisenga B.H., Fisher E., Ford J.B., Fox L.M., Ganetsky M., Gorodetsky R., Greene S.C., Griswold M.K., Harding S.A., Hendrickson R.G., Horowitz B.Z., Hoyte C., Jacob J., Judge B.S., Kazzi Z., Kerns W.P., Kim T., Koons A., Leikin J.B., Levine M., Liss D.B., Marino R., McKay C.A., McKeever R.G., Meadors K., Moore K., Mullins M.E., Nacca N., Nelson M.E., Porter L., Riley B.D., Santos C., Schult R., Schwarz E.S., Scoccimarro A., Seifert S.A., Shafer S., Shah K.R., Smolinske S.C., Spyres M., Tortora L., Vearrier D.J., Warrick B.J., Weiss S., Wolk B.J., Yanta J., On behalf of the Toxicology Investigators Consortium (ToxIC) Study Group","24177481200;56320170400;56385146700;9436826600;35581388600;8421510800;34870733000;7103331355;12783974900;57211518629;7003709681;7005423161;36087084500;6602196923;55072999200;56109038800;54400855700;36862279000;55313346700;57189852968;57204052922;57204060043;55336291700;55935810900;23008242800;55292931900;23980139300;56801431000;57211523343;7005198202;57216229754;23034871300;37077243000;8607941300;22034834800;56232935700;57211521444;57200191772;26424272200;7404035146;55905843400;57203873695;7101952204;56335286400;57204055406;57211523490;35417193100;36236975500;57213810304;57203415876;57204061575;35976893200;56662026400;24831039800;57188857226;7004426583;57204056177;57193027232;57204053689;24177481200;57208237195;57211514086;57204061448;54685510800;52464937400;55693836800;","The Toxicology Investigators Consortium Case Registry-the 2018 Annual Report",2019,"Journal of Medical Toxicology","15","4","","228","254",NA,3,"10.1007/s13181-019-00736-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074270609&doi=10.1007%2fs13181-019-00736-9&partnerID=40&md5=8d0a22b6407c985e9aea151f6b085e43","Department of Emergency Medicine, Division of Medical Toxicology, University of Southern California, 1200 N State St. Rm 1011, Los Angeles, CA  90033, United States; Hartford Hospital and University of Connecticut School of Medicine, 80 Seymour Street, Hartford, CT  06102, United States; Departments of Medicine and Child Health, University of Arizona College of Medicine–Phoenix, Phoenix, AZ, United States; Department of Medical Toxicology, Banner–University Medical Center, 1012 E Willetta Street, Fl 2, Phoenix, AZ  85006, United States; New Jersey Medical School, Rutgers, The State University of New Jersey, 140 Bergen Street, Suite G1600, Newark, NJ  07101-1709, United States; American College of Medical Toxicology, 10645 N Tatum Blvd., Suite 200-111, Phoenix, AZ  85028, United States; University of Pittsburgh School of Medicine and University of Pittsburgh Medical Center, 200 Lothrop Street, Pittsburgh, PA  15213, United States; University of Rochester Medical Center and Strong Memorial Hospital, 601 Elmwood Ave, Rochester, NY  14642, United States; Indiana university school of medicine, 340 West 10th Street, Suite 6200, Indianapolis, IN  46202, United States; Michigan State University College of Human Medicine, 100 Michigan NE MC49, Grand Rapids, MI  49503, United States; University of Texas Southwestern Medical School, 5323 Harry Hines Boulevard, Dallas, TX  75390, United States; University of Colorado School of Medicine, 13001 E 17th Pl, Aurora, CO  80045, United States","Spyres, M.B., Department of Emergency Medicine, Division of Medical Toxicology, University of Southern California, 1200 N State St. Rm 1011, Los Angeles, CA  90033, United States, ; Farrugia, L.A., Hartford Hospital and University of Connecticut School of Medicine, 80 Seymour Street, Hartford, CT  06102, United States; Kang, A.M., Departments of Medicine and Child Health, University of Arizona College of Medicine–Phoenix, Phoenix, AZ, United States, Department of Medical Toxicology, Banner–University Medical Center, 1012 E Willetta Street, Fl 2, Phoenix, AZ  85006, United States; Calello, D.P., New Jersey Medical School, Rutgers, The State University of New Jersey, 140 Bergen Street, Suite G1600, Newark, NJ  07101-1709, United States; Campleman, S.L., American College of Medical Toxicology, 10645 N Tatum Blvd., Suite 200-111, Phoenix, AZ  85028, United States; Pizon, A., University of Pittsburgh School of Medicine and University of Pittsburgh Medical Center, 200 Lothrop Street, Pittsburgh, PA  15213, United States; Wiegand, T., University of Rochester Medical Center and Strong Memorial Hospital, 601 Elmwood Ave, Rochester, NY  14642, United States; Kao, L., Indiana university school of medicine, 340 West 10th Street, Suite 6200, Indianapolis, IN  46202, United States; Riley, B.D., Michigan State University College of Human Medicine, 100 Michigan NE MC49, Grand Rapids, MI  49503, United States; Li, S., American College of Medical Toxicology, 10645 N Tatum Blvd., Suite 200-111, Phoenix, AZ  85028, United States; Wax, P.M., University of Texas Southwestern Medical School, 5323 Harry Hines Boulevard, Dallas, TX  75390, United States; Brent, J., University of Colorado School of Medicine, 13001 E 17th Pl, Aurora, CO  80045, United States; Beauchamp, G.A.; Beuhler, M.C.; Boyle, K.L.; Cannon, R.D.; Carey, J.L.; Carpenter, J.; Chenoweth, J.A.; Colby, D.K.; Eisenga, B.H.; Fisher, E.; Ford, J.B.; Fox, L.M.; Ganetsky, M.; Gorodetsky, R.; Greene, S.C.; Griswold, M.K.; Harding, S.A.; Hendrickson, R.G.; Horowitz, B.Z.; Hoyte, C.; Jacob, J.; Judge, B.S.; Kazzi, Z.; Kerns, W.P.; Kim, T.; Koons, A.; Leikin, J.B.; Levine, M.; Liss, D.B.; Marino, R.; McKay, C.A.; McKeever, R.G.; Meadors, K.; Moore, K.; Mullins, M.E.; Nacca, N.; Nelson, M.E.; Porter, L.; Riley, B.D.; Santos, C.; Schult, R.; Schwarz, E.S.; Scoccimarro, A.; Seifert, S.A.; Shafer, S.; Shah, K.R.; Smolinske, S.C.; Spyres, M., Department of Emergency Medicine, Division of Medical Toxicology, University of Southern California, 1200 N State St. Rm 1011, Los Angeles, CA  90033, United States, ; Tortora, L.; Vearrier, D.J.; Warrick, B.J.; Weiss, S.; Wolk, B.J.; Yanta, J.; On behalf of the Toxicology Investigators Consortium (ToxIC) Study Group","Epidemiology; Medical Toxicology; Overdose; Poisoning; Surveillance","acetylsalicylic acid; amfebutamone; amitriptyline; citalopram; dapsone; digoxin; doxepin; escitalopram; fluoxetine; gabapentin; haloperidol; ibuprofen; insulin; lithium; meloxicam; metformin; mirtazapine; naproxen; nortriptyline; paracetamol; pregabalin; salicylic acid; sertraline; thiamine; tramadol; trazodone; unindexed drug; valproic acid; venlafaxine; vilazodone; acute lung injury; Article; aspiration pneumonia; asthma; blood clotting disorder; chelation therapy; chemotherapy; dermatology; gastrointestinal hemorrhage; health care delivery; health care personnel; human; liver toxicity; methemoglobinemia; Mitragyna speciosa; public health; respiration depression; thrombocytopenia; toxicogenetics; toxicology; unspecified side effect; weapon of mass destruction; adolescent; adult; aged; case control study; child; drug overdose; factual database; female; health survey; infant; male; middle aged; preschool child; procedures; register; toxicology; United States; very elderly; young adult; Adolescent; Adult; Aged; Aged, 80 and over; Case-Control Studies; Child; Child, Preschool; Databases, Factual; Drug Overdose; Female; Humans; Infant; Male; Middle Aged; Population Surveillance; Registries; Toxicology; United States; Young Adult","Spyres, M.B.; Department of Emergency Medicine, Division of Medical Toxicology, University of Southern California, 1200 N State St. Rm 1011, United States; email: mspyres@gmail.com","Article","Final","","Scopus","2-s2.0-85074270609","Toxicology Surveillance","Toxicology"
"Tote K.M., Bradley H., Martin E.G., Yucel R., Rosenberg E.S.","57203359315;20336684600;14060701000;6602653578;23995801600;","Factors associated with incomplete toxicology reporting in drug overdose deaths, 2010–2016",2019,"Annals of Epidemiology","38","","","65","69",NA,2,"10.1016/j.annepidem.2019.08.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072620793&doi=10.1016%2fj.annepidem.2019.08.006&partnerID=40&md5=01251f5bc5aad653bde8296189ca8709","Department of Epidemiology and Biostatistics, University at Albany, SUNY, Albany, NY, United States; Department of Population Health Sciences, Georgia State University School of Public Heath, Atlanta, GA, United States; Department of Public Administration and Policy, University at Albany, SUNY, Albany, NY, United States; Center for Collaborative HIV Research in Practice and Policy, Albany, NY, United States","Tote, K.M., Department of Epidemiology and Biostatistics, University at Albany, SUNY, Albany, NY, United States; Bradley, H., Department of Population Health Sciences, Georgia State University School of Public Heath, Atlanta, GA, United States; Martin, E.G., Department of Public Administration and Policy, University at Albany, SUNY, Albany, NY, United States, Center for Collaborative HIV Research in Practice and Policy, Albany, NY, United States; Yucel, R., Department of Epidemiology and Biostatistics, University at Albany, SUNY, Albany, NY, United States; Rosenberg, E.S., Department of Epidemiology and Biostatistics, University at Albany, SUNY, Albany, NY, United States, Center for Collaborative HIV Research in Practice and Policy, Albany, NY, United States","Coroners and medical examiners; Death certificates; Drug overdose; United States","adult; aged; Article; autonomic nervous system; cause of death; clinical assessment; clinical evaluation; comparative study; controlled study; coroner; data clustering; disease association; drug fatality; drug information; drug intoxication; drug overdose; female; Hispanic; human; major clinical study; male; prevalence; priority journal; sex difference; toxicity testing; vital statistics; coroner; death certificate; drug overdose; information processing; middle aged; mortality; opiate addiction; procedures; toxicology; United States; young adult; narcotic analgesic agent; prescription drug; Adult; Aged; Analgesics, Opioid; Coroners and Medical Examiners; Data Collection; Death Certificates; Drug Overdose; Female; Humans; Male; Middle Aged; Opioid-Related Disorders; Prescription Drugs; Toxicology; United States; Young Adult","Tote, K.M.; Department of Epidemiology and Biostatistics, University at Albany, SUNY, 1 University Pl, United States; email: ktote@albany.edu","Article","Final","","Scopus","2-s2.0-85072620793","Toxicology Surveillance","Toxicology"
"Al-Kaif L.A.I.K., Al-Khafaji Y.A.K., Al-Shalah S.A.J., Al-Asadi H.A.A., Al-Janabi M.H.M.S., Obaid A.M.","57212137600;57212147635;57212141332;57212136368;57212149330;57212139209;","Epidemiological analysis and evaluation of the effectiveness of the mumps surveillance programme adopted in babylon province during the year 2017",2019,"Indian Journal of Forensic Medicine and Toxicology","13","4","","1313","1318",NA,NA,"10.5958/0973-9130.2019.00483.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076017682&doi=10.5958%2f0973-9130.2019.00483.3&partnerID=40&md5=6bfb23abfdd96eff0f5b048131f6c681","Department of Pathological Analysis Techniques, Al Mustaqbal University College, Babylon, Hillia, Iraq; Department of Microbiology, College of Dentistry Babylon University, Babylon, Hillia, Iraq; AL-Mahaweel General Hospital, Babylon, Hillia, Iraq","Al-Kaif, L.A.I.K., Department of Pathological Analysis Techniques, Al Mustaqbal University College, Babylon, Hillia, Iraq; Al-Khafaji, Y.A.K., Department of Microbiology, College of Dentistry Babylon University, Babylon, Hillia, Iraq; Al-Shalah, S.A.J., Department of Pathological Analysis Techniques, Al Mustaqbal University College, Babylon, Hillia, Iraq; Al-Asadi, H.A.A., Department of Pathological Analysis Techniques, Al Mustaqbal University College, Babylon, Hillia, Iraq; Al-Janabi, M.H.M.S., AL-Mahaweel General Hospital, Babylon, Hillia, Iraq; Obaid, A.M., Department of Pathological Analysis Techniques, Al Mustaqbal University College, Babylon, Hillia, Iraq","Epidemiology analysis; Mumps virus; Surveillance the vaccination program in Babylon / Iraq","mumps vaccine; adult; aged; Article; child; cross-sectional study; epidemiological monitoring; female; geographic distribution; human; ICD-10; immunization; incidence; infant; infection rate; Iraq; major clinical study; male; mumps; newborn; rural area; urban area; vaccination","","Article","Final","","Scopus","2-s2.0-85076017682","Toxicology Surveillance","Toxicology"
"Barry V., Steenland K.","55941282500;56841699000;","Lead exposure and mortality among U.S. workers in a surveillance program: Results from 10 additional years of follow-up",2019,"Environmental Research","177","","108625","","",NA,4,"10.1016/j.envres.2019.108625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070211612&doi=10.1016%2fj.envres.2019.108625&partnerID=40&md5=f5084ca44e5e366bafc96c5a38d3766d","Department of Environmental Health, Rollins School of Public Health at Emory University, Atlanta, GA, United States","Barry, V., Department of Environmental Health, Rollins School of Public Health at Emory University, Atlanta, GA, United States; Steenland, K., Department of Environmental Health, Rollins School of Public Health at Emory University, Atlanta, GA, United States","Blood lead; Lead; Lung cancer; Mortality; Occupation","lead; lead; age structure; bioaccumulation; blood; brain; cancer; cohort analysis; concentration (composition); lead; mortality risk; occupational exposure; pollution exposure; adult; age; Article; bladder cancer; brain cancer; California; cancer mortality; cause of death; cerebrovascular accident; cerebrovascular disease; chronic kidney failure; chronic obstructive lung disease; clinical evaluation; cohort analysis; colon cancer; Connecticut; disease association; environmental exposure; epidemiological data; esophagus cancer; follow up; human; Iowa; ischemic heart disease; kidney cancer; larynx cancer; lead blood level; liver cancer; lung cancer; major clinical study; male; Massachusetts; Michigan; Minnesota; mortality; mortality rate; mortality risk; national death index; New Jersey; New York; nonhodgkin lymphoma; occupational cancer; occupational carcinogenesis; occupational exposure; occupational toxicology; Ohio; outcome assessment; pancreas cancer; Pennsylvania; priority journal; race; rectum cancer; sensitivity analysis; standardized mortality ratio; stomach cancer; trend study; United States; Wisconsin; worker; neoplasm; occupational exposure; pollutant; proportional hazards model; United States; Cohort Studies; Environmental Pollutants; Follow-Up Studies; Humans; Lead; Male; Neoplasms; Occupational Exposure; Proportional Hazards Models; United States","Barry, V.; MPH Department of Environmental Health Rollins School of Public Health at Emory University, 1518 Clifton Road, CNR building, room 2028, United States; email: vbarry@emory.edu","Article","Final","","Scopus","2-s2.0-85070211612","Toxicology Surveillance","Toxicology"
"Teijido J., Kempf D., Laubach E., Zosel A., Borys D.","57205546982;57209834744;57209835693;8656359700;6701752834;","Lacosamide: a Study of Exposures Reported to US Poison Centers over a 9-Year Period",2019,"Journal of Medical Toxicology","15","4","","271","275",NA,NA,"10.1007/s13181-019-00717-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068856187&doi=10.1007%2fs13181-019-00717-y&partnerID=40&md5=6ad4889cb2286c7fbf246dac7c073724","Medical College of Wisconsin, 8701 W. Watertown Plank Rd, Milwaukee, WI  53226, United States; Concordia University of Wisconsin, School of Pharmacy, 12800 N Lake Shore Dr, Mequon, WI  53097, United States; Ascension Columbia St. Mary’s Hospital Ozaukee, 13111 N Port Washington Rd, Thiensville, WI  53097, United States; Wisconsin Poison Center, Children’s Hospital of Wisconsin, PO Box 1997, Suite C660, Milwaukee, WI  53201, United States","Teijido, J., Medical College of Wisconsin, 8701 W. Watertown Plank Rd, Milwaukee, WI  53226, United States; Kempf, D., Concordia University of Wisconsin, School of Pharmacy, 12800 N Lake Shore Dr, Mequon, WI  53097, United States; Laubach, E., Ascension Columbia St. Mary’s Hospital Ozaukee, 13111 N Port Washington Rd, Thiensville, WI  53097, United States; Zosel, A., Medical College of Wisconsin, 8701 W. Watertown Plank Rd, Milwaukee, WI  53226, United States, Wisconsin Poison Center, Children’s Hospital of Wisconsin, PO Box 1997, Suite C660, Milwaukee, WI  53201, United States; Borys, D., Concordia University of Wisconsin, School of Pharmacy, 12800 N Lake Shore Dr, Mequon, WI  53097, United States, Wisconsin Poison Center, Children’s Hospital of Wisconsin, PO Box 1997, Suite C660, Milwaukee, WI  53201, United States","Lacosamide; National Poison Data System; Overdose; Vimpat","lacosamide; anticonvulsive agent; lacosamide; adolescent; adult; aged; Article; cardiovascular symptom; child; clinical outcome; drug exposure; drug toxicity; female; gastrointestinal symptom; health care facility; health care management; hospital admission; human; infant; intensive care unit; major clinical study; male; mental hospital; neurologic disease; observational study; poison center; retrospective study; suicide attempt; very elderly; epidemiology; forecasting; health survey; poison center; procedures; United States; Anticonvulsants; Forecasting; Humans; Lacosamide; Poison Control Centers; Poisoning; Population Surveillance; Retrospective Studies; United States","Teijido, J.; Medical College of Wisconsin, 8701 W. Watertown Plank Rd, United States; email: john.teijido@gmail.com","Article","Final","","Scopus","2-s2.0-85068856187","Toxicology Surveillance","Toxicology"
"Risoluti R., Pichini S., Pacifici R., Materazzi S.","36195268300;7006708779;7102579411;7003409831;","Miniaturized analytical platform for cocaine detection in oral fluids by MicroNIR/Chemometrics",2019,"Talanta","202","","","546","553",NA,1,"10.1016/j.talanta.2019.04.081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065559465&doi=10.1016%2fj.talanta.2019.04.081&partnerID=40&md5=99a47c3118d757293c7bde690b70eca8","Department of Chemistry –“Sapienza” University of Rome p.le A.Moro 5, Rome, 00185, Italy; National Centre on Addiction and Doping, Istituto Superiore di Sanità, viale Regina Elena 299, Rome, 00161, Italy","Risoluti, R., Department of Chemistry –“Sapienza” University of Rome p.le A.Moro 5, Rome, 00185, Italy; Pichini, S., National Centre on Addiction and Doping, Istituto Superiore di Sanità, viale Regina Elena 299, Rome, 00161, Italy; Pacifici, R., National Centre on Addiction and Doping, Istituto Superiore di Sanità, viale Regina Elena 299, Rome, 00161, Italy; Materazzi, S., Department of Chemistry –“Sapienza” University of Rome p.le A.Moro 5, Rome, 00185, Italy","Chemometrics; Cocaine; MicroNIR; Screening","Smoke; Chemometrics; Cocaine; Cocaine detection; Forensic toxicology; Instrumental response; MicroNIR; Real-time prediction; Screening system; Screening; cocaine; body fluid; chemistry; human; mass fragmentography; metabolism; near infrared spectroscopy; Body Fluids; Cocaine; Gas Chromatography-Mass Spectrometry; Humans; Spectroscopy, Near-Infrared","Risoluti, R.; Department of Chemistry, Sapienza - University of Rome, Piazzale Aldo Moro 5, Italy; email: roberta.risoluti@uniroma1.it","Article","Final","","Scopus","2-s2.0-85065559465","Toxicology Surveillance","Toxicology"
