Evidence type,Report,References,colour
Firearms,19 IFSMS - 2019,189,0
Gunshot Residues,19 IFSMS - 2019,90,0
Forensic Geosciences,19 IFSMS - 2019,,1
Toolmarks,19 IFSMS - 2019,154,1
Paint and Glass,19 IFSMS - 2019,119,1
Fibres and Textiles,19 IFSMS - 2019,57,0
Fire Investigation,19 IFSMS - 2019,157,1
Explosives,19 IFSMS - 2019,1005,1
Hazardous Materials,19 IFSMS - 2019,,0
Environmental Crime,19 IFSMS - 2019,,0
Drugs,19 IFSMS - 2019,1787,0
Toxicology,19 IFSMS - 2019,621,1
Audio Visual,19 IFSMS - 2019,,0
Audio Analysis,19 IFSMS - 2019,,0
Digital evidence,19 IFSMS - 2019,119,1
Video analysis,19 IFSMS - 2019,,0
Video and Imaging,19 IFSMS - 2019,138,0
Imaging,19 IFSMS - 2019,,0
Fingermarks,19 IFSMS - 2019,599,1
Biological Evidence,19 IFSMS - 2019,,1
DNA,19 IFSMS - 2019,244,1
Hair,19 IFSMS - 2019,,0
Questioned Documents,19 IFSMS - 2019,213,1
Handwriting,19 IFSMS - 2019,,0
Firearms,18 IFSMS - 2016,179,0
Gunshot Residues,18 IFSMS - 2016,77,0
Forensic Geosciences,18 IFSMS - 2016,245,1
Toolmarks,18 IFSMS - 2016,104,1
Paint and Glass,18 IFSMS - 2016,102,1
Fibres and Textiles,18 IFSMS - 2016,92,0
Fire Investigation,18 IFSMS - 2016,194,1
Explosives,18 IFSMS - 2016,646,1
Hazardous Materials,18 IFSMS - 2016,,0
Environmental Crime,18 IFSMS - 2016,,0
Drugs,18 IFSMS - 2016,1434,0
Toxicology,18 IFSMS - 2016,600,1
Audio Visual,18 IFSMS - 2016,,0
Audio Analysis,18 IFSMS - 2016,88,0
Digital evidence,18 IFSMS - 2016,100,1
Video analysis,18 IFSMS - 2016,,0
Video and Imaging,18 IFSMS - 2016,108,0
Imaging,18 IFSMS - 2016,,0
Fingermarks,18 IFSMS - 2016,536,1
Biological Evidence,18 IFSMS - 2016,,1
DNA,18 IFSMS - 2016,75,1
Hair,18 IFSMS - 2016,,0
Questioned Documents,18 IFSMS - 2016,255,1
Handwriting,18 IFSMS - 2016,,0
Firearms,17 IFSMS - 2013,159,0
Gunshot Residues,17 IFSMS - 2013,49,0
Forensic Geosciences,17 IFSMS - 2013,102,1
Toolmarks,17 IFSMS - 2013,189,1
Paint and Glass,17 IFSMS - 2013,201,1
Fibres and Textiles,17 IFSMS - 2013,68,0
Fire Investigation,17 IFSMS - 2013,140,1
Explosives,17 IFSMS - 2013,1341,1
Hazardous Materials,17 IFSMS - 2013,,0
Environmental Crime,17 IFSMS - 2013,,0
Drugs,17 IFSMS - 2013,668,0
Toxicology,17 IFSMS - 2013,324,1
Audio Visual,17 IFSMS - 2013,,0
Audio Analysis,17 IFSMS - 2013,133,0
Digital evidence,17 IFSMS - 2013,190,1
Video analysis,17 IFSMS - 2013,31,0
Video and Imaging,17 IFSMS - 2013,,0
Imaging,17 IFSMS - 2013,241,0
Fingermarks,17 IFSMS - 2013,472,1
Biological Evidence,17 IFSMS - 2013,,1
DNA,17 IFSMS - 2013,114,1
Hair,17 IFSMS - 2013,,0
Questioned Documents,17 IFSMS - 2013,275,1
Handwriting,17 IFSMS - 2013,,0
Firearms,16 IFSMS - 2010,152,0
Gunshot Residues,16 IFSMS - 2010,,0
Forensic Geosciences,16 IFSMS - 2010,106,1
Toolmarks,16 IFSMS - 2010,137,1
Paint and Glass,16 IFSMS - 2010,479,1
Fibres and Textiles,16 IFSMS - 2010,67,0
Fire Investigation,16 IFSMS - 2010,169,1
Explosives,16 IFSMS - 2010,565,1
Hazardous Materials,16 IFSMS - 2010,144,0
Environmental Crime,16 IFSMS - 2010,236,0
Drugs,16 IFSMS - 2010,1091,0
Toxicology,16 IFSMS - 2010,532,1
Audio Visual,16 IFSMS - 2010,,0
Audio Analysis,16 IFSMS - 2010,63,0
Digital evidence,16 IFSMS - 2010,89,1
Video analysis,16 IFSMS - 2010,,0
Video and Imaging,16 IFSMS - 2010,,0
Imaging,16 IFSMS - 2010,,0
Fingermarks,16 IFSMS - 2010,427,1
Biological Evidence,16 IFSMS - 2010,63,1
DNA,16 IFSMS - 2010,,1
Hair,16 IFSMS - 2010,,0
Questioned Documents,16 IFSMS - 2010,221,1
Handwriting,16 IFSMS - 2010,,0
Firearms,15 IFSMS - 2007,106,0
Gunshot Residues,15 IFSMS - 2007,,0
Forensic Geosciences,15 IFSMS - 2007,187,1
Toolmarks,15 IFSMS - 2007,114,1
Paint and Glass,15 IFSMS - 2007,269,1
Fibres and Textiles,15 IFSMS - 2007,56,0
Fire Investigation,15 IFSMS - 2007,92,1
Explosives,15 IFSMS - 2007,107,1
Hazardous Materials,15 IFSMS - 2007,77,0
Environmental Crime,15 IFSMS - 2007,376,0
Drugs,15 IFSMS - 2007,1287,0
Toxicology,15 IFSMS - 2007,453,1
Audio Visual,15 IFSMS - 2007,180,0
Audio Analysis,15 IFSMS - 2007,,0
Digital evidence,15 IFSMS - 2007,71,1
Video analysis,15 IFSMS - 2007,,0
Video and Imaging,15 IFSMS - 2007,,0
Imaging,15 IFSMS - 2007,,0
Fingermarks,15 IFSMS - 2007,282,1
Biological Evidence,15 IFSMS - 2007,334,1
DNA,15 IFSMS - 2007,,1
Hair,15 IFSMS - 2007,,0
Questioned Documents,15 IFSMS - 2007,154,1
Handwriting,15 IFSMS - 2007,,0
Firearms,14 IFSMS - 2004,227,0
Gunshot Residues,14 IFSMS - 2004,,0
Forensic Geosciences,14 IFSMS - 2004,79,1
Toolmarks,14 IFSMS - 2004,393,1
Paint and Glass,14 IFSMS - 2004,159,1
Fibres and Textiles,14 IFSMS - 2004,78,0
Fire Investigation,14 IFSMS - 2004,229,1
Explosives,14 IFSMS - 2004,89,1
Hazardous Materials,14 IFSMS - 2004,,0
Environmental Crime,14 IFSMS - 2004,302,0
Drugs,14 IFSMS - 2004,439,0
Toxicology,14 IFSMS - 2004,409,1
Audio Visual,14 IFSMS - 2004,,0
Audio Analysis,14 IFSMS - 2004,56,0
Digital evidence,14 IFSMS - 2004,0,1
Video analysis,14 IFSMS - 2004,,0
Video and Imaging,14 IFSMS - 2004,,0
Imaging,14 IFSMS - 2004,86,0
Fingermarks,14 IFSMS - 2004,393,1
Biological Evidence,14 IFSMS - 2004,,1
DNA,14 IFSMS - 2004,93,1
Hair,14 IFSMS - 2004,36,0
Questioned Documents,14 IFSMS - 2004,144,1
Handwriting,14 IFSMS - 2004,135,0
